ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,1,1,2022-11-07,Lindenwood,@,Eastern Michigan,REG (Non-Conf),L 56-71,*,36,3,13,.231,1,7,.143,2,6,.333,.269,0,0,,0,6,6,2,2,1,5,1,7,-0.4,Alana Striverson,https://www.sports-reference.com/cbb/players/alana-striverson-1.html,lindenwood,2022-23
2,2,2,2022-11-15,Lindenwood,@,Central Arkansas,REG (Non-Conf),L 43-55,*,37,1,9,.111,0,3,.000,1,6,.167,.111,0,0,,1,0,1,3,0,0,1,3,2,-3.3,Alana Striverson,https://www.sports-reference.com/cbb/players/alana-striverson-1.html,lindenwood,2022-23
3,3,3,2022-11-21,Lindenwood,,Cincinnati,REG (Non-Conf),L 60-71,*,24,1,5,.200,0,3,.000,1,2,.500,.200,1,4,.250,0,2,2,4,0,0,1,4,3,-0.5,Alana Striverson,https://www.sports-reference.com/cbb/players/alana-striverson-1.html,lindenwood,2022-23
4,4,4,2022-11-25,Lindenwood,N,Manhattan,REG (Non-Conf),L 53-69,*,31,3,9,.333,1,6,.167,2,3,.667,.389,0,0,,0,2,2,2,0,0,1,2,7,2.1,Alana Striverson,https://www.sports-reference.com/cbb/players/alana-striverson-1.html,lindenwood,2022-23
5,5,5,2022-11-26,Lindenwood,@,Grand Canyon,REG (Non-Conf),L 46-97,*,31,3,8,.375,2,5,.400,1,3,.333,.500,0,2,.000,0,2,2,0,0,0,2,1,8,1.0,Alana Striverson,https://www.sports-reference.com/cbb/players/alana-striverson-1.html,lindenwood,2022-23
6,6,6,2022-12-01,Lindenwood,@,Drake,REG (Non-Conf),L 60-87,*,34,5,14,.357,3,8,.375,2,6,.333,.464,0,0,,1,3,4,2,0,0,2,0,13,6.2,Alana Striverson,https://www.sports-reference.com/cbb/players/alana-striverson-1.html,lindenwood,2022-23
7,7,7,2022-12-04,Lindenwood,@,Tulsa,REG (Non-Conf),L 46-79,*,22,1,7,.143,0,3,.000,1,4,.250,.143,0,0,,1,0,1,0,0,0,2,4,2,-5.4,Alana Striverson,https://www.sports-reference.com/cbb/players/alana-striverson-1.html,lindenwood,2022-23
8,8,8,2022-12-12,Lindenwood,,Northern Illinois,REG (Non-Conf),L 56-67,*,29,2,10,.200,2,7,.286,0,3,.000,.300,2,2,1.000,0,3,3,1,0,0,4,3,8,-1.8,Alana Striverson,https://www.sports-reference.com/cbb/players/alana-striverson-1.html,lindenwood,2022-23
9,9,9,2022-12-14,Lindenwood,,Hannibal-LaGrange,REG (Non-Conf),W 96-36,*,20,3,6,.500,2,4,.500,1,2,.500,.667,0,0,,1,4,5,4,2,0,4,3,8,6.5,Alana Striverson,https://www.sports-reference.com/cbb/players/alana-striverson-1.html,lindenwood,2022-23
10,10,10,2022-12-19,Lindenwood,N,Cleveland State,REG (Non-Conf),L 45-72,*,25,2,10,.200,1,6,.167,1,4,.250,.250,0,0,,1,1,2,2,1,1,3,1,5,-0.5,Alana Striverson,https://www.sports-reference.com/cbb/players/alana-striverson-1.html,lindenwood,2022-23
11,11,11,2022-12-21,Lindenwood,N,Utah Tech,REG (Non-Conf),L 68-82,*,28,4,10,.400,2,7,.286,2,3,.667,.500,0,0,,0,2,2,4,0,0,2,2,10,5.2,Alana Striverson,https://www.sports-reference.com/cbb/players/alana-striverson-1.html,lindenwood,2022-23
12,12,12,2022-12-29,Lindenwood,@,Eastern Illinois,REG (Conf),L 62-75,*,28,1,9,.111,1,4,.250,0,5,.000,.167,0,0,,0,1,1,3,0,0,1,1,3,-1.9,Alana Striverson,https://www.sports-reference.com/cbb/players/alana-striverson-1.html,lindenwood,2022-23
13,13,13,2022-12-31,Lindenwood,,Tennessee Tech,REG (Conf),L 35-72,*,15,1,3,.333,0,2,.000,1,1,1.000,.333,0,0,,0,0,0,1,0,0,5,2,2,-4.8,Alana Striverson,https://www.sports-reference.com/cbb/players/alana-striverson-1.html,lindenwood,2022-23
14,14,14,2023-01-04,Lindenwood,@,Little Rock,REG (Conf),L 38-62,,17,0,2,.000,0,1,.000,0,1,.000,.000,0,0,,0,0,0,1,0,0,1,0,0,-1.7,Alana Striverson,https://www.sports-reference.com/cbb/players/alana-striverson-1.html,lindenwood,2022-23
15,15,15,2023-01-07,Lindenwood,,Tennessee State,REG (Conf),L 74-79,,22,2,8,.250,1,5,.200,1,3,.333,.313,2,2,1.000,1,2,3,2,0,0,1,2,7,3.1,Alana Striverson,https://www.sports-reference.com/cbb/players/alana-striverson-1.html,lindenwood,2022-23
16,16,16,2023-01-12,Lindenwood,@,Southeast Missouri State,REG (Conf),L 45-68,,21,1,5,.200,1,3,.333,0,2,.000,.300,0,0,,0,1,1,2,1,0,1,4,3,0.0,Alana Striverson,https://www.sports-reference.com/cbb/players/alana-striverson-1.html,lindenwood,2022-23
