ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,104,1,2022-11-07,Loyola Marymount,@,Washington State,REG (Non-Conf),L 41-93,*,22,0,6,.000,0,4,.000,0,2,.000,.000,0,0,,1,3,4,0,0,0,3,1,0,-6.0,Cassandra Gordon,https://www.sports-reference.com/cbb/players/cassandra-gordon-1.html,loyola-marymount,2022-23
2,105,2,2022-11-11,Loyola Marymount,,Cal St San Marcos,REG (Non-Conf),W 62-51,,16,1,5,.200,0,2,.000,1,3,.333,.200,0,0,,1,1,2,0,1,2,1,0,2,1.3,Cassandra Gordon,https://www.sports-reference.com/cbb/players/cassandra-gordon-1.html,loyola-marymount,2022-23
3,106,3,2022-11-15,Loyola Marymount,@,Denver,REG (Non-Conf),L 70-73 (OT),,31,4,9,.444,1,2,.500,3,7,.429,.500,0,0,,1,1,2,2,1,0,1,1,9,6.3,Cassandra Gordon,https://www.sports-reference.com/cbb/players/cassandra-gordon-1.html,loyola-marymount,2022-23
4,107,4,2022-11-18,Loyola Marymount,@,Arizona,REG (Non-Conf),L 51-87,,24,2,3,.667,0,0,,2,3,.667,.667,0,1,.000,0,4,4,3,3,0,0,1,4,8.2,Cassandra Gordon,https://www.sports-reference.com/cbb/players/cassandra-gordon-1.html,loyola-marymount,2022-23
5,108,5,2022-11-25,Loyola Marymount,,California,REG (Non-Conf),L 49-68,,18,0,2,.000,0,2,.000,0,0,,.000,0,0,,0,2,2,0,0,0,1,0,0,-1.8,Cassandra Gordon,https://www.sports-reference.com/cbb/players/cassandra-gordon-1.html,loyola-marymount,2022-23
6,109,6,2022-11-26,Loyola Marymount,,Wichita State,REG (Non-Conf),L 57-69,,18,2,7,.286,0,4,.000,2,3,.667,.286,0,0,,1,3,4,0,0,0,0,1,4,1.1,Cassandra Gordon,https://www.sports-reference.com/cbb/players/cassandra-gordon-1.html,loyola-marymount,2022-23
7,110,7,2022-11-30,Loyola Marymount,,UC Santa Barbara,REG (Non-Conf),L 49-64,*,25,0,5,.000,0,1,.000,0,4,.000,.000,0,0,,0,3,3,0,0,0,3,0,0,-5.6,Cassandra Gordon,https://www.sports-reference.com/cbb/players/cassandra-gordon-1.html,loyola-marymount,2022-23
8,111,8,2022-12-03,Loyola Marymount,@,Texas State,REG (Non-Conf),L 62-74,*,11,0,4,.000,0,1,.000,0,3,.000,.000,0,0,,0,1,1,0,0,0,0,1,0,-2.9,Cassandra Gordon,https://www.sports-reference.com/cbb/players/cassandra-gordon-1.html,loyola-marymount,2022-23
9,112,9,2022-12-06,Loyola Marymount,@,Oklahoma State,REG (Non-Conf),L 65-86,,24,3,9,.333,0,2,.000,3,7,.429,.333,0,0,,0,2,2,0,0,0,1,1,6,0.1,Cassandra Gordon,https://www.sports-reference.com/cbb/players/cassandra-gordon-1.html,loyola-marymount,2022-23
10,113,10,2022-12-10,Loyola Marymount,,Utah State,REG (Non-Conf),W 71-63,*,34,5,8,.625,0,2,.000,5,6,.833,.625,0,0,,1,3,4,0,0,0,2,1,10,5.6,Cassandra Gordon,https://www.sports-reference.com/cbb/players/cassandra-gordon-1.html,loyola-marymount,2022-23
11,114,11,2022-12-17,Loyola Marymount,@,San Francisco,REG (Conf),W 68-59,*,33,5,11,.455,4,6,.667,1,5,.200,.636,3,4,.750,0,3,3,0,2,0,2,0,17,11.8,Cassandra Gordon,https://www.sports-reference.com/cbb/players/cassandra-gordon-1.html,loyola-marymount,2022-23
12,115,12,2022-12-19,Loyola Marymount,@,Santa Clara,REG (Conf),L 46-61,*,17,0,3,.000,0,2,.000,0,1,.000,.000,0,0,,0,0,0,1,0,0,1,1,0,-2.8,Cassandra Gordon,https://www.sports-reference.com/cbb/players/cassandra-gordon-1.html,loyola-marymount,2022-23
13,116,13,2022-12-21,Loyola Marymount,,Cal State Northridge,REG (Non-Conf),W 69-62,*,31,6,10,.600,1,3,.333,5,7,.714,.650,1,1,1.000,1,6,7,1,0,1,1,4,14,10.7,Cassandra Gordon,https://www.sports-reference.com/cbb/players/cassandra-gordon-1.html,loyola-marymount,2022-23
14,117,14,2022-12-29,Loyola Marymount,,Portland,REG (Conf),L 61-70,*,34,7,12,.583,1,2,.500,6,10,.600,.625,0,0,,0,1,1,2,0,0,6,3,15,3.9,Cassandra Gordon,https://www.sports-reference.com/cbb/players/cassandra-gordon-1.html,loyola-marymount,2022-23
