ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,81,1,2022-11-07,New Mexico State,@,Colorado,REG (Non-Conf),L 55-85,*,35,5,11,.455,3,8,.375,2,3,.667,.591,2,4,.500,3,3,6,0,4,0,0,0,15,15.5,Soufia Inoussa,https://www.sports-reference.com/cbb/players/soufia-inoussa-1.html,new-mexico-state,2022-23
2,82,2,2022-11-09,New Mexico State,,N.M. Highlands,REG (Non-Conf),W 80-39,*,23,3,6,.500,1,3,.333,2,3,.667,.583,0,0,,0,1,1,1,2,0,2,1,7,4.6,Soufia Inoussa,https://www.sports-reference.com/cbb/players/soufia-inoussa-1.html,new-mexico-state,2022-23
3,83,3,2022-11-15,New Mexico State,,New Mexico,REG (Non-Conf),W 73-64 (OT),*,32,6,12,.500,2,6,.333,4,6,.667,.583,0,0,,1,6,7,0,1,0,3,3,14,7.3,Soufia Inoussa,https://www.sports-reference.com/cbb/players/soufia-inoussa-1.html,new-mexico-state,2022-23
4,84,4,2022-11-25,New Mexico State,N,Yale,REG (Non-Conf),L 65-73,*,35,3,7,.429,0,2,.000,3,5,.600,.429,2,2,1.000,0,4,4,1,2,0,2,4,8,4.6,Soufia Inoussa,https://www.sports-reference.com/cbb/players/soufia-inoussa-1.html,new-mexico-state,2022-23
5,85,5,2022-11-26,New Mexico State,@,Denver,REG (Non-Conf),L 51-60,*,22,1,6,.167,0,4,.000,1,2,.500,.167,1,2,.500,4,0,4,0,0,0,1,5,3,-1.4,Soufia Inoussa,https://www.sports-reference.com/cbb/players/soufia-inoussa-1.html,new-mexico-state,2022-23
6,86,6,2022-11-30,New Mexico State,@,UTEP,REG (Non-Conf),L 61-65,*,30,2,7,.286,1,4,.250,1,3,.333,.357,1,1,1.000,0,1,1,1,0,0,1,4,6,0.3,Soufia Inoussa,https://www.sports-reference.com/cbb/players/soufia-inoussa-1.html,new-mexico-state,2022-23
7,87,9,2022-12-11,New Mexico State,@,New Mexico,REG (Non-Conf),L 64-65,,23,2,5,.400,0,1,.000,2,4,.500,.400,0,2,.000,1,4,5,1,0,0,2,3,4,-0.1,Soufia Inoussa,https://www.sports-reference.com/cbb/players/soufia-inoussa-1.html,new-mexico-state,2022-23
8,88,10,2022-12-13,New Mexico State,,UTEP,REG (Non-Conf),L 52-57,*,36,2,10,.200,1,5,.200,1,5,.200,.250,2,2,1.000,1,3,4,0,0,0,1,3,7,0.2,Soufia Inoussa,https://www.sports-reference.com/cbb/players/soufia-inoussa-1.html,new-mexico-state,2022-23
9,89,11,2022-12-17,New Mexico State,@,Portland State,REG (Non-Conf),W 55-53,*,29,4,12,.333,3,9,.333,1,3,.333,.458,0,0,,0,3,3,6,1,0,1,2,11,8.5,Soufia Inoussa,https://www.sports-reference.com/cbb/players/soufia-inoussa-1.html,new-mexico-state,2022-23
10,90,12,2022-12-20,New Mexico State,,N New Mexico,REG (Non-Conf),W 90-42,*,10,3,3,1.000,1,1,1.000,2,2,1.000,1.167,0,0,,0,0,0,0,0,0,0,1,7,5.7,Soufia Inoussa,https://www.sports-reference.com/cbb/players/soufia-inoussa-1.html,new-mexico-state,2022-23
11,91,13,2022-12-29,New Mexico State,@,Texas–Rio Grande Valley,REG (Conf),W 67-59,*,35,1,5,.200,1,4,.250,0,1,.000,.300,0,0,,2,0,2,2,2,0,0,1,3,4.3,Soufia Inoussa,https://www.sports-reference.com/cbb/players/soufia-inoussa-1.html,new-mexico-state,2022-23
12,92,14,2022-12-31,New Mexico State,,Southern Utah,REG (Conf),L 58-61,*,31,2,8,.250,1,5,.200,1,3,.333,.313,0,0,,2,1,3,1,1,0,1,4,5,1.0,Soufia Inoussa,https://www.sports-reference.com/cbb/players/soufia-inoussa-1.html,new-mexico-state,2022-23
13,93,15,2023-01-04,New Mexico State,@,Utah Valley,REG (Conf),W 63-57 (OT),*,39,4,8,.500,2,5,.400,2,3,.667,.625,0,0,,1,5,6,4,3,0,3,1,10,10.6,Soufia Inoussa,https://www.sports-reference.com/cbb/players/soufia-inoussa-1.html,new-mexico-state,2022-23
14,94,16,2023-01-07,New Mexico State,,Tarleton State,REG (Conf),W 61-43,*,30,1,6,.167,1,5,.200,0,1,.000,.250,0,0,,2,1,3,1,2,0,1,0,3,2.6,Soufia Inoussa,https://www.sports-reference.com/cbb/players/soufia-inoussa-1.html,new-mexico-state,2022-23
15,95,17,2023-01-12,New Mexico State,,Sam Houston State,REG (Conf),W 69-48,*,33,3,7,.429,0,2,.000,3,5,.600,.429,2,2,1.000,2,4,6,4,1,0,3,2,8,6.9,Soufia Inoussa,https://www.sports-reference.com/cbb/players/soufia-inoussa-1.html,new-mexico-state,2022-23
16,96,18,2023-01-14,New Mexico State,,Utah Tech,REG (Conf),L 65-67,*,37,2,18,.111,1,11,.091,1,7,.143,.139,0,0,,1,2,3,3,2,0,1,2,5,-3.2,Soufia Inoussa,https://www.sports-reference.com/cbb/players/soufia-inoussa-1.html,new-mexico-state,2022-23
