ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,118,1,2022-11-07,Notre Dame,,Northern Illinois,REG (Non-Conf),W 88-48,*,34,6,12,.500,4,8,.500,2,4,.500,.667,0,0,,0,1,1,2,1,0,1,1,16,11.3,Dara Mabrey,https://www.sports-reference.com/cbb/players/dara-mabrey-1.html,notre-dame,2022-23
2,119,2,2022-11-12,Notre Dame,N,California,REG (Non-Conf),W 90-79,*,35,4,9,.444,2,6,.333,2,3,.667,.556,6,8,.750,0,6,6,3,1,0,3,5,16,10.4,Dara Mabrey,https://www.sports-reference.com/cbb/players/dara-mabrey-1.html,notre-dame,2022-23
3,120,3,2022-11-16,Notre Dame,@,Northwestern,REG (Non-Conf),W 92-58,*,25,2,9,.222,2,7,.286,0,2,.000,.333,1,2,.500,0,2,2,4,1,0,2,4,7,1.9,Dara Mabrey,https://www.sports-reference.com/cbb/players/dara-mabrey-1.html,notre-dame,2022-23
4,121,4,2022-11-20,Notre Dame,,Ball State,REG (Non-Conf),W 95-60,*,29,6,12,.500,5,10,.500,1,2,.500,.708,2,2,1.000,0,3,3,3,1,0,4,0,19,13.0,Dara Mabrey,https://www.sports-reference.com/cbb/players/dara-mabrey-1.html,notre-dame,2022-23
5,122,5,2022-11-24,Notre Dame,N,American,REG (Non-Conf),W 90-65,*,35,4,9,.444,3,7,.429,1,2,.500,.611,4,4,1.000,0,2,2,0,0,0,0,0,15,10.9,Dara Mabrey,https://www.sports-reference.com/cbb/players/dara-mabrey-1.html,notre-dame,2022-23
6,123,6,2022-11-26,Notre Dame,N,Arizona State,REG (Non-Conf),W 85-65,*,31,2,10,.200,1,6,.167,1,4,.250,.250,2,2,1.000,0,3,3,0,0,0,1,2,7,-0.1,Dara Mabrey,https://www.sports-reference.com/cbb/players/dara-mabrey-1.html,notre-dame,2022-23
7,124,7,2022-12-01,Notre Dame,,Maryland,REG (Non-Conf),L 72-74,*,35,3,11,.273,1,7,.143,2,4,.500,.318,0,0,,0,3,3,2,1,0,2,2,7,1.0,Dara Mabrey,https://www.sports-reference.com/cbb/players/dara-mabrey-1.html,notre-dame,2022-23
8,125,8,2022-12-04,Notre Dame,,Connecticut,REG (Non-Conf),W 74-60,*,25,4,5,.800,2,3,.667,2,2,1.000,1.000,0,0,,1,0,1,2,0,0,0,1,10,9.8,Dara Mabrey,https://www.sports-reference.com/cbb/players/dara-mabrey-1.html,notre-dame,2022-23
9,126,10,2022-12-10,Notre Dame,,Merrimack,REG (Non-Conf),W 108-44,*,24,5,12,.417,4,7,.571,1,5,.200,.583,0,0,,1,5,6,3,2,0,0,0,14,13.9,Dara Mabrey,https://www.sports-reference.com/cbb/players/dara-mabrey-1.html,notre-dame,2022-23
10,127,11,2022-12-18,Notre Dame,@,Virginia Tech,REG (Conf),W 63-52,*,36,3,8,.375,0,2,.000,3,6,.500,.375,2,2,1.000,0,3,3,3,1,0,0,1,8,7.2,Dara Mabrey,https://www.sports-reference.com/cbb/players/dara-mabrey-1.html,notre-dame,2022-23
11,128,12,2022-12-21,Notre Dame,,Western Michigan,REG (Non-Conf),W 85-57,*,35,3,6,.500,2,4,.500,1,2,.500,.667,0,0,,0,2,2,5,1,0,4,2,8,5.3,Dara Mabrey,https://www.sports-reference.com/cbb/players/dara-mabrey-1.html,notre-dame,2022-23
12,129,13,2022-12-29,Notre Dame,@,Miami (FL),REG (Conf),W 66-63,*,35,2,10,.200,2,7,.286,0,3,.000,.300,1,2,.500,0,1,1,5,0,0,3,1,7,0.8,Dara Mabrey,https://www.sports-reference.com/cbb/players/dara-mabrey-1.html,notre-dame,2022-23
13,130,14,2023-01-01,Notre Dame,,Boston College,REG (Conf),W 85-48,*,22,1,6,.167,0,2,.000,1,4,.250,.167,3,3,1.000,0,3,3,2,2,0,3,1,5,2.1,Dara Mabrey,https://www.sports-reference.com/cbb/players/dara-mabrey-1.html,notre-dame,2022-23
