ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,102,1,2022-11-07,South Carolina,,East Tennessee State,REG (Non-Conf),W 101-31,*,20,3,5,.600,0,1,.000,3,4,.750,.600,5,6,.833,3,8,11,0,0,2,1,1,11,12.8,Aliyah Boston,https://www.sports-reference.com/cbb/players/aliyah-boston-1.html,south-carolina,2022-23
2,103,2,2022-11-11,South Carolina,@,Maryland,REG (Non-Conf),W 81-56,*,30,7,8,.875,0,0,,7,8,.875,.875,2,3,.667,4,9,13,2,0,1,3,3,16,16.2,Aliyah Boston,https://www.sports-reference.com/cbb/players/aliyah-boston-1.html,south-carolina,2022-23
3,104,3,2022-11-17,South Carolina,@,Clemson,REG (Non-Conf),W 85-31,*,19,5,8,.625,0,0,,5,8,.625,.625,2,3,.667,5,1,6,4,1,0,2,1,12,13.2,Aliyah Boston,https://www.sports-reference.com/cbb/players/aliyah-boston-1.html,south-carolina,2022-23
4,105,4,2022-11-20,South Carolina,@,Stanford,REG (Non-Conf),W 76-71 (OT),*,29,7,13,.538,0,1,.000,7,12,.583,.538,0,0,,3,10,13,2,0,1,2,5,14,10.9,Aliyah Boston,https://www.sports-reference.com/cbb/players/aliyah-boston-1.html,south-carolina,2022-23
5,106,5,2022-11-22,South Carolina,@,Cal Poly,REG (Non-Conf),W 79-36,*,21,6,9,.667,0,0,,6,9,.667,.667,0,1,.000,6,4,10,0,2,2,1,0,12,15.5,Aliyah Boston,https://www.sports-reference.com/cbb/players/aliyah-boston-1.html,south-carolina,2022-23
6,107,6,2022-11-27,South Carolina,,Hampton,REG (Non-Conf),W 85-38,*,14,2,4,.500,0,1,.000,2,3,.667,.500,2,5,.400,2,2,4,1,0,2,1,0,6,5.9,Aliyah Boston,https://www.sports-reference.com/cbb/players/aliyah-boston-1.html,south-carolina,2022-23
7,108,7,2022-11-29,South Carolina,,UCLA,REG (Non-Conf),W 73-64,*,35,5,7,.714,0,1,.000,5,6,.833,.714,8,11,.727,2,8,10,3,1,4,0,1,18,23.2,Aliyah Boston,https://www.sports-reference.com/cbb/players/aliyah-boston-1.html,south-carolina,2022-23
8,109,8,2022-12-03,South Carolina,,Memphis,REG (Non-Conf),W 79-54,*,22,4,7,.571,0,0,,4,7,.571,.571,6,6,1.000,2,8,10,2,0,1,0,3,14,15.4,Aliyah Boston,https://www.sports-reference.com/cbb/players/aliyah-boston-1.html,south-carolina,2022-23
9,110,9,2022-12-11,South Carolina,,Liberty,REG (Non-Conf),W 88-39,*,22,5,9,.556,0,1,.000,5,8,.625,.556,3,4,.750,2,4,6,2,1,1,0,2,13,13.2,Aliyah Boston,https://www.sports-reference.com/cbb/players/aliyah-boston-1.html,south-carolina,2022-23
10,111,10,2022-12-15,South Carolina,N,South Dakota State,REG (Non-Conf),W 62-44,*,34,5,10,.500,0,2,.000,5,8,.625,.500,2,3,.667,2,7,9,0,0,2,4,3,12,6.3,Aliyah Boston,https://www.sports-reference.com/cbb/players/aliyah-boston-1.html,south-carolina,2022-23
