ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,15,1,2022-11-07,Southern Indiana,,Oakland City,REG (Non-Conf),W 87-39,,7,1,2,.500,0,1,.000,1,1,1.000,.500,0,0,,0,2,2,1,0,1,3,3,2,-1.2,Takiya Howard,https://www.sports-reference.com/cbb/players/takiya-howard-1.html,southern-indiana,2022-23
2,16,2,2022-11-11,Southern Indiana,,Western Illinois,REG (Non-Conf),W 88-75,,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0.0,Takiya Howard,https://www.sports-reference.com/cbb/players/takiya-howard-1.html,southern-indiana,2022-23
3,17,3,2022-11-15,Southern Indiana,@,Northern Illinois,REG (Non-Conf),L 53-61,,10,1,3,.333,0,1,.000,1,2,.500,.333,1,2,.500,0,0,0,2,0,0,0,1,3,1.9,Takiya Howard,https://www.sports-reference.com/cbb/players/takiya-howard-1.html,southern-indiana,2022-23
4,18,4,2022-11-19,Southern Indiana,,Bowling Green,REG (Non-Conf),L 74-100,,15,2,3,.667,0,0,,2,3,.667,.667,1,1,1.000,0,2,2,0,0,0,3,2,5,0.5,Takiya Howard,https://www.sports-reference.com/cbb/players/takiya-howard-1.html,southern-indiana,2022-23
5,19,5,2022-11-23,Southern Indiana,,Bethel (IN),REG (Non-Conf),W 85-52,,3,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,0,0,0,0,0,1,1,0,-2.1,Takiya Howard,https://www.sports-reference.com/cbb/players/takiya-howard-1.html,southern-indiana,2022-23
6,20,6,2022-12-03,Southern Indiana,@,Murray State,REG (Non-Conf),L 59-77,,13,0,4,.000,0,1,.000,0,3,.000,.000,1,2,.500,0,0,0,1,1,0,2,1,1,-2.9,Takiya Howard,https://www.sports-reference.com/cbb/players/takiya-howard-1.html,southern-indiana,2022-23
7,21,8,2022-12-10,Southern Indiana,@,Eastern Michigan,REG (Non-Conf),W 66-60,,3,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0.0,Takiya Howard,https://www.sports-reference.com/cbb/players/takiya-howard-1.html,southern-indiana,2022-23
8,22,9,2022-12-17,Southern Indiana,@,Wright State,REG (Non-Conf),W 76-66,,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0.0,Takiya Howard,https://www.sports-reference.com/cbb/players/takiya-howard-1.html,southern-indiana,2022-23
9,23,10,2022-12-18,Southern Indiana,@,Cincinnati,REG (Non-Conf),L 57-99,,8,0,1,.000,0,0,,0,1,.000,.000,4,4,1.000,0,2,2,0,0,1,3,3,4,0.4,Takiya Howard,https://www.sports-reference.com/cbb/players/takiya-howard-1.html,southern-indiana,2022-23
10,24,25,2023-02-11,Southern Indiana,,Lindenwood,REG (Conf),W 66-43,,2,1,1,1.000,0,0,,1,1,1.000,1.000,0,0,,1,0,1,0,0,0,0,0,2,2.4,Takiya Howard,https://www.sports-reference.com/cbb/players/takiya-howard-1.html,southern-indiana,2022-23
11,25,28,2023-02-23,Southern Indiana,,Tennessee Tech,REG (Conf),L 57-78,,14,1,6,.167,0,3,.000,1,3,.333,.167,4,6,.667,2,3,5,0,2,0,5,1,6,0.3,Takiya Howard,https://www.sports-reference.com/cbb/players/takiya-howard-1.html,southern-indiana,2022-23
12,26,29,2023-02-25,Southern Indiana,@,Tennessee State,REG (Conf),W 67-61,,10,2,6,.333,0,1,.000,2,5,.400,.333,0,0,,1,0,1,0,0,0,0,2,4,0.5,Takiya Howard,https://www.sports-reference.com/cbb/players/takiya-howard-1.html,southern-indiana,2022-23
