ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,1,1,2022-11-09,Tarleton State,,Arl Baptist,REG (Non-Conf),W 90-40,,13,7,10,.700,1,2,.500,6,8,.750,.750,0,0,,2,1,3,1,2,0,1,0,15,14.2,Viktoria Ivanova,https://www.sports-reference.com/cbb/players/viktoria-ivanova-1.html,tarleton-state,2022-23
2,2,2,2022-11-12,Tarleton State,,North Texas-Dallas,REG (Non-Conf),W 73-46,,28,3,9,.333,0,4,.000,3,5,.600,.333,0,0,,2,1,3,2,2,0,0,2,6,5.2,Viktoria Ivanova,https://www.sports-reference.com/cbb/players/viktoria-ivanova-1.html,tarleton-state,2022-23
3,3,3,2022-11-15,Tarleton State,@,Vanderbilt,REG (Non-Conf),L 48-84,*,25,1,5,.200,0,3,.000,1,2,.500,.200,1,2,.500,1,0,1,0,0,1,3,1,3,-2.5,Viktoria Ivanova,https://www.sports-reference.com/cbb/players/viktoria-ivanova-1.html,tarleton-state,2022-23
4,4,4,2022-11-18,Tarleton State,,College of Charleston,REG (Non-Conf),W 82-72,*,32,6,9,.667,1,3,.333,5,6,.833,.722,3,6,.500,2,5,7,1,1,1,4,3,16,11.0,Viktoria Ivanova,https://www.sports-reference.com/cbb/players/viktoria-ivanova-1.html,tarleton-state,2022-23
5,5,5,2022-11-22,Tarleton State,@,Nebraska,REG (Non-Conf),L 53-71,*,26,2,9,.222,2,3,.667,0,6,.000,.333,0,0,,0,0,0,0,0,0,2,1,6,-1.9,Viktoria Ivanova,https://www.sports-reference.com/cbb/players/viktoria-ivanova-1.html,tarleton-state,2022-23
6,6,6,2022-11-30,Tarleton State,@,Western Illinois,REG (Non-Conf),W 84-69,*,22,1,6,.167,0,2,.000,1,4,.250,.167,2,4,.500,0,1,1,0,1,0,1,2,4,-1.1,Viktoria Ivanova,https://www.sports-reference.com/cbb/players/viktoria-ivanova-1.html,tarleton-state,2022-23
7,7,7,2022-12-06,Tarleton State,,Weber State,REG (Non-Conf),W 86-69,*,29,1,7,.143,0,4,.000,1,3,.333,.143,0,0,,3,2,5,2,1,0,3,2,2,-1.2,Viktoria Ivanova,https://www.sports-reference.com/cbb/players/viktoria-ivanova-1.html,tarleton-state,2022-23
8,8,8,2022-12-10,Tarleton State,@,Eastern Washington,REG (Non-Conf),L 45-65,*,18,0,3,.000,0,2,.000,0,1,.000,.000,0,0,,1,1,2,2,0,2,1,2,0,-0.1,Viktoria Ivanova,https://www.sports-reference.com/cbb/players/viktoria-ivanova-1.html,tarleton-state,2022-23
9,9,9,2022-12-14,Tarleton State,,Northwestern State,REG (Non-Conf),W 67-46,*,19,0,7,.000,0,3,.000,0,4,.000,.000,0,0,,3,2,5,2,0,0,5,2,0,-6.6,Viktoria Ivanova,https://www.sports-reference.com/cbb/players/viktoria-ivanova-1.html,tarleton-state,2022-23
10,10,10,2022-12-19,Tarleton State,N,Ball State,REG (Non-Conf),L 77-80 (OT),,22,7,11,.636,2,5,.400,5,6,.833,.727,0,2,.000,0,5,5,0,1,0,0,3,16,11.6,Viktoria Ivanova,https://www.sports-reference.com/cbb/players/viktoria-ivanova-1.html,tarleton-state,2022-23
