ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,84,1,2022-11-07,Washington State,,Loyola Marymount,REG (Non-Conf),W 93-41,*,20,8,13,.615,0,0,8,13,.615,.615,2,7,.286,1,4,5,1,0,2,4,3,18,8.9,Bella Murekatete,https://www.sports-reference.com/cbb/players/bella-murekatete-1.html,washington-state,2022-23
2,85,2,2022-11-11,Washington State,@,San Francisco,REG (Non-Conf),W 69-63,*,20,7,11,.636,0,0,7,11,.636,.636,2,2,1.000,1,6,7,0,0,1,3,4,16,9.7,Bella Murekatete,https://www.sports-reference.com/cbb/players/bella-murekatete-1.html,washington-state,2022-23
3,86,3,2022-11-13,Washington State,,Prairie View A&M,REG (Non-Conf),W 89-61,*,21,4,8,.500,0,0,4,8,.500,.500,3,4,.750,3,8,11,3,0,0,1,3,11,11.0,Bella Murekatete,https://www.sports-reference.com/cbb/players/bella-murekatete-1.html,washington-state,2022-23
4,87,4,2022-11-18,Washington State,N,Brigham Young,REG (Non-Conf),L 56-65,*,26,2,8,.250,0,0,2,8,.250,.250,2,2,1.000,0,2,2,1,2,1,3,3,6,1.0,Bella Murekatete,https://www.sports-reference.com/cbb/players/bella-murekatete-1.html,washington-state,2022-23
5,88,5,2022-11-21,Washington State,N,Troy,REG (Non-Conf),W 87-72,*,32,9,17,.529,0,0,9,17,.529,.529,4,7,.571,4,12,16,3,0,5,3,4,22,19.9,Bella Murekatete,https://www.sports-reference.com/cbb/players/bella-murekatete-1.html,washington-state,2022-23
6,89,6,2022-11-28,Washington State,,South Dakota State,REG (Non-Conf),W 61-41,*,30,5,12,.417,0,0,5,12,.417,.417,5,8,.625,2,9,11,3,0,1,3,4,15,9.7,Bella Murekatete,https://www.sports-reference.com/cbb/players/bella-murekatete-1.html,washington-state,2022-23
7,90,7,2022-12-02,Washington State,,Montana,REG (Non-Conf),W 77-57,*,32,10,19,.526,0,0,10,19,.526,.526,1,2,.500,1,6,7,0,1,1,4,0,21,11.5,Bella Murekatete,https://www.sports-reference.com/cbb/players/bella-murekatete-1.html,washington-state,2022-23
8,91,8,2022-12-07,Washington State,@,Portland,REG (Non-Conf),W 69-63,*,32,6,14,.429,0,0,6,14,.429,.429,2,2,1.000,1,2,3,3,6,0,2,1,14,13.6,Bella Murekatete,https://www.sports-reference.com/cbb/players/bella-murekatete-1.html,washington-state,2022-23
9,92,9,2022-12-11,Washington State,@,Washington,REG (Conf),L 66-82,*,25,5,12,.417,0,0,5,12,.417,.417,0,0,,3,4,7,0,0,2,2,2,10,5.5,Bella Murekatete,https://www.sports-reference.com/cbb/players/bella-murekatete-1.html,washington-state,2022-23
10,93,10,2022-12-17,Washington State,,Jackson State,REG (Non-Conf),W 83-56,*,27,5,9,.556,0,0,5,9,.556,.556,4,4,1.000,0,10,10,5,0,0,3,3,14,12.0,Bella Murekatete,https://www.sports-reference.com/cbb/players/bella-murekatete-1.html,washington-state,2022-23
11,94,11,2022-12-19,Washington State,@,Texas A&M–Corpus Christi,REG (Non-Conf),W 75-49,*,21,1,6,.167,0,0,1,6,.167,.167,0,0,,2,2,4,1,2,3,3,3,2,0.8,Bella Murekatete,https://www.sports-reference.com/cbb/players/bella-murekatete-1.html,washington-state,2022-23
12,95,12,2022-12-21,Washington State,@,Houston,REG (Non-Conf),W 70-63,*,26,2,6,.333,0,0,2,6,.333,.333,4,4,1.000,3,7,10,1,2,2,2,4,8,9.3,Bella Murekatete,https://www.sports-reference.com/cbb/players/bella-murekatete-1.html,washington-state,2022-23
13,96,13,2022-12-30,Washington State,,Utah,REG (Conf),L 66-71,*,37,7,14,.500,0,0,7,14,.500,.500,6,7,.857,6,5,11,6,3,1,1,3,20,24.0,Bella Murekatete,https://www.sports-reference.com/cbb/players/bella-murekatete-1.html,washington-state,2022-23
14,97,14,2023-01-01,Washington State,,Colorado,REG (Conf),L 54-65,*,29,7,15,.467,0,0,7,15,.467,.467,1,1,1.000,0,3,3,0,1,1,3,4,15,5.3,Bella Murekatete,https://www.sports-reference.com/cbb/players/bella-murekatete-1.html,washington-state,2022-23
15,98,15,2023-01-08,Washington State,,Washington,REG (Conf),W 66-52,*,36,10,16,.625,0,0,10,16,.625,.625,0,0,,2,6,8,1,0,3,2,2,20,16.0,Bella Murekatete,https://www.sports-reference.com/cbb/players/bella-murekatete-1.html,washington-state,2022-23
16,99,16,2023-01-13,Washington State,@,Oregon State,REG (Conf),W 63-56,*,23,5,16,.313,0,0,5,16,.313,.313,0,0,,1,3,4,2,0,1,0,2,10,3.7,Bella Murekatete,https://www.sports-reference.com/cbb/players/bella-murekatete-1.html,washington-state,2022-23
17,100,17,2023-01-15,Washington State,@,Oregon,REG (Conf),W 85-84 (OT),*,27,10,16,.625,0,0,10,16,.625,.625,0,0,,1,6,7,2,1,2,2,5,20,15.1,Bella Murekatete,https://www.sports-reference.com/cbb/players/bella-murekatete-1.html,washington-state,2022-23
18,101,18,2023-01-20,Washington State,,Southern California,REG (Conf),L 44-51,*,26,4,8,.500,0,0,4,8,.500,.500,2,3,.667,2,2,4,2,1,0,4,2,10,5.2,Bella Murekatete,https://www.sports-reference.com/cbb/players/bella-murekatete-1.html,washington-state,2022-23
19,102,19,2023-01-22,Washington State,,UCLA,REG (Conf),L 66-73,*,22,4,15,.267,0,0,4,15,.267,.267,3,4,.750,3,1,4,0,1,1,0,3,11,4.6,Bella Murekatete,https://www.sports-reference.com/cbb/players/bella-murekatete-1.html,washington-state,2022-23
20,103,20,2023-01-27,Washington State,@,Arizona State,REG (Conf),W 61-57,*,23,3,9,.333,0,0,3,9,.333,.333,2,2,1.000,4,4,8,1,0,0,5,2,8,1.8,Bella Murekatete,https://www.sports-reference.com/cbb/players/bella-murekatete-1.html,washington-state,2022-23
21,104,21,2023-01-29,Washington State,@,Arizona,REG (Conf),W 70-59,*,28,7,13,.538,0,0,7,13,.538,.538,4,5,.800,5,4,9,2,2,2,3,2,18,17.0,Bella Murekatete,https://www.sports-reference.com/cbb/players/bella-murekatete-1.html,washington-state,2022-23
22,105,22,2023-02-03,Washington State,,Stanford,REG (Conf),L 38-71,*,17,2,8,.250,0,0,2,8,.250,.250,3,4,.750,1,3,4,0,0,0,2,4,7,-0.2,Bella Murekatete,https://www.sports-reference.com/cbb/players/bella-murekatete-1.html,washington-state,2022-23
23,106,23,2023-02-05,Washington State,,California,REG (Conf),W 70-60,*,14,2,4,.500,0,0,2,4,.500,.500,0,1,.000,0,3,3,1,1,1,2,4,4,1.3,Bella Murekatete,https://www.sports-reference.com/cbb/players/bella-murekatete-1.html,washington-state,2022-23
24,107,24,2023-02-10,Washington State,@,Colorado,REG (Conf),L 68-71,*,18,4,7,.571,0,0,4,7,.571,.571,0,0,,3,1,4,3,3,0,2,5,8,8.2,Bella Murekatete,https://www.sports-reference.com/cbb/players/bella-murekatete-1.html,washington-state,2022-23
25,108,25,2023-02-12,Washington State,@,Utah,REG (Conf),L 59-73,*,24,6,12,.500,0,0,6,12,.500,.500,6,10,.600,5,9,14,1,1,1,1,3,18,16.8,Bella Murekatete,https://www.sports-reference.com/cbb/players/bella-murekatete-1.html,washington-state,2022-23
26,109,26,2023-02-17,Washington State,,Oregon,REG (Conf),W 64-57,*,30,8,15,.533,0,0,8,15,.533,.533,1,2,.500,2,5,7,1,1,2,4,3,17,10.1,Bella Murekatete,https://www.sports-reference.com/cbb/players/bella-murekatete-1.html,washington-state,2022-23
27,110,27,2023-02-19,Washington State,,Oregon State,REG (Conf),W 67-57,*,27,8,14,.571,0,0,8,14,.571,.571,3,3,1.000,2,7,9,2,3,2,1,3,19,19.5,Bella Murekatete,https://www.sports-reference.com/cbb/players/bella-murekatete-1.html,washington-state,2022-23
28,111,28,2023-02-23,Washington State,@,UCLA,REG (Conf),W 62-55,*,24,4,10,.400,0,0,4,10,.400,.400,7,7,1.000,4,6,10,2,1,1,4,3,15,12.1,Bella Murekatete,https://www.sports-reference.com/cbb/players/bella-murekatete-1.html,washington-state,2022-23
29,112,29,2023-02-25,Washington State,@,Southern California,REG (Conf),L 65-68 (2OT),*,41,6,11,.545,0,0,6,11,.545,.545,5,7,.714,0,3,3,3,2,1,3,4,17,12.0,Bella Murekatete,https://www.sports-reference.com/cbb/players/bella-murekatete-1.html,washington-state,2022-23
30,113,30,2023-03-01,Washington State,N,California,CTOURN,W 61-49,*,23,6,10,.600,0,0,6,10,.600,.600,1,2,.500,5,7,12,1,1,1,3,4,13,11.4,Bella Murekatete,https://www.sports-reference.com/cbb/players/bella-murekatete-1.html,washington-state,2022-23
31,114,31,2023-03-02,Washington State,N,Utah,CTOURN,W 66-58,*,32,7,14,.500,0,0,7,14,.500,.500,5,8,.625,1,4,5,1,1,1,4,4,19,9.5,Bella Murekatete,https://www.sports-reference.com/cbb/players/bella-murekatete-1.html,washington-state,2022-23
32,115,32,2023-03-03,Washington State,N,Colorado,CTOURN,W 61-49,*,28,6,10,.600,0,0,6,10,.600,.600,0,1,.000,1,7,8,1,1,1,2,1,12,9.8,Bella Murekatete,https://www.sports-reference.com/cbb/players/bella-murekatete-1.html,washington-state,2022-23
33,116,33,2023-03-05,Washington State,N,UCLA,CTOURN,W 65-61,*,28,8,11,.727,0,0,8,11,.727,.727,5,7,.714,1,3,4,0,1,2,5,2,21,13.9,Bella Murekatete,https://www.sports-reference.com/cbb/players/bella-murekatete-1.html,washington-state,2022-23
34,117,34,2023-03-18,Washington State,N,Florida Gulf Coast,ROUND-64,L 63-74,*,19,3,6,.500,0,0,3,6,.500,.500,4,4,1.000,1,2,3,1,0,1,3,3,10,5.5,Bella Murekatete,https://www.sports-reference.com/cbb/players/bella-murekatete-1.html,washington-state,2022-23
