ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,81,1,2022-11-13,Weber State,@,Boise State,REG (Non-Conf),L 52-63,*,34,5,14,.357,0,1,.000,5,13,.385,.357,5,5,1.000,2,9,11,2,0,0,3,3,15,8.5,Jadyn Matthews,https://www.sports-reference.com/cbb/players/jadyn-matthews-1.html,weber-state,2022-23
2,82,2,2022-11-16,Weber State,@,Omaha,REG (Non-Conf),L 73-91,*,29,6,9,.667,3,5,.600,3,4,.750,.833,6,7,.857,2,4,6,1,0,1,3,4,21,16.1,Jadyn Matthews,https://www.sports-reference.com/cbb/players/jadyn-matthews-1.html,weber-state,2022-23
3,83,3,2022-11-19,Weber State,,Utah Valley,REG (Non-Conf),W 55-44,*,37,5,7,.714,0,2,.000,5,5,1.000,.714,6,6,1.000,0,8,8,0,1,1,2,1,16,14.8,Jadyn Matthews,https://www.sports-reference.com/cbb/players/jadyn-matthews-1.html,weber-state,2022-23
4,84,4,2022-11-25,Weber State,@,Bryant,REG (Non-Conf),W 57-50,*,37,6,13,.462,1,2,.500,5,11,.455,.500,1,2,.500,3,13,16,2,1,3,3,2,14,13.6,Jadyn Matthews,https://www.sports-reference.com/cbb/players/jadyn-matthews-1.html,weber-state,2022-23
5,85,5,2022-11-26,Weber State,@,Providence,REG (Non-Conf),L 55-62,*,37,5,12,.417,0,2,.000,5,10,.500,.417,0,0,,1,4,5,1,0,1,0,2,10,6.1,Jadyn Matthews,https://www.sports-reference.com/cbb/players/jadyn-matthews-1.html,weber-state,2022-23
6,86,6,2022-11-27,Weber State,N,Hartford,REG (Non-Conf),W 71-44,*,18,7,10,.700,0,0,,7,10,.700,.700,2,2,1.000,1,1,2,1,1,0,3,3,16,10.3,Jadyn Matthews,https://www.sports-reference.com/cbb/players/jadyn-matthews-1.html,weber-state,2022-23
7,87,7,2022-12-01,Weber State,,Utah State,REG (Non-Conf),L 69-74,*,35,5,10,.500,0,1,.000,5,9,.556,.500,9,10,.900,4,7,11,3,3,1,5,4,19,17.7,Jadyn Matthews,https://www.sports-reference.com/cbb/players/jadyn-matthews-1.html,weber-state,2022-23
8,88,8,2022-12-03,Weber State,,Seattle,REG (Non-Conf),W 64-51,*,33,4,7,.571,0,2,.000,4,5,.800,.571,7,8,.875,0,4,4,4,1,0,0,1,15,15.9,Jadyn Matthews,https://www.sports-reference.com/cbb/players/jadyn-matthews-1.html,weber-state,2022-23
9,89,9,2022-12-06,Weber State,@,Tarleton State,REG (Non-Conf),L 69-86,*,31,3,12,.250,0,1,.000,3,11,.273,.250,4,6,.667,1,6,7,2,2,0,3,1,10,4.5,Jadyn Matthews,https://www.sports-reference.com/cbb/players/jadyn-matthews-1.html,weber-state,2022-23
10,90,10,2022-12-10,Weber State,@,North Dakota,REG (Non-Conf),L 54-76,*,33,5,14,.357,1,2,.500,4,12,.333,.393,4,5,.800,3,8,11,1,0,1,2,0,15,10.7,Jadyn Matthews,https://www.sports-reference.com/cbb/players/jadyn-matthews-1.html,weber-state,2022-23
11,91,11,2022-12-17,Weber State,,Utah Tech,REG (Non-Conf),L 65-69,*,36,3,6,.500,0,2,.000,3,4,.750,.500,5,6,.833,2,10,12,6,1,2,5,3,11,12.4,Jadyn Matthews,https://www.sports-reference.com/cbb/players/jadyn-matthews-1.html,weber-state,2022-23
12,92,12,2022-12-20,Weber State,,Utah,REG (Non-Conf),L 52-88,*,34,1,5,.200,1,1,1.000,0,4,.000,.300,4,4,1.000,1,9,10,1,0,0,4,3,7,2.8,Jadyn Matthews,https://www.sports-reference.com/cbb/players/jadyn-matthews-1.html,weber-state,2022-23
13,93,13,2022-12-29,Weber State,@,Northern Colorado,REG (Conf),L 39-67,*,33,5,11,.455,0,2,.000,5,9,.556,.455,1,2,.500,0,4,4,2,0,4,2,1,11,7.9,Jadyn Matthews,https://www.sports-reference.com/cbb/players/jadyn-matthews-1.html,weber-state,2022-23
14,94,14,2022-12-31,Weber State,@,Northern Arizona,REG (Conf),L 68-82,*,39,4,9,.444,0,1,.000,4,8,.500,.444,4,8,.500,2,8,10,3,0,0,3,3,12,7.4,Jadyn Matthews,https://www.sports-reference.com/cbb/players/jadyn-matthews-1.html,weber-state,2022-23
15,95,15,2023-01-07,Weber State,@,Idaho State,REG (Conf),L 52-65,*,34,1,7,.143,0,2,.000,1,5,.200,.143,5,5,1.000,0,7,7,2,0,0,3,4,7,1.4,Jadyn Matthews,https://www.sports-reference.com/cbb/players/jadyn-matthews-1.html,weber-state,2022-23
16,96,16,2023-01-12,Weber State,,Montana,REG (Conf),L 64-67 (OT),*,42,5,16,.313,1,3,.333,4,13,.308,.344,3,3,1.000,2,9,11,3,1,0,1,2,14,10.2,Jadyn Matthews,https://www.sports-reference.com/cbb/players/jadyn-matthews-1.html,weber-state,2022-23
17,97,17,2023-01-14,Weber State,,Montana State,REG (Conf),L 65-80,*,35,6,17,.353,2,4,.500,4,13,.308,.412,2,2,1.000,3,9,12,1,0,0,2,4,16,8.4,Jadyn Matthews,https://www.sports-reference.com/cbb/players/jadyn-matthews-1.html,weber-state,2022-23
18,98,18,2023-01-19,Weber State,@,Portland State,REG (Conf),L 64-65,*,40,8,14,.571,0,0,,8,14,.571,.571,5,7,.714,1,4,5,3,1,0,1,0,21,17.6,Jadyn Matthews,https://www.sports-reference.com/cbb/players/jadyn-matthews-1.html,weber-state,2022-23
19,99,19,2023-01-21,Weber State,@,Sacramento State,REG (Conf),L 44-70,*,34,2,9,.222,2,3,.667,0,6,.000,.333,3,4,.750,1,3,4,2,0,0,1,1,9,4.7,Jadyn Matthews,https://www.sports-reference.com/cbb/players/jadyn-matthews-1.html,weber-state,2022-23
20,100,20,2023-01-26,Weber State,,Idaho,REG (Conf),L 52-66,*,35,4,13,.308,0,3,.000,4,10,.400,.308,3,4,.750,0,6,6,2,0,0,0,4,11,4.7,Jadyn Matthews,https://www.sports-reference.com/cbb/players/jadyn-matthews-1.html,weber-state,2022-23
21,101,21,2023-01-28,Weber State,,Eastern Washington,REG (Conf),W 68-65,*,36,4,10,.400,1,1,1.000,3,9,.333,.450,5,7,.714,0,4,4,4,0,0,2,1,14,9.4,Jadyn Matthews,https://www.sports-reference.com/cbb/players/jadyn-matthews-1.html,weber-state,2022-23
22,102,22,2023-02-04,Weber State,,Idaho State,REG (Conf),L 41-57,*,34,3,8,.375,0,2,.000,3,6,.500,.375,2,2,1.000,1,5,6,1,2,0,6,3,8,1.3,Jadyn Matthews,https://www.sports-reference.com/cbb/players/jadyn-matthews-1.html,weber-state,2022-23
23,103,23,2023-02-06,Weber State,,Northern Colorado,REG (Conf),L 60-73,*,38,6,11,.545,0,0,,6,11,.545,.545,1,3,.333,2,3,5,2,3,2,2,2,13,12.2,Jadyn Matthews,https://www.sports-reference.com/cbb/players/jadyn-matthews-1.html,weber-state,2022-23
24,104,24,2023-02-09,Weber State,@,Montana State,REG (Conf),L 60-75,*,37,4,12,.333,0,2,.000,4,10,.400,.333,7,9,.778,1,6,7,0,1,1,3,4,15,7.0,Jadyn Matthews,https://www.sports-reference.com/cbb/players/jadyn-matthews-1.html,weber-state,2022-23
25,105,25,2023-02-11,Weber State,@,Montana,REG (Conf),L 48-65,*,34,3,9,.333,0,0,,3,9,.333,.333,0,0,,2,6,8,1,1,1,2,1,6,4.1,Jadyn Matthews,https://www.sports-reference.com/cbb/players/jadyn-matthews-1.html,weber-state,2022-23
26,106,26,2023-02-16,Weber State,,Sacramento State,REG (Conf),L 52-66,*,38,3,10,.300,0,2,.000,3,8,.375,.300,4,4,1.000,1,2,3,0,2,0,2,2,10,4.7,Jadyn Matthews,https://www.sports-reference.com/cbb/players/jadyn-matthews-1.html,weber-state,2022-23
27,107,27,2023-02-18,Weber State,,Portland State,REG (Conf),W 62-55,*,40,9,15,.600,0,0,,9,15,.600,.600,3,4,.750,0,11,11,1,0,1,2,0,21,16.4,Jadyn Matthews,https://www.sports-reference.com/cbb/players/jadyn-matthews-1.html,weber-state,2022-23
28,108,28,2023-02-23,Weber State,@,Eastern Washington,REG (Conf),L 31-64,*,32,5,12,.417,0,1,.000,5,11,.455,.417,2,4,.500,0,7,7,2,2,0,0,0,12,10.3,Jadyn Matthews,https://www.sports-reference.com/cbb/players/jadyn-matthews-1.html,weber-state,2022-23
29,109,29,2023-02-25,Weber State,@,Idaho,REG (Conf),L 52-77,*,28,3,10,.300,1,4,.250,2,6,.333,.350,0,0,,0,10,10,3,0,0,0,1,7,5.9,Jadyn Matthews,https://www.sports-reference.com/cbb/players/jadyn-matthews-1.html,weber-state,2022-23
30,110,30,2023-02-27,Weber State,,Northern Arizona,REG (Conf),L 57-66,*,38,8,16,.500,1,3,.333,7,13,.538,.531,2,3,.667,3,8,11,2,3,0,1,3,19,17.3,Jadyn Matthews,https://www.sports-reference.com/cbb/players/jadyn-matthews-1.html,weber-state,2022-23
31,111,31,2023-03-04,Weber State,N,Northern Colorado,CTOURN,L 52-63,*,36,7,15,.467,0,0,,7,15,.467,.467,0,0,,1,2,3,1,3,0,3,4,14,6.7,Jadyn Matthews,https://www.sports-reference.com/cbb/players/jadyn-matthews-1.html,weber-state,2022-23
