ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,54,1,2022-11-07,Western Illinois,@,Minnesota,REG (Non-Conf),L 45-75,*,20,1,7,.143,1,5,.200,0,2,.000,.214,2,2,1.000,0,1,1,3,1,0,2,1,5,1.5,Anna Deets,https://www.sports-reference.com/cbb/players/anna-deets-1.html,western-illinois,2022-23
2,55,2,2022-11-11,Western Illinois,@,Southern Indiana,REG (Non-Conf),L 75-88,,17,3,4,.750,2,2,1.000,1,2,.500,1.000,2,4,.500,0,4,4,1,1,0,1,1,10,9.1,Anna Deets,https://www.sports-reference.com/cbb/players/anna-deets-1.html,western-illinois,2022-23
3,56,3,2022-11-14,Western Illinois,,Eastern Illinois,REG (Non-Conf),L 62-64,*,25,1,5,.200,0,3,.000,1,2,.500,.200,1,3,.333,1,5,6,1,0,0,3,4,3,-2.6,Anna Deets,https://www.sports-reference.com/cbb/players/anna-deets-1.html,western-illinois,2022-23
4,57,4,2022-11-17,Western Illinois,@,Northern Illinois,REG (Non-Conf),L 61-100,*,19,3,8,.375,3,7,.429,0,1,.000,.563,2,2,1.000,1,0,1,0,1,0,2,0,11,6.3,Anna Deets,https://www.sports-reference.com/cbb/players/anna-deets-1.html,western-illinois,2022-23
5,58,5,2022-11-21,Western Illinois,@,Chicago State,REG (Non-Conf),W 59-45,,26,4,8,.500,1,5,.200,3,3,1.000,.563,3,5,.600,0,5,5,2,1,0,2,2,12,8.3,Anna Deets,https://www.sports-reference.com/cbb/players/anna-deets-1.html,western-illinois,2022-23
6,59,6,2022-11-30,Western Illinois,,Tarleton State,REG (Non-Conf),L 69-84,*,16,1,3,.333,0,2,.000,1,1,1.000,.333,5,8,.625,1,1,2,0,0,1,1,0,7,4.8,Anna Deets,https://www.sports-reference.com/cbb/players/anna-deets-1.html,western-illinois,2022-23
7,60,7,2022-12-03,Western Illinois,,Eureka,REG (Non-Conf),W 86-54,,13,1,4,.250,1,4,.250,0,0,,.375,4,4,1.000,1,3,4,0,1,0,2,2,7,4.4,Anna Deets,https://www.sports-reference.com/cbb/players/anna-deets-1.html,western-illinois,2022-23
8,61,8,2022-12-07,Western Illinois,@,Southeast Missouri State,REG (Non-Conf),L 55-63,*,31,6,13,.462,5,10,.500,1,3,.333,.654,2,2,1.000,2,5,7,0,2,0,4,1,19,12.8,Anna Deets,https://www.sports-reference.com/cbb/players/anna-deets-1.html,western-illinois,2022-23
9,62,9,2022-12-09,Western Illinois,,Valparaiso,REG (Non-Conf),W 83-67,*,30,4,8,.500,3,6,.500,1,2,.500,.688,4,6,.667,2,4,6,0,1,0,2,1,15,11.4,Anna Deets,https://www.sports-reference.com/cbb/players/anna-deets-1.html,western-illinois,2022-23
10,63,10,2022-12-11,Western Illinois,,SIU Edwardsville,REG (Non-Conf),W 83-77,*,35,3,6,.500,3,5,.600,0,1,.000,.750,4,5,.800,0,1,1,0,3,1,0,1,13,13.2,Anna Deets,https://www.sports-reference.com/cbb/players/anna-deets-1.html,western-illinois,2022-23
11,64,11,2022-12-16,Western Illinois,,St. Xavier (IL),REG (Non-Conf),W 84-69,*,13,2,7,.286,1,5,.200,1,2,.500,.357,1,2,.500,1,1,2,0,0,1,2,0,6,1.2,Anna Deets,https://www.sports-reference.com/cbb/players/anna-deets-1.html,western-illinois,2022-23
12,65,12,2022-12-19,Western Illinois,@,North Dakota State,REG (Conf),L 60-84,*,25,4,9,.444,1,5,.200,3,4,.750,.500,7,7,1.000,0,1,1,0,0,0,0,4,16,10.0,Anna Deets,https://www.sports-reference.com/cbb/players/anna-deets-1.html,western-illinois,2022-23
13,66,13,2022-12-20,Western Illinois,@,North Dakota,REG (Conf),L 53-69,*,21,1,6,.167,1,5,.200,0,1,.000,.250,1,2,.500,1,7,8,0,1,0,2,2,4,0.8,Anna Deets,https://www.sports-reference.com/cbb/players/anna-deets-1.html,western-illinois,2022-23
14,67,14,2022-12-29,Western Illinois,,South Dakota State,REG (Conf),L 63-85,*,23,1,6,.167,0,3,.000,1,3,.333,.167,0,0,,0,1,1,1,0,0,3,3,2,-5.0,Anna Deets,https://www.sports-reference.com/cbb/players/anna-deets-1.html,western-illinois,2022-23
15,68,15,2022-12-31,Western Illinois,,South Dakota,REG (Conf),W 76-67,*,39,6,13,.462,3,7,.429,3,6,.500,.577,8,9,.889,1,3,4,1,1,1,0,2,23,19.1,Anna Deets,https://www.sports-reference.com/cbb/players/anna-deets-1.html,western-illinois,2022-23
16,69,16,2023-01-05,Western Illinois,@,Omaha,REG (Conf),L 64-76,*,31,4,11,.364,3,7,.429,1,4,.250,.500,5,7,.714,1,14,15,0,0,0,2,3,16,10.8,Anna Deets,https://www.sports-reference.com/cbb/players/anna-deets-1.html,western-illinois,2022-23
17,70,17,2023-01-07,Western Illinois,@,Denver,REG (Conf),L 58-70,*,25,3,10,.300,0,6,.000,3,4,.750,.300,3,3,1.000,2,5,7,0,0,0,0,2,9,5.3,Anna Deets,https://www.sports-reference.com/cbb/players/anna-deets-1.html,western-illinois,2022-23
18,71,18,2023-01-12,Western Illinois,,Oral Roberts,REG (Conf),L 90-94,*,31,7,13,.538,2,7,.286,5,6,.833,.615,8,9,.889,3,8,11,0,1,0,2,3,24,19.6,Anna Deets,https://www.sports-reference.com/cbb/players/anna-deets-1.html,western-illinois,2022-23
19,72,19,2023-01-14,Western Illinois,,Kansas City,REG (Conf),W 78-68,*,34,9,17,.529,6,12,.500,3,5,.600,.706,11,11,1.000,1,6,7,0,1,0,0,3,35,29.0,Anna Deets,https://www.sports-reference.com/cbb/players/anna-deets-1.html,western-illinois,2022-23
