ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,2,2,2022-11-13,Western Michigan,@,Michigan State,REG (Non-Conf),L 49-97,,1,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Kallie Harrison,https://www.sports-reference.com/cbb/players/kallie-harrison-1.html,western-michigan,2022-23
2,3,3,2022-11-16,Western Michigan,@,Michigan,REG (Non-Conf),L 67-99,,1,0,1,.000,0,0,,0,1,.000,.000,0,0,0,0,0,0,0,0,0,0,0,-0.7,Kallie Harrison,https://www.sports-reference.com/cbb/players/kallie-harrison-1.html,western-michigan,2022-23
3,4,6,2022-11-27,Western Michigan,,Grace Christian,REG (Non-Conf),W 102-41,,15,3,7,.429,1,4,.250,2,3,.667,.500,0,0,0,1,1,1,0,0,0,2,7,3.5,Kallie Harrison,https://www.sports-reference.com/cbb/players/kallie-harrison-1.html,western-michigan,2022-23
4,5,7,2022-11-30,Western Michigan,@,Colorado,REG (Non-Conf),L 37-75,,2,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Kallie Harrison,https://www.sports-reference.com/cbb/players/kallie-harrison-1.html,western-michigan,2022-23
5,6,11,2022-12-17,Western Michigan,@,Chicago State,REG (Non-Conf),W 101-73,,3,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,1,0,-0.4,Kallie Harrison,https://www.sports-reference.com/cbb/players/kallie-harrison-1.html,western-michigan,2022-23
6,7,12,2022-12-21,Western Michigan,@,Notre Dame,REG (Non-Conf),L 57-85,,1,0,0,,0,0,,0,0,,,0,0,0,0,0,1,0,0,1,0,0,-0.3,Kallie Harrison,https://www.sports-reference.com/cbb/players/kallie-harrison-1.html,western-michigan,2022-23
7,8,16,2023-01-14,Western Michigan,@,Central Michigan,REG (Conf),W 71-60,,1,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,1,0,-0.4,Kallie Harrison,https://www.sports-reference.com/cbb/players/kallie-harrison-1.html,western-michigan,2022-23
8,9,20,2023-01-28,Western Michigan,@,Kent State,REG (Conf),L 38-64,,1,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Kallie Harrison,https://www.sports-reference.com/cbb/players/kallie-harrison-1.html,western-michigan,2022-23
9,10,23,2023-02-08,Western Michigan,@,Miami (OH),REG (Conf),L 53-71,,1,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Kallie Harrison,https://www.sports-reference.com/cbb/players/kallie-harrison-1.html,western-michigan,2022-23
10,11,25,2023-02-15,Western Michigan,,Toledo,REG (Conf),L 44-75,,2,0,2,.000,0,1,.000,0,1,.000,.000,0,0,0,0,0,0,0,0,0,0,0,-1.4,Kallie Harrison,https://www.sports-reference.com/cbb/players/kallie-harrison-1.html,western-michigan,2022-23
11,12,27,2023-02-22,Western Michigan,@,Ball State,REG (Conf),L 49-80,,3,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,1,1,0,-1.4,Kallie Harrison,https://www.sports-reference.com/cbb/players/kallie-harrison-1.html,western-michigan,2022-23
