ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,23,1,2022-11-07,Winthrop,@,UCF,REG (Non-Conf),L 32-72,*,34,1,10,.100,1,2,.500,0,8,.000,.150,2,4,.500,1,0,1,3,2,0,6,3,5,-4.8,Jada Ryce,https://www.sports-reference.com/cbb/players/jada-ryce-1.html,winthrop,2022-23
2,24,2,2022-11-10,Winthrop,@,Western Carolina,REG (Non-Conf),L 47-48,*,39,2,4,.500,1,3,.333,1,1,1.000,.625,0,0,,1,3,4,3,6,0,7,3,5,4.5,Jada Ryce,https://www.sports-reference.com/cbb/players/jada-ryce-1.html,winthrop,2022-23
3,25,3,2022-11-13,Winthrop,,Coppin State,REG (Non-Conf),L 49-78,*,40,1,8,.125,0,0,,1,8,.125,.125,1,2,.500,4,5,9,3,4,0,5,3,3,1.6,Jada Ryce,https://www.sports-reference.com/cbb/players/jada-ryce-1.html,winthrop,2022-23
4,26,4,2022-11-17,Winthrop,@,West Virginia,REG (Non-Conf),L 48-70,*,37,3,9,.333,0,1,.000,3,8,.375,.333,2,2,1.000,2,3,5,3,1,0,5,2,8,2.5,Jada Ryce,https://www.sports-reference.com/cbb/players/jada-ryce-1.html,winthrop,2022-23
5,27,5,2022-11-21,Winthrop,@,Georgia State,REG (Non-Conf),L 45-68,*,36,5,10,.500,0,3,.000,5,7,.714,.500,0,0,,1,1,2,0,1,0,2,1,10,4.6,Jada Ryce,https://www.sports-reference.com/cbb/players/jada-ryce-1.html,winthrop,2022-23
6,28,6,2022-11-23,Winthrop,,St. Andrews,REG (Non-Conf),W 60-29,*,28,3,8,.375,0,1,.000,3,7,.429,.375,2,3,.667,1,4,5,3,4,0,2,0,8,9.2,Jada Ryce,https://www.sports-reference.com/cbb/players/jada-ryce-1.html,winthrop,2022-23
7,29,7,2022-11-27,Winthrop,,UNC Greensboro,REG (Non-Conf),L 52-75,*,37,8,13,.615,2,5,.400,6,8,.750,.692,2,3,.667,3,1,4,2,1,0,5,2,20,12.7,Jada Ryce,https://www.sports-reference.com/cbb/players/jada-ryce-1.html,winthrop,2022-23
8,30,8,2022-12-01,Winthrop,@,UNC Wilmington,REG (Non-Conf),L 61-79,*,32,6,9,.667,0,0,,6,9,.667,.667,4,4,1.000,1,2,3,2,0,0,1,3,16,12.6,Jada Ryce,https://www.sports-reference.com/cbb/players/jada-ryce-1.html,winthrop,2022-23
9,31,9,2022-12-03,Winthrop,,South Carolina State,REG (Non-Conf),W 61-38,*,33,4,9,.444,0,1,.000,4,8,.500,.444,0,0,,2,3,5,1,4,0,3,1,8,6.9,Jada Ryce,https://www.sports-reference.com/cbb/players/jada-ryce-1.html,winthrop,2022-23
10,32,10,2022-12-18,Winthrop,N,Bethune-Cookman,REG (Non-Conf),L 54-67,*,39,4,14,.286,0,4,.000,4,10,.400,.286,2,2,1.000,2,5,7,3,2,0,7,3,10,0.6,Jada Ryce,https://www.sports-reference.com/cbb/players/jada-ryce-1.html,winthrop,2022-23
11,33,11,2022-12-19,Winthrop,@,Stetson,REG (Non-Conf),L 38-53,*,33,4,13,.308,1,6,.167,3,7,.429,.346,0,0,,3,2,5,2,2,0,7,5,9,-1.4,Jada Ryce,https://www.sports-reference.com/cbb/players/jada-ryce-1.html,winthrop,2022-23
12,34,12,2023-01-02,Winthrop,@,UNC Asheville,REG (Conf),L 48-54,*,36,3,15,.200,2,6,.333,1,9,.111,.267,0,0,,2,2,4,2,4,0,7,3,8,-2.1,Jada Ryce,https://www.sports-reference.com/cbb/players/jada-ryce-1.html,winthrop,2022-23
13,35,13,2023-01-04,Winthrop,@,Presbyterian,REG (Conf),L 47-66,*,34,3,14,.214,0,2,.000,3,12,.250,.214,0,2,.000,0,6,6,1,3,0,2,0,6,0.1,Jada Ryce,https://www.sports-reference.com/cbb/players/jada-ryce-1.html,winthrop,2022-23
14,36,14,2023-01-07,Winthrop,,Longwood,REG (Conf),W 69-55,*,36,3,9,.333,0,1,.000,3,8,.375,.333,5,8,.625,2,3,5,2,1,0,1,2,11,7.6,Jada Ryce,https://www.sports-reference.com/cbb/players/jada-ryce-1.html,winthrop,2022-23
15,37,15,2023-01-11,Winthrop,@,Radford,REG (Conf),L 45-74,*,26,2,7,.286,0,0,,2,7,.286,.286,0,0,,0,2,2,0,0,0,1,1,4,-0.9,Jada Ryce,https://www.sports-reference.com/cbb/players/jada-ryce-1.html,winthrop,2022-23
