ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,78,1,2023-11-06,Arkansas–Pine Bluff,@,Oregon State,REG (Non-Conf),L 74-85,*,38,11,23,.478,4,9,.444,7,14,.500,.565,0,1,.000,1,6,7,4,0,1,1,4,26,17.3,Zaay Green,https://www.sports-reference.com/cbb/players/zaay-green-1.html,arkansas-pine-bluff,2023-24
2,79,2,2023-11-08,Arkansas–Pine Bluff,@,Oregon,REG (Non-Conf),L 60-86,*,33,11,21,.524,2,4,.500,9,17,.529,.571,0,2,.000,0,1,1,2,4,1,2,3,24,16.1,Zaay Green,https://www.sports-reference.com/cbb/players/zaay-green-1.html,arkansas-pine-bluff,2023-24
3,80,3,2023-11-18,Arkansas–Pine Bluff,,Tx A&M-Texarkana,REG (Non-Conf),W 118-51,*,29,10,17,.588,2,5,.400,8,12,.667,.647,1,2,.500,1,12,13,12,3,0,1,2,23,28.6,Zaay Green,https://www.sports-reference.com/cbb/players/zaay-green-1.html,arkansas-pine-bluff,2023-24
4,81,4,2023-11-24,Arkansas–Pine Bluff,N,Tulsa,REG (Non-Conf),L 79-90 (OT),*,40,9,18,.500,0,2,.000,9,16,.563,.500,2,3,.667,2,7,9,4,0,0,0,2,20,16.1,Zaay Green,https://www.sports-reference.com/cbb/players/zaay-green-1.html,arkansas-pine-bluff,2023-24
5,82,5,2023-11-25,Arkansas–Pine Bluff,N,Mississippi State,REG (Non-Conf),L 68-77,*,36,8,17,.471,0,4,.000,8,13,.615,.471,3,3,1.000,2,5,7,7,1,0,3,4,19,14.5,Zaay Green,https://www.sports-reference.com/cbb/players/zaay-green-1.html,arkansas-pine-bluff,2023-24
6,83,6,2023-11-26,Arkansas–Pine Bluff,N,Clemson,REG (Non-Conf),L 66-92,*,35,6,14,.429,0,2,.000,6,12,.500,.429,1,2,.500,0,7,7,6,0,0,1,4,13,8.9,Zaay Green,https://www.sports-reference.com/cbb/players/zaay-green-1.html,arkansas-pine-bluff,2023-24
7,84,7,2023-11-28,Arkansas–Pine Bluff,@,Arkansas State,REG (Non-Conf),L 65-85,*,28,6,17,.353,1,2,.500,5,15,.333,.382,0,0,,0,3,3,0,0,0,5,2,13,-1.4,Zaay Green,https://www.sports-reference.com/cbb/players/zaay-green-1.html,arkansas-pine-bluff,2023-24
8,85,8,2023-12-01,Arkansas–Pine Bluff,,Arkansas Baptist,REG (Non-Conf),W 103-35,*,35,7,14,.500,4,7,.571,3,7,.429,.643,1,2,.500,4,7,11,16,6,2,0,0,19,35.1,Zaay Green,https://www.sports-reference.com/cbb/players/zaay-green-1.html,arkansas-pine-bluff,2023-24
9,86,9,2023-12-04,Arkansas–Pine Bluff,@,SMU,REG (Non-Conf),W 78-76,*,39,7,15,.467,0,3,.000,7,12,.583,.467,9,16,.563,0,8,8,9,1,1,3,3,23,18.7,Zaay Green,https://www.sports-reference.com/cbb/players/zaay-green-1.html,arkansas-pine-bluff,2023-24
10,87,10,2023-12-06,Arkansas–Pine Bluff,@,North Texas,REG (Non-Conf),L 66-73,*,38,9,20,.450,0,4,.000,9,16,.563,.450,0,3,.000,1,6,7,4,2,0,6,0,18,7.7,Zaay Green,https://www.sports-reference.com/cbb/players/zaay-green-1.html,arkansas-pine-bluff,2023-24
11,88,11,2023-12-10,Arkansas–Pine Bluff,@,Arkansas,REG (Non-Conf),W 74-70,*,35,8,22,.364,2,2,1.000,6,20,.300,.409,3,3,1.000,5,4,9,4,3,0,3,3,21,15.1,Zaay Green,https://www.sports-reference.com/cbb/players/zaay-green-1.html,arkansas-pine-bluff,2023-24
12,89,12,2023-12-21,Arkansas–Pine Bluff,,Ole Miss,REG (Non-Conf),L 47-62,*,37,5,18,.278,1,7,.143,4,11,.364,.306,1,2,.500,1,7,8,6,0,0,4,1,12,3.6,Zaay Green,https://www.sports-reference.com/cbb/players/zaay-green-1.html,arkansas-pine-bluff,2023-24
13,90,13,2023-12-31,Arkansas–Pine Bluff,@,McNeese State,REG (Non-Conf),W 103-87,*,33,8,16,.500,1,3,.333,7,13,.538,.531,1,1,1.000,0,4,4,9,4,2,6,2,18,16.1,Zaay Green,https://www.sports-reference.com/cbb/players/zaay-green-1.html,arkansas-pine-bluff,2023-24
14,91,14,2024-01-06,Arkansas–Pine Bluff,,Alabama A&M,REG (Conf),W 75-67,*,39,7,15,.467,0,1,.000,7,14,.500,.467,1,2,.500,0,6,6,8,3,2,5,4,15,12.1,Zaay Green,https://www.sports-reference.com/cbb/players/zaay-green-1.html,arkansas-pine-bluff,2023-24
15,92,15,2024-01-08,Arkansas–Pine Bluff,,Alabama State,REG (Conf),W 85-52,*,36,6,17,.353,0,4,.000,6,13,.462,.353,2,2,1.000,3,6,9,4,5,0,3,1,14,12.8,Zaay Green,https://www.sports-reference.com/cbb/players/zaay-green-1.html,arkansas-pine-bluff,2023-24
16,93,16,2024-01-13,Arkansas–Pine Bluff,@,Texas Southern,REG (Conf),L 80-85,*,14,1,10,.100,0,1,.000,1,9,.111,.100,0,0,,2,1,3,2,2,0,1,4,2,-2.1,Zaay Green,https://www.sports-reference.com/cbb/players/zaay-green-1.html,arkansas-pine-bluff,2023-24
17,94,17,2024-01-20,Arkansas–Pine Bluff,,Florida A&M,REG (Conf),W 85-62,*,39,8,13,.615,1,1,1.000,7,12,.583,.654,3,3,1.000,0,10,10,11,1,1,3,1,20,23.1,Zaay Green,https://www.sports-reference.com/cbb/players/zaay-green-1.html,arkansas-pine-bluff,2023-24
18,95,18,2024-01-22,Arkansas–Pine Bluff,,Bethune-Cookman,REG (Conf),L 70-73,*,29,8,13,.615,1,3,.333,7,10,.700,.654,2,3,.667,0,7,7,4,2,1,3,4,19,15.7,Zaay Green,https://www.sports-reference.com/cbb/players/zaay-green-1.html,arkansas-pine-bluff,2023-24
19,96,19,2024-01-27,Arkansas–Pine Bluff,@,Southern,REG (Conf),W 74-59,*,25,2,5,.400,0,0,,2,5,.400,.400,6,6,1.000,0,4,4,4,1,0,5,5,10,5.3,Zaay Green,https://www.sports-reference.com/cbb/players/zaay-green-1.html,arkansas-pine-bluff,2023-24
20,97,20,2024-01-29,Arkansas–Pine Bluff,@,Grambling State,REG (Conf),W 56-49,*,38,5,15,.333,0,2,.000,5,13,.385,.333,4,5,.800,0,10,10,1,1,0,2,1,14,7.4,Zaay Green,https://www.sports-reference.com/cbb/players/zaay-green-1.html,arkansas-pine-bluff,2023-24
21,98,21,2024-02-03,Arkansas–Pine Bluff,@,Mississippi Valley State,REG (Conf),W 76-60,*,30,1,5,.200,0,1,.000,1,4,.250,.200,0,2,.000,3,7,10,4,3,2,4,0,2,5.5,Zaay Green,https://www.sports-reference.com/cbb/players/zaay-green-1.html,arkansas-pine-bluff,2023-24
22,99,22,2024-02-05,Arkansas–Pine Bluff,@,Prairie View A&M,REG (Conf),W 77-48,*,35,9,12,.750,0,0,,9,12,.750,.750,3,5,.600,0,6,6,4,6,1,5,2,21,20.9,Zaay Green,https://www.sports-reference.com/cbb/players/zaay-green-1.html,arkansas-pine-bluff,2023-24
23,100,23,2024-02-10,Arkansas–Pine Bluff,,Alcorn State,REG (Conf),W 80-57,*,32,7,13,.538,1,2,.500,6,11,.545,.577,3,5,.600,2,9,11,4,3,2,2,2,18,19.4,Zaay Green,https://www.sports-reference.com/cbb/players/zaay-green-1.html,arkansas-pine-bluff,2023-24
24,101,25,2024-02-17,Arkansas–Pine Bluff,@,Alabama State,REG (Conf),W 70-47,*,35,5,12,.417,1,5,.200,4,7,.571,.458,1,2,.500,2,14,16,8,3,1,3,2,12,16.3,Zaay Green,https://www.sports-reference.com/cbb/players/zaay-green-1.html,arkansas-pine-bluff,2023-24
25,102,26,2024-02-19,Arkansas–Pine Bluff,@,Alabama A&M,REG (Conf),L 59-67,*,32,5,15,.333,0,2,.000,5,13,.385,.333,1,3,.333,1,7,8,4,2,1,3,3,11,5.8,Zaay Green,https://www.sports-reference.com/cbb/players/zaay-green-1.html,arkansas-pine-bluff,2023-24
26,103,30,2024-03-07,Arkansas–Pine Bluff,@,Jackson State,REG (Conf),L 67-82,*,38,5,22,.227,1,7,.143,4,15,.267,.250,5,10,.500,2,1,3,5,3,0,1,2,16,7.0,Zaay Green,https://www.sports-reference.com/cbb/players/zaay-green-1.html,arkansas-pine-bluff,2023-24
27,104,31,2024-03-09,Arkansas–Pine Bluff,@,Alcorn State,REG (Conf),L 52-59,*,40,3,12,.250,2,5,.400,1,7,.143,.333,6,6,1.000,1,8,9,4,3,0,1,1,14,14.3,Zaay Green,https://www.sports-reference.com/cbb/players/zaay-green-1.html,arkansas-pine-bluff,2023-24
28,105,32,2024-03-14,Arkansas–Pine Bluff,N,Alabama A&M,CTOURN,W 82-74,*,39,9,19,.474,4,6,.667,5,13,.385,.579,10,11,.909,1,5,6,8,1,0,5,1,32,25.3,Zaay Green,https://www.sports-reference.com/cbb/players/zaay-green-1.html,arkansas-pine-bluff,2023-24
29,106,33,2024-03-15,Arkansas–Pine Bluff,N,Jackson State,CTOURN,L 48-70,*,37,4,19,.211,2,6,.333,2,13,.154,.263,5,8,.625,0,9,9,5,0,0,2,2,15,5.5,Zaay Green,https://www.sports-reference.com/cbb/players/zaay-green-1.html,arkansas-pine-bluff,2023-24
