ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,64,1,2023-11-07,Bowling Green,,Cleveland State,REG (Non-Conf),W 89-86,*,40,6,13,.462,4,11,.364,2,2,1.000,.615,3,3,1.000,1,2,3,2,2,0,3,4,19,12.4,Lexi Fleming,https://www.sports-reference.com/cbb/players/lexi-fleming-1.html,bowling-green-state,2023-24
2,65,2,2023-11-11,Bowling Green,@,Texas State,REG (Non-Conf),L 48-74,*,17,2,5,.400,2,4,.500,0,1,.000,.600,0,0,,0,1,1,1,1,0,3,4,6,0.7,Lexi Fleming,https://www.sports-reference.com/cbb/players/lexi-fleming-1.html,bowling-green-state,2023-24
3,66,3,2023-11-18,Bowling Green,@,Xavier,REG (Non-Conf),W 73-64,*,40,7,15,.467,4,9,.444,3,6,.500,.600,3,4,.750,0,7,7,5,5,0,0,0,21,23.5,Lexi Fleming,https://www.sports-reference.com/cbb/players/lexi-fleming-1.html,bowling-green-state,2023-24
4,67,4,2023-11-22,Bowling Green,N,Mercer,REG (Non-Conf),W 59-38,*,35,6,15,.400,1,8,.125,5,7,.714,.433,1,1,1.000,1,3,4,5,6,0,3,2,14,13.2,Lexi Fleming,https://www.sports-reference.com/cbb/players/lexi-fleming-1.html,bowling-green-state,2023-24
5,68,5,2023-11-23,Bowling Green,N,Lehigh,REG (Non-Conf),W 85-73,*,35,8,16,.500,2,8,.250,6,8,.750,.563,4,4,1.000,1,6,7,5,3,1,5,2,22,17.9,Lexi Fleming,https://www.sports-reference.com/cbb/players/lexi-fleming-1.html,bowling-green-state,2023-24
6,69,6,2023-11-27,Bowling Green,,Duquesne,REG (Non-Conf),W 68-66,*,36,7,14,.500,4,11,.364,3,3,1.000,.643,1,1,1.000,1,6,7,3,1,0,2,2,19,14.8,Lexi Fleming,https://www.sports-reference.com/cbb/players/lexi-fleming-1.html,bowling-green-state,2023-24
7,70,7,2023-12-02,Bowling Green,@,Iowa,REG (Non-Conf),L 65-99,*,39,8,22,.364,4,14,.286,4,8,.500,.455,4,4,1.000,3,4,7,2,3,0,2,0,24,17.5,Lexi Fleming,https://www.sports-reference.com/cbb/players/lexi-fleming-1.html,bowling-green-state,2023-24
8,71,8,2023-12-12,Bowling Green,@,Wright State,REG (Non-Conf),W 69-48,*,34,6,12,.500,2,5,.400,4,7,.571,.583,0,2,.000,0,3,3,2,1,0,1,0,14,9.5,Lexi Fleming,https://www.sports-reference.com/cbb/players/lexi-fleming-1.html,bowling-green-state,2023-24
9,72,9,2023-12-19,Bowling Green,,South Carolina,REG (Non-Conf),L 62-93,*,37,4,13,.308,1,8,.125,3,5,.600,.346,2,2,1.000,2,5,7,3,2,0,1,1,11,9.1,Lexi Fleming,https://www.sports-reference.com/cbb/players/lexi-fleming-1.html,bowling-green-state,2023-24
10,73,10,2023-12-22,Bowling Green,@,Indiana,REG (Non-Conf),L 35-84,*,1,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,1,0,0,-0.7,Lexi Fleming,https://www.sports-reference.com/cbb/players/lexi-fleming-1.html,bowling-green-state,2023-24
