ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,1,1,2023-11-06,Central Arkansas,,Hendrix,REG (Non-Conf),W 85-25,,17,1,6,.167,0,0,,1,6,.167,.167,1,2,.500,0,2,2,1,0,0,2,2,3,-2.7,Cheyanne Kemp,https://www.sports-reference.com/cbb/players/cheyanne-kemp-1.html,central-arkansas,2023-24
2,2,2,2023-11-11,Central Arkansas,@,Samford,REG (Non-Conf),L 62-65,,10,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,0,0,1,0,0,0,2,0,-0.8,Cheyanne Kemp,https://www.sports-reference.com/cbb/players/cheyanne-kemp-1.html,central-arkansas,2023-24
3,3,3,2023-11-14,Central Arkansas,,UT Martin,REG (Non-Conf),W 56-45,,9,1,3,.333,1,2,.500,0,1,.000,.500,0,0,,0,0,0,0,1,0,2,0,3,0.3,Cheyanne Kemp,https://www.sports-reference.com/cbb/players/cheyanne-kemp-1.html,central-arkansas,2023-24
4,4,4,2023-11-20,Central Arkansas,@,Arkansas,REG (Non-Conf),L 67-81,,14,0,3,.000,0,1,.000,0,2,.000,.000,2,2,1.000,0,2,2,1,0,0,2,2,2,-1.6,Cheyanne Kemp,https://www.sports-reference.com/cbb/players/cheyanne-kemp-1.html,central-arkansas,2023-24
5,5,5,2023-11-24,Central Arkansas,@,Denver,REG (Non-Conf),W 90-84,,13,2,5,.400,0,0,,2,5,.400,.400,4,4,1.000,0,3,3,0,0,0,0,2,8,5.4,Cheyanne Kemp,https://www.sports-reference.com/cbb/players/cheyanne-kemp-1.html,central-arkansas,2023-24
6,6,6,2023-11-25,Central Arkansas,N,Nevada,REG (Non-Conf),L 65-67 (OT),,13,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,3,3,2,0,0,0,1,0,1.2,Cheyanne Kemp,https://www.sports-reference.com/cbb/players/cheyanne-kemp-1.html,central-arkansas,2023-24
7,7,8,2023-12-02,Central Arkansas,@,Little Rock,REG (Non-Conf),W 63-58,,7,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,0,0,0,0.3,Cheyanne Kemp,https://www.sports-reference.com/cbb/players/cheyanne-kemp-1.html,central-arkansas,2023-24
8,8,9,2023-12-05,Central Arkansas,@,Tulsa,REG (Non-Conf),L 58-60,,6,0,2,.000,0,0,,0,2,.000,.000,0,0,,1,0,1,0,0,0,1,0,0,-1.7,Cheyanne Kemp,https://www.sports-reference.com/cbb/players/cheyanne-kemp-1.html,central-arkansas,2023-24
9,9,10,2023-12-09,Central Arkansas,,Central Baptist,REG (Non-Conf),W 69-32,,17,2,8,.250,1,3,.333,1,5,.200,.313,0,0,,0,4,4,1,0,1,2,3,5,-0.4,Cheyanne Kemp,https://www.sports-reference.com/cbb/players/cheyanne-kemp-1.html,central-arkansas,2023-24
10,10,11,2023-12-16,Central Arkansas,@,Kansas,REG (Non-Conf),L 48-69,,7,1,3,.333,1,1,1.000,0,2,.000,.500,0,0,,1,1,2,0,0,0,0,0,3,2.3,Cheyanne Kemp,https://www.sports-reference.com/cbb/players/cheyanne-kemp-1.html,central-arkansas,2023-24
11,11,12,2023-12-20,Central Arkansas,,Northwestern State,REG (Non-Conf),W 75-57,,9,1,2,.500,0,0,,1,2,.500,.500,1,2,.500,0,1,1,0,0,0,0,1,3,1.5,Cheyanne Kemp,https://www.sports-reference.com/cbb/players/cheyanne-kemp-1.html,central-arkansas,2023-24
12,12,14,2023-12-29,Central Arkansas,@,Alabama A&M,REG (Non-Conf),W 65-59,,9,1,3,.333,0,2,.000,1,1,1.000,.333,0,0,,0,0,0,0,0,0,0,2,2,-0.5,Cheyanne Kemp,https://www.sports-reference.com/cbb/players/cheyanne-kemp-1.html,central-arkansas,2023-24
