ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,57,1,2023-11-06,Columbia,@,Stony Brook,REG (Non-Conf),L 73-85,*,24,4,7,.571,2,3,.667,2,4,.500,.714,1,1,1.000,1,3,4,5,2,0,4,2,11,10.0,Cecelia Collins,https://www.sports-reference.com/cbb/players/cecelia-collins-1.html,columbia,2023-24
2,58,2,2023-11-10,Columbia,,Seton Hall,REG (Non-Conf),W 72-61,*,32,5,9,.556,1,3,.333,4,6,.667,.611,3,4,.750,2,4,6,2,0,0,2,1,14,10.9,Cecelia Collins,https://www.sports-reference.com/cbb/players/cecelia-collins-1.html,columbia,2023-24
3,59,3,2023-11-14,Columbia,,Duke,REG (Non-Conf),L 62-66,*,27,3,7,.429,0,1,.000,3,6,.500,.429,0,0,,1,8,9,3,0,0,4,3,6,2.3,Cecelia Collins,https://www.sports-reference.com/cbb/players/cecelia-collins-1.html,columbia,2023-24
4,60,4,2023-11-16,Columbia,,Towson,REG (Non-Conf),W 80-57,*,22,6,9,.667,3,4,.750,3,5,.600,.833,0,0,,1,3,4,4,0,0,2,1,15,13.1,Cecelia Collins,https://www.sports-reference.com/cbb/players/cecelia-collins-1.html,columbia,2023-24
5,61,5,2023-11-20,Columbia,N,Georgia,REG (Non-Conf),L 56-73,*,19,0,6,.000,0,2,.000,0,4,.000,.000,0,0,,0,0,0,2,0,0,0,2,0,-3.6,Cecelia Collins,https://www.sports-reference.com/cbb/players/cecelia-collins-1.html,columbia,2023-24
6,62,6,2023-11-22,Columbia,N,Florida,REG (Non-Conf),L 81-83,*,29,5,9,.556,1,3,.333,4,6,.667,.611,7,8,.875,0,2,2,5,0,0,2,4,18,13.8,Cecelia Collins,https://www.sports-reference.com/cbb/players/cecelia-collins-1.html,columbia,2023-24
7,63,7,2023-11-25,Columbia,,Northeastern,REG (Non-Conf),W 88-45,*,23,5,9,.556,0,1,.000,5,8,.625,.556,2,3,.667,1,1,2,4,0,0,1,2,12,9.3,Cecelia Collins,https://www.sports-reference.com/cbb/players/cecelia-collins-1.html,columbia,2023-24
8,64,8,2023-11-29,Columbia,,Providence,REG (Non-Conf),W 77-52,*,24,3,6,.500,2,4,.500,1,2,.500,.667,2,2,1.000,1,3,4,3,1,1,1,1,10,11.0,Cecelia Collins,https://www.sports-reference.com/cbb/players/cecelia-collins-1.html,columbia,2023-24
9,65,9,2023-12-03,Columbia,,Villanova,REG (Non-Conf),W 77-75,*,18,3,9,.333,1,1,1.000,2,8,.250,.389,4,4,1.000,3,1,4,1,0,0,1,3,11,6.8,Cecelia Collins,https://www.sports-reference.com/cbb/players/cecelia-collins-1.html,columbia,2023-24
10,66,10,2023-12-06,Columbia,,Memphis,REG (Non-Conf),W 76-66,*,25,5,13,.385,0,1,.000,5,12,.417,.385,2,2,1.000,5,0,5,5,0,0,0,3,12,10.7,Cecelia Collins,https://www.sports-reference.com/cbb/players/cecelia-collins-1.html,columbia,2023-24
11,67,11,2023-12-10,Columbia,,Wagner,REG (Non-Conf),W 79-50,*,22,5,8,.625,0,0,,5,8,.625,.625,6,7,.857,4,1,5,2,0,0,1,2,16,14.7,Cecelia Collins,https://www.sports-reference.com/cbb/players/cecelia-collins-1.html,columbia,2023-24
12,68,12,2023-12-28,Columbia,@,San Francisco,REG (Non-Conf),W 74-67,*,23,4,8,.500,0,3,.000,4,5,.800,.500,1,2,.500,0,4,4,3,0,0,3,2,9,4.1,Cecelia Collins,https://www.sports-reference.com/cbb/players/cecelia-collins-1.html,columbia,2023-24
13,69,13,2023-12-31,Columbia,@,Pacific,REG (Non-Conf),W 93-75,*,26,9,11,.818,3,4,.750,6,7,.857,.955,7,8,.875,2,1,3,5,1,0,2,0,28,27.7,Cecelia Collins,https://www.sports-reference.com/cbb/players/cecelia-collins-1.html,columbia,2023-24
