ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,14,1,2023-11-06,DePaul,,Western Michigan,REG (Non-Conf),W 77-53,*,29,0,6,.000,0,4,.000,0,2,.000,.000,0,0,,2,3,5,5,2,0,1,3,0,1.4,Maeve McErlane,https://www.sports-reference.com/cbb/players/maeve-mcerlane-1.html,depaul,2023-24
2,15,3,2023-11-12,DePaul,@,Louisville,REG (Non-Conf),L 74-81,,6,0,0,,0,0,,0,0,,,0,0,,0,0,0,1,0,0,4,2,0,-4.1,Maeve McErlane,https://www.sports-reference.com/cbb/players/maeve-mcerlane-1.html,depaul,2023-24
3,16,4,2023-11-18,DePaul,N,South Dakota,REG (Non-Conf),L 71-83,,28,1,7,.143,0,6,.000,1,1,1.000,.143,0,0,,0,2,2,3,1,0,0,1,2,0.8,Maeve McErlane,https://www.sports-reference.com/cbb/players/maeve-mcerlane-1.html,depaul,2023-24
4,17,5,2023-11-19,DePaul,N,Middle Tennessee,REG (Non-Conf),L 69-71,,20,2,6,.333,0,2,.000,2,4,.500,.333,0,0,,3,1,4,5,0,1,1,0,4,6.2,Maeve McErlane,https://www.sports-reference.com/cbb/players/maeve-mcerlane-1.html,depaul,2023-24
5,18,6,2023-11-20,DePaul,N,Howard,REG (Non-Conf),W 85-62,*,30,4,10,.400,3,9,.333,1,1,1.000,.550,0,0,,0,3,3,3,1,0,2,1,11,7.2,Maeve McErlane,https://www.sports-reference.com/cbb/players/maeve-mcerlane-1.html,depaul,2023-24
6,19,7,2023-11-26,DePaul,,Loyola Chicago,REG (Non-Conf),W 93-72,*,22,2,4,.500,2,3,.667,0,1,.000,.750,0,0,,0,1,1,3,0,1,1,2,6,5.3,Maeve McErlane,https://www.sports-reference.com/cbb/players/maeve-mcerlane-1.html,depaul,2023-24
7,20,8,2023-11-30,DePaul,,Michigan State,REG (Non-Conf),L 64-102,*,21,0,3,.000,0,3,.000,0,0,,.000,0,0,,0,1,1,2,0,1,1,0,0,-0.7,Maeve McErlane,https://www.sports-reference.com/cbb/players/maeve-mcerlane-1.html,depaul,2023-24
8,21,9,2023-12-05,DePaul,,Green Bay,REG (Non-Conf),W 68-64,*,34,2,6,.333,2,5,.400,0,1,.000,.500,2,4,.500,0,1,1,3,0,0,0,0,8,6.2,Maeve McErlane,https://www.sports-reference.com/cbb/players/maeve-mcerlane-1.html,depaul,2023-24
9,22,10,2023-12-08,DePaul,@,Miami (FL),REG (Non-Conf),L 70-75,*,30,1,6,.167,1,6,.167,0,0,,.250,0,0,,1,0,1,3,3,0,0,2,3,4.2,Maeve McErlane,https://www.sports-reference.com/cbb/players/maeve-mcerlane-1.html,depaul,2023-24
10,23,11,2023-12-13,DePaul,,Northwestern,REG (Non-Conf),W 90-65,*,31,1,5,.200,1,5,.200,0,0,,.300,0,0,,0,3,3,2,0,0,2,2,3,-0.6,Maeve McErlane,https://www.sports-reference.com/cbb/players/maeve-mcerlane-1.html,depaul,2023-24
