ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,26,1,2023-11-07,Evansville,,Lipscomb,REG (Non-Conf),L 58-77,*,23,2,8,.250,1,4,.250,1,4,.250,.313,2,2,1.000,0,1,1,0,0,0,2,1,7,0.1,Alana Striverson,https://www.sports-reference.com/cbb/players/alana-striverson-1.html,evansville,2023-24
2,27,2,2023-11-12,Evansville,@,SIU Edwardsville,REG (Non-Conf),L 83-91,*,31,4,10,.400,4,6,.667,0,4,.000,.600,1,2,.500,0,1,1,2,0,0,0,3,13,7.7,Alana Striverson,https://www.sports-reference.com/cbb/players/alana-striverson-1.html,evansville,2023-24
3,28,3,2023-11-15,Evansville,,Eastern Kentucky,REG (Non-Conf),L 75-77,*,30,1,2,.500,0,1,.000,1,1,1.000,.500,4,4,1.000,0,1,1,2,0,0,2,1,6,4.3,Alana Striverson,https://www.sports-reference.com/cbb/players/alana-striverson-1.html,evansville,2023-24
4,29,4,2023-11-19,Evansville,@,Michigan State,REG (Non-Conf),L 49-105,*,26,2,9,.222,1,5,.200,1,4,.250,.278,4,4,1.000,0,1,1,1,0,0,2,2,9,1.7,Alana Striverson,https://www.sports-reference.com/cbb/players/alana-striverson-1.html,evansville,2023-24
5,30,5,2023-11-26,Evansville,@,Chicago State,REG (Non-Conf),W 103-102 (3OT),*,47,4,10,.400,3,8,.375,1,2,.500,.550,3,4,.750,3,1,4,2,0,0,1,3,14,9.8,Alana Striverson,https://www.sports-reference.com/cbb/players/alana-striverson-1.html,evansville,2023-24
6,31,6,2023-11-29,Evansville,,Bellarmine,REG (Non-Conf),L 58-64,*,33,4,14,.286,2,11,.182,2,3,.667,.357,4,5,.800,0,2,2,1,0,0,2,1,14,4.3,Alana Striverson,https://www.sports-reference.com/cbb/players/alana-striverson-1.html,evansville,2023-24
7,32,7,2023-12-02,Evansville,@,UT Martin,REG (Non-Conf),L 82-94,*,20,2,6,.333,1,3,.333,1,3,.333,.417,1,2,.500,0,0,0,3,0,0,2,1,6,1.9,Alana Striverson,https://www.sports-reference.com/cbb/players/alana-striverson-1.html,evansville,2023-24
8,33,8,2023-12-06,Evansville,,IUPUI,REG (Non-Conf),L 75-81,*,23,1,4,.250,0,2,.000,1,2,.500,.250,3,4,.750,1,1,2,1,0,0,0,3,5,2.7,Alana Striverson,https://www.sports-reference.com/cbb/players/alana-striverson-1.html,evansville,2023-24
9,34,9,2023-12-16,Evansville,,Lindenwood,REG (Non-Conf),W 70-68,*,18,1,7,.143,1,3,.333,0,4,.000,.214,0,0,,0,0,0,1,0,0,3,1,3,-4.2,Alana Striverson,https://www.sports-reference.com/cbb/players/alana-striverson-1.html,evansville,2023-24
10,35,10,2023-12-18,Evansville,@,Indiana,REG (Non-Conf),L 56-109,*,25,3,12,.250,2,6,.333,1,6,.167,.333,3,3,1.000,1,0,1,0,0,0,2,2,11,1.7,Alana Striverson,https://www.sports-reference.com/cbb/players/alana-striverson-1.html,evansville,2023-24
11,36,11,2023-12-21,Evansville,@,Southeast Missouri State,REG (Non-Conf),L 44-74,*,21,0,5,.000,0,3,.000,0,2,.000,.000,1,2,.500,0,0,0,1,1,0,5,1,1,-6.6,Alana Striverson,https://www.sports-reference.com/cbb/players/alana-striverson-1.html,evansville,2023-24
12,37,12,2023-12-30,Evansville,,Indiana State,REG (Conf),L 49-66,,16,0,2,.000,0,2,.000,0,0,,.000,3,4,.750,0,0,0,0,0,0,1,0,3,0.2,Alana Striverson,https://www.sports-reference.com/cbb/players/alana-striverson-1.html,evansville,2023-24
13,38,13,2024-01-04,Evansville,@,Northern Iowa,REG (Conf),L 52-82,,14,0,4,.000,0,3,.000,0,1,.000,.000,6,6,1.000,0,0,0,0,1,1,1,2,6,3.1,Alana Striverson,https://www.sports-reference.com/cbb/players/alana-striverson-1.html,evansville,2023-24
14,39,14,2024-01-06,Evansville,@,Drake,REG (Conf),L 68-78,,20,5,7,.714,3,5,.600,2,2,1.000,.929,2,2,1.000,0,0,0,1,1,0,0,2,15,13.0,Alana Striverson,https://www.sports-reference.com/cbb/players/alana-striverson-1.html,evansville,2023-24
15,40,15,2024-01-12,Evansville,,Belmont,REG (Conf),L 40-84,,22,2,6,.333,1,4,.250,1,2,.500,.417,0,0,,0,0,0,2,0,0,3,2,5,-0.8,Alana Striverson,https://www.sports-reference.com/cbb/players/alana-striverson-1.html,evansville,2023-24
16,41,16,2024-01-14,Evansville,,Murray State,REG (Conf),L 72-90,,31,4,7,.571,4,7,.571,0,0,,.857,2,2,1.000,0,2,2,4,1,0,2,1,14,12.7,Alana Striverson,https://www.sports-reference.com/cbb/players/alana-striverson-1.html,evansville,2023-24
17,42,17,2024-01-19,Evansville,@,Missouri State,REG (Conf),L 55-90,,23,1,4,.250,1,4,.250,0,0,,.375,2,2,1.000,0,2,2,1,0,0,4,1,5,-0.5,Alana Striverson,https://www.sports-reference.com/cbb/players/alana-striverson-1.html,evansville,2023-24
18,43,18,2024-01-21,Evansville,@,Southern Illinois,REG (Conf),L 60-99,,18,2,3,.667,2,3,.667,0,0,,1.000,0,0,,0,0,0,0,0,0,2,1,6,2.3,Alana Striverson,https://www.sports-reference.com/cbb/players/alana-striverson-1.html,evansville,2023-24
