ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,51,1,2023-11-06,Fresno State,,Fresno Pacific,REG (Non-Conf),W 70-42,*,21,4,7,.571,0,1,.000,4,6,.667,.571,2,2,1.000,1,5,6,1,1,1,2,2,10,8.5,Sydney Dethman,https://www.sports-reference.com/cbb/players/sydney-dethman-1.html,fresno-state,2023-24
2,52,2,2023-11-10,Fresno State,,UC Merced,REG (Non-Conf),W 100-47,*,21,2,5,.400,0,1,.000,2,4,.500,.400,0,0,,4,5,9,1,0,0,1,0,4,5.3,Sydney Dethman,https://www.sports-reference.com/cbb/players/sydney-dethman-1.html,fresno-state,2023-24
3,53,3,2023-11-15,Fresno State,,Pepperdine,REG (Non-Conf),W 74-55,*,31,5,8,.625,2,2,1.000,3,6,.500,.750,2,4,.500,2,1,3,0,2,0,0,2,14,12.5,Sydney Dethman,https://www.sports-reference.com/cbb/players/sydney-dethman-1.html,fresno-state,2023-24
4,54,4,2023-11-18,Fresno State,@,Cal State Bakersfield,REG (Non-Conf),L 63-65,*,23,3,5,.600,0,1,.000,3,4,.750,.600,2,2,1.000,1,6,7,0,1,0,2,2,8,6.4,Sydney Dethman,https://www.sports-reference.com/cbb/players/sydney-dethman-1.html,fresno-state,2023-24
5,55,5,2023-11-21,Fresno State,,Long Beach State,REG (Non-Conf),W 74-64,*,23,5,9,.556,0,1,.000,5,8,.625,.556,1,4,.250,3,0,3,0,1,0,1,4,11,6.0,Sydney Dethman,https://www.sports-reference.com/cbb/players/sydney-dethman-1.html,fresno-state,2023-24
6,56,6,2023-11-24,Fresno State,@,Grand Canyon,REG (Non-Conf),L 36-55,*,16,2,6,.333,0,2,.000,2,4,.500,.333,2,2,1.000,2,2,4,0,1,0,0,1,6,5.2,Sydney Dethman,https://www.sports-reference.com/cbb/players/sydney-dethman-1.html,fresno-state,2023-24
7,57,7,2023-11-25,Fresno State,N,Eastern Illinois,REG (Non-Conf),W 70-60,*,31,6,9,.667,1,1,1.000,5,8,.625,.722,1,2,.500,3,2,5,2,1,0,1,0,14,13.8,Sydney Dethman,https://www.sports-reference.com/cbb/players/sydney-dethman-1.html,fresno-state,2023-24
8,58,8,2023-11-29,Fresno State,,Portland State,REG (Non-Conf),L 61-72,*,24,2,7,.286,0,0,,2,7,.286,.286,0,0,,0,2,2,1,0,0,2,0,4,-0.8,Sydney Dethman,https://www.sports-reference.com/cbb/players/sydney-dethman-1.html,fresno-state,2023-24
9,59,9,2023-12-02,Fresno State,,UC San Diego,REG (Non-Conf),W 71-52,*,25,2,4,.500,0,1,.000,2,3,.667,.500,2,2,1.000,1,0,1,0,1,0,0,2,6,4.9,Sydney Dethman,https://www.sports-reference.com/cbb/players/sydney-dethman-1.html,fresno-state,2023-24
10,60,10,2023-12-06,Fresno State,,Cal State Fullerton,REG (Non-Conf),L 68-77,*,21,2,4,.500,0,0,,2,4,.500,.500,0,0,,3,2,5,0,1,0,0,2,4,4.9,Sydney Dethman,https://www.sports-reference.com/cbb/players/sydney-dethman-1.html,fresno-state,2023-24
11,61,11,2023-12-09,Fresno State,@,Cal Poly,REG (Non-Conf),L 59-84,*,26,4,9,.444,0,1,.000,4,8,.500,.444,0,2,.000,5,2,7,1,1,0,2,2,8,5.5,Sydney Dethman,https://www.sports-reference.com/cbb/players/sydney-dethman-1.html,fresno-state,2023-24
12,62,12,2023-12-16,Fresno State,,Sacramento State,REG (Non-Conf),W 68-47,*,17,2,6,.333,0,0,,2,6,.333,.333,3,4,.750,1,1,2,0,1,0,0,3,7,4.0,Sydney Dethman,https://www.sports-reference.com/cbb/players/sydney-dethman-1.html,fresno-state,2023-24
13,63,13,2023-12-20,Fresno State,N,Arizona State,REG (Non-Conf),L 76-80,*,35,9,14,.643,3,5,.600,6,9,.667,.750,0,0,,3,7,10,2,0,2,3,1,21,18.4,Sydney Dethman,https://www.sports-reference.com/cbb/players/sydney-dethman-1.html,fresno-state,2023-24
14,64,14,2023-12-30,Fresno State,,Air Force,REG (Conf),W 59-49,*,29,3,5,.600,0,1,.000,3,4,.750,.600,0,0,,2,3,5,1,1,0,4,2,6,2.9,Sydney Dethman,https://www.sports-reference.com/cbb/players/sydney-dethman-1.html,fresno-state,2023-24
15,65,15,2024-01-03,Fresno State,@,San Jose State,REG (Conf),W 70-67,*,20,1,4,.250,0,0,,1,4,.250,.250,0,0,,2,2,4,2,1,0,1,0,2,3.0,Sydney Dethman,https://www.sports-reference.com/cbb/players/sydney-dethman-1.html,fresno-state,2023-24
16,66,16,2024-01-07,Fresno State,@,San Diego State,REG (Conf),L 70-77,*,25,2,8,.250,0,2,.000,2,6,.333,.250,0,0,,1,3,4,0,1,0,1,3,4,-0.4,Sydney Dethman,https://www.sports-reference.com/cbb/players/sydney-dethman-1.html,fresno-state,2023-24
17,67,17,2024-01-10,Fresno State,,Colorado State,REG (Conf),L 55-61,*,16,1,3,.333,0,0,,1,3,.333,.333,0,0,,0,0,0,0,0,0,1,0,2,-0.7,Sydney Dethman,https://www.sports-reference.com/cbb/players/sydney-dethman-1.html,fresno-state,2023-24
18,68,18,2024-01-13,Fresno State,,Utah State,REG (Conf),W 90-64,*,19,1,4,.250,1,2,.500,0,2,.000,.375,1,2,.500,3,2,5,0,0,0,0,2,4,3.1,Sydney Dethman,https://www.sports-reference.com/cbb/players/sydney-dethman-1.html,fresno-state,2023-24
19,69,19,2024-01-20,Fresno State,@,Nevada,REG (Conf),L 62-63,*,26,2,6,.333,0,2,.000,2,4,.500,.333,0,0,,2,3,5,0,1,1,0,0,4,4.6,Sydney Dethman,https://www.sports-reference.com/cbb/players/sydney-dethman-1.html,fresno-state,2023-24
20,70,20,2024-01-24,Fresno State,@,New Mexico,REG (Conf),L 77-84,*,20,1,3,.333,0,2,.000,1,1,1.000,.333,0,0,,1,4,5,0,1,1,0,1,2,3.5,Sydney Dethman,https://www.sports-reference.com/cbb/players/sydney-dethman-1.html,fresno-state,2023-24
21,71,21,2024-01-27,Fresno State,,Wyoming,REG (Conf),L 47-69,*,13,0,2,.000,0,1,.000,0,1,.000,.000,2,2,1.000,0,0,0,0,0,0,0,0,2,0.6,Sydney Dethman,https://www.sports-reference.com/cbb/players/sydney-dethman-1.html,fresno-state,2023-24
22,72,22,2024-01-31,Fresno State,,Boise State,REG (Conf),L 50-60,,19,3,7,.429,0,0,,3,7,.429,.429,0,0,,2,1,3,0,0,0,0,3,6,2.8,Sydney Dethman,https://www.sports-reference.com/cbb/players/sydney-dethman-1.html,fresno-state,2023-24
23,73,23,2024-02-03,Fresno State,@,Utah State,REG (Conf),W 70-50,*,22,5,7,.714,0,0,,5,7,.714,.714,1,1,1.000,3,0,3,0,1,0,1,3,11,9.0,Sydney Dethman,https://www.sports-reference.com/cbb/players/sydney-dethman-1.html,fresno-state,2023-24
24,74,24,2024-02-07,Fresno State,@,Colorado State,REG (Conf),L 56-69,*,7,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,0,0,0,0,0,1,2,0,-2.5,Sydney Dethman,https://www.sports-reference.com/cbb/players/sydney-dethman-1.html,fresno-state,2023-24
25,75,25,2024-02-10,Fresno State,,UNLV,REG (Conf),L 49-63,*,14,1,6,.167,0,1,.000,1,5,.200,.167,0,0,,3,2,5,0,1,0,0,1,2,1.5,Sydney Dethman,https://www.sports-reference.com/cbb/players/sydney-dethman-1.html,fresno-state,2023-24
26,76,26,2024-02-14,Fresno State,@,Air Force,REG (Conf),W 74-68,,25,5,6,.833,0,0,,5,6,.833,.833,4,4,1.000,3,4,7,0,0,0,1,1,14,13.7,Sydney Dethman,https://www.sports-reference.com/cbb/players/sydney-dethman-1.html,fresno-state,2023-24
27,77,27,2024-02-17,Fresno State,,San Jose State,REG (Conf),W 74-59,*,21,2,3,.667,1,1,1.000,1,2,.500,.833,0,0,,0,1,1,0,3,1,0,3,5,6.5,Sydney Dethman,https://www.sports-reference.com/cbb/players/sydney-dethman-1.html,fresno-state,2023-24
28,78,28,2024-02-21,Fresno State,,Nevada,REG (Conf),W 57-45,*,11,1,2,.500,0,1,.000,1,1,1.000,.500,2,4,.500,1,2,3,0,1,0,2,2,4,1.7,Sydney Dethman,https://www.sports-reference.com/cbb/players/sydney-dethman-1.html,fresno-state,2023-24
29,79,29,2024-02-24,Fresno State,@,Boise State,REG (Conf),L 65-70,*,19,1,2,.500,0,1,.000,1,1,1.000,.500,1,1,1.000,1,0,1,0,0,0,0,2,3,1.9,Sydney Dethman,https://www.sports-reference.com/cbb/players/sydney-dethman-1.html,fresno-state,2023-24
30,80,30,2024-03-02,Fresno State,@,Wyoming,REG (Conf),L 51-62,*,28,3,6,.500,0,2,.000,3,4,.750,.500,0,0,,2,2,4,1,1,0,1,3,6,4.5,Sydney Dethman,https://www.sports-reference.com/cbb/players/sydney-dethman-1.html,fresno-state,2023-24
31,81,31,2024-03-05,Fresno State,,New Mexico,REG (Conf),L 58-72,*,31,4,5,.800,1,2,.500,3,3,1.000,.900,0,0,,1,4,5,1,1,1,0,0,9,11.4,Sydney Dethman,https://www.sports-reference.com/cbb/players/sydney-dethman-1.html,fresno-state,2023-24
32,82,32,2024-03-10,Fresno State,N,Air Force,CTOURN,W 62-44,*,23,4,6,.667,1,2,.500,3,4,.750,.750,0,0,,0,3,3,0,0,4,0,2,9,9.3,Sydney Dethman,https://www.sports-reference.com/cbb/players/sydney-dethman-1.html,fresno-state,2023-24
33,83,33,2024-03-11,Fresno State,@,UNLV,CTOURN,L 35-83,*,23,0,2,.000,0,2,.000,0,0,,.000,0,0,,0,1,1,1,0,1,0,0,0,0.3,Sydney Dethman,https://www.sports-reference.com/cbb/players/sydney-dethman-1.html,fresno-state,2023-24
