ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,54,2,2023-11-10,Georgia State,,Western Michigan,REG (Non-Conf),W 71-58,*,24,5,10,.500,1,2,.500,4,8,.500,.550,8,10,.800,0,1,1,1,2,0,3,2,19,12.4,Mikyla Tolivert,https://www.sports-reference.com/cbb/players/mikyla-tolivert-1.html,georgia-state,2023-24
2,55,3,2023-11-14,Georgia State,,Kennesaw State,REG (Non-Conf),W 62-52,*,17,3,7,.429,1,2,.500,2,5,.400,.500,5,5,1.000,0,4,4,4,0,0,2,1,12,9.9,Mikyla Tolivert,https://www.sports-reference.com/cbb/players/mikyla-tolivert-1.html,georgia-state,2023-24
3,56,4,2023-11-22,Georgia State,,Bethune-Cookman,REG (Non-Conf),L 48-56,*,30,5,14,.357,0,3,.000,5,11,.455,.357,7,8,.875,1,6,7,3,1,1,3,3,17,10.9,Mikyla Tolivert,https://www.sports-reference.com/cbb/players/mikyla-tolivert-1.html,georgia-state,2023-24
4,57,5,2023-11-23,Georgia State,,Elon,REG (Non-Conf),L 68-75,*,26,2,11,.182,0,3,.000,2,8,.250,.182,5,6,.833,2,3,5,1,2,1,1,2,9,5.6,Mikyla Tolivert,https://www.sports-reference.com/cbb/players/mikyla-tolivert-1.html,georgia-state,2023-24
5,58,6,2023-11-28,Georgia State,@,Western Carolina,REG (Non-Conf),W 90-57,*,16,2,7,.286,0,2,.000,2,5,.400,.286,4,5,.800,1,2,3,3,3,1,2,2,8,7.8,Mikyla Tolivert,https://www.sports-reference.com/cbb/players/mikyla-tolivert-1.html,georgia-state,2023-24
6,59,7,2023-12-10,Georgia State,@,Georgia Tech,REG (Non-Conf),L 70-94,*,32,8,17,.471,4,7,.571,4,10,.400,.588,3,3,1.000,2,3,5,2,0,0,0,2,23,17.2,Mikyla Tolivert,https://www.sports-reference.com/cbb/players/mikyla-tolivert-1.html,georgia-state,2023-24
7,60,8,2023-12-14,Georgia State,@,Winthrop,REG (Non-Conf),L 60-65,*,26,5,6,.833,2,2,1.000,3,4,.750,1.000,0,0,,0,1,1,2,3,0,6,4,12,6.9,Mikyla Tolivert,https://www.sports-reference.com/cbb/players/mikyla-tolivert-1.html,georgia-state,2023-24
8,61,9,2023-12-16,Georgia State,@,Clemson,REG (Non-Conf),W 78-72,*,30,4,11,.364,2,4,.500,2,7,.286,.455,2,2,1.000,2,5,7,4,2,1,2,2,12,11.5,Mikyla Tolivert,https://www.sports-reference.com/cbb/players/mikyla-tolivert-1.html,georgia-state,2023-24
9,62,10,2023-12-19,Georgia State,,LaGrange,REG (Non-Conf),W 93-51,*,23,4,6,.667,1,3,.333,3,3,1.000,.750,0,0,,0,7,7,12,2,0,3,2,9,15.1,Mikyla Tolivert,https://www.sports-reference.com/cbb/players/mikyla-tolivert-1.html,georgia-state,2023-24
10,63,11,2023-12-31,Georgia State,@,Troy,REG (Conf),W 90-89 (OT),*,40,10,19,.526,5,8,.625,5,11,.455,.658,2,3,.667,1,9,10,4,1,1,3,1,27,21.8,Mikyla Tolivert,https://www.sports-reference.com/cbb/players/mikyla-tolivert-1.html,georgia-state,2023-24
