ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,40,10,2023-12-09,Harvard,@,Boston University,REG (Non-Conf),L 77-80,,6,0,1,.000,0,1,.000,0,0,,.000,0,0,0,0,0,0,0,0,0,2,0,-1.5,Elle Stauffer,https://www.sports-reference.com/cbb/players/elle-stauffer-1.html,harvard,2023-24
2,41,11,2023-12-22,Harvard,@,UMass Lowell,REG (Non-Conf),W 62-41,,12,1,4,.250,0,3,.000,1,1,1.000,.250,0,0,1,1,2,0,1,0,0,0,2,1.6,Elle Stauffer,https://www.sports-reference.com/cbb/players/elle-stauffer-1.html,harvard,2023-24
3,42,13,2023-12-31,Harvard,@,Delaware,REG (Non-Conf),W 88-58,,8,0,0,,0,0,,0,0,,,0,0,0,1,1,1,0,0,0,0,0,1.0,Elle Stauffer,https://www.sports-reference.com/cbb/players/elle-stauffer-1.html,harvard,2023-24
4,43,14,2024-01-06,Harvard,,Yale,REG (Conf),W 73-54,,2,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,2,2,0,-2.8,Elle Stauffer,https://www.sports-reference.com/cbb/players/elle-stauffer-1.html,harvard,2023-24
5,44,15,2024-01-13,Harvard,,Princeton,REG (Conf),L 49-72,,1,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Elle Stauffer,https://www.sports-reference.com/cbb/players/elle-stauffer-1.html,harvard,2023-24
6,45,16,2024-01-15,Harvard,@,Brown,REG (Conf),W 73-59,,3,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Elle Stauffer,https://www.sports-reference.com/cbb/players/elle-stauffer-1.html,harvard,2023-24
7,46,18,2024-01-27,Harvard,@,Yale,REG (Conf),W 61-52,,4,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Elle Stauffer,https://www.sports-reference.com/cbb/players/elle-stauffer-1.html,harvard,2023-24
8,47,20,2024-02-03,Harvard,@,Cornell,REG (Conf),W 63-52,,9,0,0,,0,0,,0,0,,,0,0,2,1,3,2,0,0,0,0,0,3.1,Elle Stauffer,https://www.sports-reference.com/cbb/players/elle-stauffer-1.html,harvard,2023-24
9,48,21,2024-02-10,Harvard,@,Dartmouth,REG (Conf),W 68-50,,18,0,1,.000,0,1,.000,0,0,,.000,0,0,3,3,6,0,1,0,0,0,0,3.3,Elle Stauffer,https://www.sports-reference.com/cbb/players/elle-stauffer-1.html,harvard,2023-24
10,49,22,2024-02-16,Harvard,,Cornell,REG (Conf),W 74-51,,9,2,2,1.000,0,0,,2,2,1.000,1.000,0,0,0,2,2,0,0,0,0,0,4,4.0,Elle Stauffer,https://www.sports-reference.com/cbb/players/elle-stauffer-1.html,harvard,2023-24
11,50,23,2024-02-18,Harvard,,Columbia,REG (Conf),L 63-71,,8,0,1,.000,0,1,.000,0,0,,.000,0,0,1,1,2,0,0,0,0,2,0,-0.5,Elle Stauffer,https://www.sports-reference.com/cbb/players/elle-stauffer-1.html,harvard,2023-24
12,51,24,2024-02-24,Harvard,,Brown,REG (Conf),W 80-73,,3,0,1,.000,0,0,,0,1,.000,.000,0,0,0,1,1,0,0,0,1,0,0,-1.4,Elle Stauffer,https://www.sports-reference.com/cbb/players/elle-stauffer-1.html,harvard,2023-24
