ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,62,1,2023-11-06,Illinois–Chicago,@,Loyola Chicago,REG (Non-Conf),W 67-51,,14,2,2,1.000,0,0,2,2,1.000,1.000,0,0,,2,2,4,0,0,0,1,4,4,2.8,Ky Dempsey-Toney,https://www.sports-reference.com/cbb/players/ky-dempsey-toney-1.html,illinois-chicago,2023-24
2,63,2,2023-11-09,Illinois–Chicago,@,Northwestern,REG (Non-Conf),L 86-92 (OT),,1,0,0,,0,0,0,0,,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,Ky Dempsey-Toney,https://www.sports-reference.com/cbb/players/ky-dempsey-toney-1.html,illinois-chicago,2023-24
3,64,3,2023-11-12,Illinois–Chicago,@,Milwaukee,REG (Non-Conf),W 73-70,,3,0,1,.000,0,0,0,1,.000,.000,0,0,,1,0,1,0,0,0,0,0,0,0.0,Ky Dempsey-Toney,https://www.sports-reference.com/cbb/players/ky-dempsey-toney-1.html,illinois-chicago,2023-24
4,65,4,2023-11-17,Illinois–Chicago,,Southeast Missouri State,REG (Non-Conf),W 87-74,,3,0,0,,0,0,0,0,,,0,0,,0,0,0,0,0,0,1,2,0,-1.8,Ky Dempsey-Toney,https://www.sports-reference.com/cbb/players/ky-dempsey-toney-1.html,illinois-chicago,2023-24
5,66,5,2023-11-19,Illinois–Chicago,,IUPUI,REG (Non-Conf),W 79-49,,11,2,4,.500,0,0,2,4,.500,.500,0,0,,0,0,0,1,1,0,2,1,4,1.3,Ky Dempsey-Toney,https://www.sports-reference.com/cbb/players/ky-dempsey-toney-1.html,illinois-chicago,2023-24
6,67,6,2023-11-26,Illinois–Chicago,@,Saint Louis,REG (Non-Conf),L 75-79,,4,2,2,1.000,0,0,2,2,1.000,1.000,0,0,,1,0,1,0,0,0,0,1,4,3.7,Ky Dempsey-Toney,https://www.sports-reference.com/cbb/players/ky-dempsey-toney-1.html,illinois-chicago,2023-24
7,68,7,2023-12-01,Illinois–Chicago,@,Omaha,REG (Non-Conf),W 95-89,,12,2,4,.500,0,0,2,4,.500,.500,0,0,,2,1,3,0,0,1,3,2,4,0.6,Ky Dempsey-Toney,https://www.sports-reference.com/cbb/players/ky-dempsey-toney-1.html,illinois-chicago,2023-24
8,69,8,2023-12-13,Illinois–Chicago,@,Green Bay,REG (Non-Conf),L 56-64,*,17,3,5,.600,0,0,3,5,.600,.600,1,1,1.000,2,4,6,0,0,0,3,2,7,3.5,Ky Dempsey-Toney,https://www.sports-reference.com/cbb/players/ky-dempsey-toney-1.html,illinois-chicago,2023-24
9,70,9,2023-12-15,Illinois–Chicago,,Chicago State,REG (Non-Conf),W 76-46,,12,2,4,.500,0,0,2,4,.500,.500,5,6,.833,5,3,8,1,1,1,1,2,9,11.6,Ky Dempsey-Toney,https://www.sports-reference.com/cbb/players/ky-dempsey-toney-1.html,illinois-chicago,2023-24
10,71,10,2023-12-20,Illinois–Chicago,N,UTEP,REG (Non-Conf),W 81-65,,10,1,1,1.000,0,0,1,1,1.000,1.000,0,1,.000,0,4,4,0,0,0,0,2,2,1.7,Ky Dempsey-Toney,https://www.sports-reference.com/cbb/players/ky-dempsey-toney-1.html,illinois-chicago,2023-24
