ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,62,1,2023-11-06,Lehigh,,East Stroudsburg St.,REG (Non-Conf),W 78-42,*,21,2,8,.250,0,2,.000,2,6,.333,.250,0,0,,1,3,4,1,1,1,0,0,4,3.2,Meghan O'Brien,https://www.sports-reference.com/cbb/players/meghan-obrien-1.html,lehigh,2023-24
2,63,2,2023-11-11,Lehigh,@,Stonehill,REG (Non-Conf),W 62-50,*,25,5,10,.500,1,1,1.000,4,9,.444,.550,1,2,.500,4,4,8,0,1,3,2,2,12,10.9,Meghan O'Brien,https://www.sports-reference.com/cbb/players/meghan-obrien-1.html,lehigh,2023-24
3,64,3,2023-11-14,Lehigh,@,Delaware,REG (Non-Conf),W 78-77,*,26,1,3,.333,0,2,.000,1,1,1.000,.333,3,3,1.000,1,6,7,6,0,0,2,3,5,6.8,Meghan O'Brien,https://www.sports-reference.com/cbb/players/meghan-obrien-1.html,lehigh,2023-24
4,65,4,2023-11-17,Lehigh,,Yale,REG (Non-Conf),W 90-75,*,27,3,6,.500,0,1,.000,3,5,.600,.500,3,6,.500,2,5,7,1,0,3,3,1,9,7.1,Meghan O'Brien,https://www.sports-reference.com/cbb/players/meghan-obrien-1.html,lehigh,2023-24
5,66,5,2023-11-22,Lehigh,N,Marist,REG (Non-Conf),W 82-64,*,27,7,10,.700,1,3,.333,6,7,.857,.750,2,2,1.000,4,4,8,3,0,1,2,2,17,16.8,Meghan O'Brien,https://www.sports-reference.com/cbb/players/meghan-obrien-1.html,lehigh,2023-24
6,67,6,2023-11-23,Lehigh,N,Bowling Green,REG (Non-Conf),L 73-85,*,30,5,12,.417,2,6,.333,3,6,.500,.500,0,0,,2,4,6,5,1,2,2,1,12,11.7,Meghan O'Brien,https://www.sports-reference.com/cbb/players/meghan-obrien-1.html,lehigh,2023-24
7,68,7,2023-11-28,Lehigh,,Drexel,REG (Non-Conf),W 58-57,*,33,3,9,.333,0,1,.000,3,8,.375,.333,1,2,.500,2,6,8,2,2,3,1,1,7,8.8,Meghan O'Brien,https://www.sports-reference.com/cbb/players/meghan-obrien-1.html,lehigh,2023-24
8,69,8,2023-12-03,Lehigh,@,Hofstra,REG (Non-Conf),W 68-56,*,29,2,9,.222,1,2,.500,1,7,.143,.278,0,0,,1,7,8,1,1,0,1,3,5,1.8,Meghan O'Brien,https://www.sports-reference.com/cbb/players/meghan-obrien-1.html,lehigh,2023-24
9,70,9,2023-12-07,Lehigh,,La Salle,REG (Non-Conf),W 106-60,*,25,5,12,.417,0,3,.000,5,9,.556,.417,3,3,1.000,1,6,7,3,3,1,1,2,13,13.1,Meghan O'Brien,https://www.sports-reference.com/cbb/players/meghan-obrien-1.html,lehigh,2023-24
10,71,10,2023-12-10,Lehigh,@,Pittsburgh,REG (Non-Conf),L 82-94,*,29,2,4,.500,2,2,1.000,0,2,.000,.750,1,2,.500,2,5,7,3,0,2,1,3,7,8.8,Meghan O'Brien,https://www.sports-reference.com/cbb/players/meghan-obrien-1.html,lehigh,2023-24
11,72,11,2023-12-30,Lehigh,,Rider,REG (Non-Conf),L 57-67 (OT),*,42,4,12,.333,0,5,.000,4,7,.571,.333,1,2,.500,3,4,7,0,3,1,2,1,9,6.4,Meghan O'Brien,https://www.sports-reference.com/cbb/players/meghan-obrien-1.html,lehigh,2023-24
12,73,12,2024-01-03,Lehigh,,American,REG (Conf),L 65-68,*,36,6,11,.545,0,2,.000,6,9,.667,.545,2,2,1.000,4,5,9,0,1,1,3,2,14,10.9,Meghan O'Brien,https://www.sports-reference.com/cbb/players/meghan-obrien-1.html,lehigh,2023-24
13,74,13,2024-01-06,Lehigh,,Loyola (MD),REG (Conf),L 65-73,*,30,5,8,.625,0,2,.000,5,6,.833,.625,0,0,,1,2,3,1,1,1,1,3,10,7.9,Meghan O'Brien,https://www.sports-reference.com/cbb/players/meghan-obrien-1.html,lehigh,2023-24
14,75,14,2024-01-10,Lehigh,@,Bucknell,REG (Conf),W 69-63,*,25,4,5,.800,0,1,.000,4,4,1.000,.800,0,0,,1,3,4,1,0,1,0,4,8,7.5,Meghan O'Brien,https://www.sports-reference.com/cbb/players/meghan-obrien-1.html,lehigh,2023-24
15,76,15,2024-01-13,Lehigh,@,Holy Cross,REG (Conf),L 54-75,*,23,2,7,.286,0,2,.000,2,5,.400,.286,0,0,,1,2,3,4,1,1,0,1,4,5.3,Meghan O'Brien,https://www.sports-reference.com/cbb/players/meghan-obrien-1.html,lehigh,2023-24
16,77,16,2024-01-17,Lehigh,,Navy,REG (Conf),W 81-65,*,33,6,9,.667,1,3,.333,5,6,.833,.722,2,2,1.000,1,4,5,3,0,1,1,1,15,14.4,Meghan O'Brien,https://www.sports-reference.com/cbb/players/meghan-obrien-1.html,lehigh,2023-24
17,78,17,2024-01-20,Lehigh,@,American,REG (Conf),L 55-59,*,35,6,9,.667,1,2,.500,5,7,.714,.722,0,1,.000,1,4,5,1,2,1,3,4,13,9.4,Meghan O'Brien,https://www.sports-reference.com/cbb/players/meghan-obrien-1.html,lehigh,2023-24
18,79,18,2024-01-22,Lehigh,@,Colgate,REG (Conf),W 79-61,*,32,4,8,.500,0,0,,4,8,.500,.500,0,0,,1,8,9,4,2,0,2,2,8,9.1,Meghan O'Brien,https://www.sports-reference.com/cbb/players/meghan-obrien-1.html,lehigh,2023-24
19,80,19,2024-01-27,Lehigh,,Holy Cross,REG (Conf),W 70-60,*,34,5,7,.714,4,4,1.000,1,3,.333,1.000,1,2,.500,0,6,6,0,1,1,3,2,15,11.4,Meghan O'Brien,https://www.sports-reference.com/cbb/players/meghan-obrien-1.html,lehigh,2023-24
20,81,20,2024-01-31,Lehigh,@,Navy,REG (Conf),L 46-62,*,24,2,3,.667,1,2,.500,1,1,1.000,.833,0,0,,0,3,3,0,0,0,1,0,5,3.6,Meghan O'Brien,https://www.sports-reference.com/cbb/players/meghan-obrien-1.html,lehigh,2023-24
21,82,21,2024-02-03,Lehigh,,Boston University,REG (Conf),W 64-62,*,37,6,11,.545,0,2,.000,6,9,.667,.545,0,0,,3,3,6,5,2,1,2,0,12,13.9,Meghan O'Brien,https://www.sports-reference.com/cbb/players/meghan-obrien-1.html,lehigh,2023-24
22,83,22,2024-02-10,Lehigh,@,Lafayette,REG (Conf),W 70-68 (OT),*,37,4,10,.400,1,2,.500,3,8,.375,.450,2,2,1.000,2,3,5,0,0,2,3,1,11,5.9,Meghan O'Brien,https://www.sports-reference.com/cbb/players/meghan-obrien-1.html,lehigh,2023-24
23,84,23,2024-02-14,Lehigh,,Bucknell,REG (Conf),L 49-54,*,25,1,7,.143,1,2,.500,0,5,.000,.214,2,2,1.000,1,7,8,1,3,1,3,2,5,3.9,Meghan O'Brien,https://www.sports-reference.com/cbb/players/meghan-obrien-1.html,lehigh,2023-24
24,85,24,2024-02-18,Lehigh,@,Loyola (MD),REG (Conf),L 76-93,*,22,2,5,.400,0,3,.000,2,2,1.000,.400,2,2,1.000,2,3,5,1,0,1,1,0,6,6.0,Meghan O'Brien,https://www.sports-reference.com/cbb/players/meghan-obrien-1.html,lehigh,2023-24
25,86,25,2024-02-21,Lehigh,,Army,REG (Conf),W 77-60,*,34,7,9,.778,2,4,.500,5,5,1.000,.889,0,0,,1,4,5,3,3,3,2,0,16,19.6,Meghan O'Brien,https://www.sports-reference.com/cbb/players/meghan-obrien-1.html,lehigh,2023-24
26,87,26,2024-02-24,Lehigh,,Lafayette,REG (Conf),L 63-68,*,34,1,9,.111,0,3,.000,1,6,.167,.111,0,0,,1,5,6,3,0,1,2,1,2,-1.3,Meghan O'Brien,https://www.sports-reference.com/cbb/players/meghan-obrien-1.html,lehigh,2023-24
27,88,27,2024-02-28,Lehigh,@,Boston University,REG (Conf),L 78-89,*,20,2,2,1.000,0,0,,2,2,1.000,1.000,1,2,.500,0,3,3,2,0,0,1,3,5,4.1,Meghan O'Brien,https://www.sports-reference.com/cbb/players/meghan-obrien-1.html,lehigh,2023-24
28,89,28,2024-03-02,Lehigh,,Colgate,REG (Conf),W 55-47,*,34,4,10,.400,1,4,.250,3,6,.500,.450,2,2,1.000,0,5,5,3,2,1,3,1,11,8.5,Meghan O'Brien,https://www.sports-reference.com/cbb/players/meghan-obrien-1.html,lehigh,2023-24
29,90,29,2024-03-06,Lehigh,@,Army,REG (Conf),W 64-51,*,29,3,7,.429,1,3,.333,2,4,.500,.500,0,0,,0,3,3,2,2,0,0,1,7,7.2,Meghan O'Brien,https://www.sports-reference.com/cbb/players/meghan-obrien-1.html,lehigh,2023-24
30,91,30,2024-03-11,Lehigh,@,Loyola (MD),CTOURN,L 51-58,*,33,2,8,.250,1,5,.200,1,3,.333,.313,0,0,,0,5,5,1,0,0,0,3,5,1.2,Meghan O'Brien,https://www.sports-reference.com/cbb/players/meghan-obrien-1.html,lehigh,2023-24
