ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,44,1,2023-11-09,Miami (FL),,Jacksonville,REG (Non-Conf),W 81-53,,18,2,9,.222,2,8,.250,0,1,.000,.333,0,0,,0,1,1,0,2,0,1,2,6,1.0,Ally Stedman,https://www.sports-reference.com/cbb/players/ally-stedman-1.html,miami-fl,2023-24
2,45,2,2023-11-12,Miami (FL),,Fordham,REG (Non-Conf),W 78-39,,15,2,5,.400,1,4,.250,1,1,1.000,.500,0,0,,0,1,1,0,0,0,0,0,5,2.6,Ally Stedman,https://www.sports-reference.com/cbb/players/ally-stedman-1.html,miami-fl,2023-24
3,46,3,2023-11-17,Miami (FL),,Southern,REG (Non-Conf),W 61-57,,15,0,3,.000,0,3,.000,0,0,,.000,0,0,,0,3,3,0,0,0,0,1,0,-1.6,Ally Stedman,https://www.sports-reference.com/cbb/players/ally-stedman-1.html,miami-fl,2023-24
4,47,4,2023-11-24,Miami (FL),,Colgate,REG (Non-Conf),W 67-49,,8,1,2,.500,1,2,.500,0,0,,.750,0,0,,0,0,0,0,0,0,0,1,3,1.6,Ally Stedman,https://www.sports-reference.com/cbb/players/ally-stedman-1.html,miami-fl,2023-24
5,48,5,2023-11-26,Miami (FL),,East Tennessee State,REG (Non-Conf),W 68-44,,14,2,4,.500,2,3,.667,0,1,.000,.750,0,0,,0,1,1,0,1,0,1,1,6,3.9,Ally Stedman,https://www.sports-reference.com/cbb/players/ally-stedman-1.html,miami-fl,2023-24
6,49,6,2023-11-29,Miami (FL),@,Mississippi State,REG (Non-Conf),W 74-68,,3,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,Ally Stedman,https://www.sports-reference.com/cbb/players/ally-stedman-1.html,miami-fl,2023-24
7,50,7,2023-12-03,Miami (FL),,NJIT,REG (Non-Conf),W 87-43,,21,2,5,.400,1,3,.333,1,2,.500,.500,0,2,.000,0,0,0,1,0,2,1,3,5,1.4,Ally Stedman,https://www.sports-reference.com/cbb/players/ally-stedman-1.html,miami-fl,2023-24
8,51,8,2023-12-08,Miami (FL),,DePaul,REG (Non-Conf),W 75-70,,3,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,0,0,0,1,0,0,0,0,0.3,Ally Stedman,https://www.sports-reference.com/cbb/players/ally-stedman-1.html,miami-fl,2023-24
9,52,9,2023-12-16,Miami (FL),N,Baylor,REG (Non-Conf),L 57-75,,19,4,7,.571,3,6,.500,1,1,1.000,.786,0,0,,1,1,2,0,1,0,1,2,11,7.9,Ally Stedman,https://www.sports-reference.com/cbb/players/ally-stedman-1.html,miami-fl,2023-24
10,53,10,2023-12-20,Miami (FL),,Jackson State,REG (Non-Conf),W 59-52,,9,1,5,.200,0,3,.000,1,2,.500,.200,1,2,.500,0,1,1,0,0,0,0,2,3,-1.0,Ally Stedman,https://www.sports-reference.com/cbb/players/ally-stedman-1.html,miami-fl,2023-24
11,54,11,2023-12-28,Miami (FL),,Alabama State,REG (Non-Conf),W 81-36,,19,0,3,.000,0,2,.000,0,1,.000,.000,2,2,1.000,0,1,1,4,2,0,1,1,2,3.6,Ally Stedman,https://www.sports-reference.com/cbb/players/ally-stedman-1.html,miami-fl,2023-24
