ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,1,1,2023-11-06,Miami (OH),@,Vermont,REG (Non-Conf),L 48-60,,19,1,4,.250,0,1,.000,1,3,.333,.250,0,0,,1,2,3,1,1,0,1,3,2,0.4,NÃºria Jurjo,https://www.sports-reference.com/cbb/players/nuria-jurjo-1.html,miami-oh,2023-24
2,2,2,2023-11-11,Miami (OH),@,Louisiana–Monroe,REG (Non-Conf),L 62-78,,7,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,1,0,0,1,0,0.6,NÃºria Jurjo,https://www.sports-reference.com/cbb/players/nuria-jurjo-1.html,miami-oh,2023-24
3,3,3,2023-11-18,Miami (OH),,Western Kentucky,REG (Non-Conf),L 43-63,,10,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,0,0,2,1,0,1,1,0,0.3,NÃºria Jurjo,https://www.sports-reference.com/cbb/players/nuria-jurjo-1.html,miami-oh,2023-24
4,4,4,2023-11-27,Miami (OH),,Xavier,REG (Non-Conf),W 58-57 (OT),*,10,1,1,1.000,0,0,,1,1,1.000,1.000,0,0,,0,0,0,3,0,0,1,3,2,1.6,NÃºria Jurjo,https://www.sports-reference.com/cbb/players/nuria-jurjo-1.html,miami-oh,2023-24
5,5,5,2023-12-03,Miami (OH),@,Michigan State,REG (Non-Conf),L 44-89,*,22,3,7,.429,1,1,1.000,2,6,.333,.500,2,2,1.000,1,6,7,4,0,0,5,2,9,4.8,NÃºria Jurjo,https://www.sports-reference.com/cbb/players/nuria-jurjo-1.html,miami-oh,2023-24
6,6,6,2023-12-06,Miami (OH),@,Eastern Kentucky,REG (Non-Conf),L 55-85,*,31,4,9,.444,0,2,.000,4,7,.571,.444,1,3,.333,2,3,5,5,3,0,5,4,9,5.7,NÃºria Jurjo,https://www.sports-reference.com/cbb/players/nuria-jurjo-1.html,miami-oh,2023-24
7,7,7,2023-12-09,Miami (OH),,Dayton,REG (Non-Conf),L 60-73,*,35,5,15,.333,2,3,.667,3,12,.250,.400,2,6,.333,1,4,5,2,2,0,3,4,14,4.6,NÃºria Jurjo,https://www.sports-reference.com/cbb/players/nuria-jurjo-1.html,miami-oh,2023-24
8,8,8,2023-12-16,Miami (OH),@,Michigan,REG (Non-Conf),L 49-75,*,14,1,1,1.000,0,0,,1,1,1.000,1.000,1,2,.500,0,0,0,1,1,0,3,4,3,-0.6,NÃºria Jurjo,https://www.sports-reference.com/cbb/players/nuria-jurjo-1.html,miami-oh,2023-24
9,9,9,2023-12-21,Miami (OH),@,Oakland,REG (Non-Conf),W 68-66 (OT),*,24,2,4,.500,0,0,,2,4,.500,.500,0,0,,0,3,3,3,2,0,3,4,4,2.4,NÃºria Jurjo,https://www.sports-reference.com/cbb/players/nuria-jurjo-1.html,miami-oh,2023-24
10,10,10,2023-12-30,Miami (OH),@,Austin Peay,REG (Non-Conf),L 44-53,*,7,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,NÃºria Jurjo,https://www.sports-reference.com/cbb/players/nuria-jurjo-1.html,miami-oh,2023-24
11,11,11,2024-01-03,Miami (OH),,Toledo,REG (Conf),L 52-70,*,31,2,9,.222,1,3,.333,1,6,.167,.278,0,0,,1,3,4,6,3,0,3,1,5,4.9,NÃºria Jurjo,https://www.sports-reference.com/cbb/players/nuria-jurjo-1.html,miami-oh,2023-24
12,12,12,2024-01-06,Miami (OH),@,Northern Illinois,REG (Conf),L 48-58,,11,0,2,.000,0,0,,0,2,.000,.000,1,2,.500,1,3,4,1,0,0,2,1,1,-0.9,NÃºria Jurjo,https://www.sports-reference.com/cbb/players/nuria-jurjo-1.html,miami-oh,2023-24
13,13,13,2024-01-10,Miami (OH),,Kent State,REG (Conf),L 38-69,*,29,1,8,.125,1,3,.333,0,5,.000,.188,2,2,1.000,1,2,3,4,0,1,7,5,5,-4.4,NÃºria Jurjo,https://www.sports-reference.com/cbb/players/nuria-jurjo-1.html,miami-oh,2023-24
14,14,14,2024-01-13,Miami (OH),@,Western Michigan,REG (Conf),W 64-50,*,8,0,2,.000,0,1,.000,0,1,.000,.000,0,0,,1,0,1,2,0,0,0,5,0,-1.3,NÃºria Jurjo,https://www.sports-reference.com/cbb/players/nuria-jurjo-1.html,miami-oh,2023-24
15,15,15,2024-01-17,Miami (OH),@,Eastern Michigan,REG (Conf),L 48-53,*,10,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,1,1,0,0,1,2,1,0,-2.1,NÃºria Jurjo,https://www.sports-reference.com/cbb/players/nuria-jurjo-1.html,miami-oh,2023-24
16,16,16,2024-01-20,Miami (OH),,Bowling Green,REG (Conf),W 56-47,,17,0,4,.000,0,2,.000,0,2,.000,.000,1,2,.500,0,3,3,3,2,0,2,2,1,0.0,NÃºria Jurjo,https://www.sports-reference.com/cbb/players/nuria-jurjo-1.html,miami-oh,2023-24
17,17,17,2024-01-24,Miami (OH),@,Ball State,REG (Conf),L 56-91,,14,1,3,.333,0,0,,1,3,.333,.333,0,0,,1,2,3,3,3,0,2,2,2,3.9,NÃºria Jurjo,https://www.sports-reference.com/cbb/players/nuria-jurjo-1.html,miami-oh,2023-24
18,18,18,2024-01-27,Miami (OH),@,Ohio,REG (Conf),L 55-71,,6,1,3,.333,0,1,.000,1,2,.500,.333,0,0,,1,1,2,1,0,0,3,5,2,-3.0,NÃºria Jurjo,https://www.sports-reference.com/cbb/players/nuria-jurjo-1.html,miami-oh,2023-24
19,19,19,2024-01-31,Miami (OH),,Central Michigan,REG (Conf),L 59-64,,7,1,2,.500,0,0,,1,2,.500,.500,0,0,,0,0,0,1,0,0,0,0,2,1.7,NÃºria Jurjo,https://www.sports-reference.com/cbb/players/nuria-jurjo-1.html,miami-oh,2023-24
20,20,20,2024-02-03,Miami (OH),@,Akron,REG (Conf),W 58-48,,8,1,3,.333,0,0,,1,3,.333,.333,0,0,,2,2,4,0,0,0,0,0,2,2.3,NÃºria Jurjo,https://www.sports-reference.com/cbb/players/nuria-jurjo-1.html,miami-oh,2023-24
21,21,21,2024-02-07,Miami (OH),,Buffalo,REG (Conf),L 43-49,,5,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,1,0,2,1,0,-1.4,NÃºria Jurjo,https://www.sports-reference.com/cbb/players/nuria-jurjo-1.html,miami-oh,2023-24
22,22,22,2024-02-10,Miami (OH),,Georgia State,REG (Non-Conf),W 80-63,,5,0,2,.000,0,2,.000,0,0,,.000,0,0,,0,0,0,0,0,0,0,3,0,-2.6,NÃºria Jurjo,https://www.sports-reference.com/cbb/players/nuria-jurjo-1.html,miami-oh,2023-24
23,23,23,2024-02-17,Miami (OH),,Western Michigan,REG (Conf),W 58-50,,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0.0,NÃºria Jurjo,https://www.sports-reference.com/cbb/players/nuria-jurjo-1.html,miami-oh,2023-24
24,24,24,2024-02-21,Miami (OH),@,Toledo,REG (Conf),L 36-68,,23,1,1,1.000,0,0,,1,1,1.000,1.000,0,0,,4,6,10,1,1,0,4,1,2,3.6,NÃºria Jurjo,https://www.sports-reference.com/cbb/players/nuria-jurjo-1.html,miami-oh,2023-24
25,25,25,2024-02-24,Miami (OH),,Eastern Michigan,REG (Conf),W 48-37,,9,1,3,.333,0,1,.000,1,2,.500,.333,0,0,,1,1,2,0,0,0,2,1,2,-1.1,NÃºria Jurjo,https://www.sports-reference.com/cbb/players/nuria-jurjo-1.html,miami-oh,2023-24
26,26,26,2024-02-28,Miami (OH),@,Central Michigan,REG (Conf),L 73-76 (2OT),,3,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,1,1,0,0,0,1,0,0,-1.4,NÃºria Jurjo,https://www.sports-reference.com/cbb/players/nuria-jurjo-1.html,miami-oh,2023-24
27,27,27,2024-03-02,Miami (OH),@,Bowling Green,REG (Conf),L 47-66,,6,0,0,,0,0,,0,0,,,0,0,,0,0,0,1,0,0,1,0,0,-0.3,NÃºria Jurjo,https://www.sports-reference.com/cbb/players/nuria-jurjo-1.html,miami-oh,2023-24
28,28,28,2024-03-06,Miami (OH),,Northern Illinois,REG (Conf),L 46-56,,9,0,0,,0,0,,0,0,,,0,0,,0,1,1,1,0,0,0,1,0,0.6,NÃºria Jurjo,https://www.sports-reference.com/cbb/players/nuria-jurjo-1.html,miami-oh,2023-24
29,29,29,2024-03-09,Miami (OH),,Ohio,REG (Conf),W 68-64,,16,1,3,.333,0,2,.000,1,1,1.000,.333,0,0,,1,5,6,3,2,0,3,4,2,2.0,NÃºria Jurjo,https://www.sports-reference.com/cbb/players/nuria-jurjo-1.html,miami-oh,2023-24
