ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,30,1,2023-11-06,Morgan State,,Wash. Adventist,REG (Non-Conf),W 59-57,*,32,1,7,.143,0,1,.000,1,6,.167,.143,8,10,.800,0,6,6,4,0,0,2,2,10,6.5,Gabrielle Johnson,https://www.sports-reference.com/cbb/players/gabrielle-johnson-1.html,morgan-state,2023-24
2,31,2,2023-11-12,Morgan State,,Sacred Heart,REG (Non-Conf),L 55-63,*,33,6,9,.667,1,1,1.000,5,8,.625,.722,6,8,.750,1,2,3,0,6,0,4,3,19,16.4,Gabrielle Johnson,https://www.sports-reference.com/cbb/players/gabrielle-johnson-1.html,morgan-state,2023-24
3,32,3,2023-11-16,Morgan State,,Notre Dame (MD),REG (Non-Conf),W 75-32,*,19,3,4,.750,0,1,.000,3,3,1.000,.750,2,2,1.000,0,0,0,6,5,1,3,4,8,11.7,Gabrielle Johnson,https://www.sports-reference.com/cbb/players/gabrielle-johnson-1.html,morgan-state,2023-24
4,33,4,2023-11-18,Morgan State,,Davidson,REG (Non-Conf),L 48-62,*,17,0,4,.000,0,1,.000,0,3,.000,.000,3,4,.750,0,1,1,0,0,1,2,1,3,-1.6,Gabrielle Johnson,https://www.sports-reference.com/cbb/players/gabrielle-johnson-1.html,morgan-state,2023-24
5,34,5,2023-11-23,Morgan State,N,Campbell,REG (Non-Conf),L 46-60,*,19,1,6,.167,0,2,.000,1,4,.250,.167,4,7,.571,2,1,3,2,2,0,3,2,6,2.3,Gabrielle Johnson,https://www.sports-reference.com/cbb/players/gabrielle-johnson-1.html,morgan-state,2023-24
6,35,6,2023-11-24,Morgan State,N,UNC Asheville,REG (Non-Conf),W 53-51,*,28,5,14,.357,1,5,.200,4,9,.444,.393,2,3,.667,0,1,1,3,3,0,0,0,13,10.2,Gabrielle Johnson,https://www.sports-reference.com/cbb/players/gabrielle-johnson-1.html,morgan-state,2023-24
7,36,7,2023-11-29,Morgan State,@,Towson,REG (Non-Conf),L 69-80,*,21,4,10,.400,2,3,.667,2,7,.286,.500,3,3,1.000,2,2,4,3,2,0,4,2,13,8.9,Gabrielle Johnson,https://www.sports-reference.com/cbb/players/gabrielle-johnson-1.html,morgan-state,2023-24
8,37,8,2023-12-02,Morgan State,@,Saint Francis (PA),REG (Non-Conf),L 59-69,*,28,3,10,.300,1,3,.333,2,7,.286,.350,2,2,1.000,2,2,4,1,1,0,0,2,9,6.1,Gabrielle Johnson,https://www.sports-reference.com/cbb/players/gabrielle-johnson-1.html,morgan-state,2023-24
9,38,9,2023-12-06,Morgan State,@,South Carolina,REG (Non-Conf),L 38-104,*,25,1,8,.125,0,1,.000,1,7,.143,.125,4,4,1.000,1,2,3,2,1,0,1,2,6,2.7,Gabrielle Johnson,https://www.sports-reference.com/cbb/players/gabrielle-johnson-1.html,morgan-state,2023-24
10,39,10,2023-12-09,Morgan State,,UMBC,REG (Non-Conf),W 65-42,*,34,4,8,.500,1,2,.500,3,6,.500,.563,2,3,.667,0,2,2,3,6,0,1,0,11,14.3,Gabrielle Johnson,https://www.sports-reference.com/cbb/players/gabrielle-johnson-1.html,morgan-state,2023-24
11,40,11,2023-12-17,Morgan State,@,Stetson,REG (Non-Conf),L 48-56,*,30,3,13,.231,1,6,.167,2,7,.286,.269,0,0,,2,1,3,1,0,0,2,3,7,-1.7,Gabrielle Johnson,https://www.sports-reference.com/cbb/players/gabrielle-johnson-1.html,morgan-state,2023-24
12,41,12,2023-12-19,Morgan State,@,UCF,REG (Non-Conf),L 41-67,*,17,0,2,.000,0,1,.000,0,1,.000,.000,0,0,,0,1,1,0,1,0,3,1,0,-3.5,Gabrielle Johnson,https://www.sports-reference.com/cbb/players/gabrielle-johnson-1.html,morgan-state,2023-24
13,42,16,2024-01-06,Morgan State,@,Maryland Eastern Shore,REG (Conf),W 48-45,,22,4,10,.400,0,3,.000,4,7,.571,.400,0,0,,0,1,1,1,0,0,2,0,8,1.6,Gabrielle Johnson,https://www.sports-reference.com/cbb/players/gabrielle-johnson-1.html,morgan-state,2023-24
14,43,17,2024-01-08,Morgan State,,Delaware State,REG (Conf),L 71-73 (OT),,34,3,6,.500,1,3,.333,2,3,.667,.583,0,0,,0,1,1,1,1,1,1,2,7,4.9,Gabrielle Johnson,https://www.sports-reference.com/cbb/players/gabrielle-johnson-1.html,morgan-state,2023-24
15,44,18,2024-01-20,Morgan State,@,Coppin State,REG (Conf),L 47-67,*,21,0,4,.000,0,2,.000,0,2,.000,.000,0,0,,0,1,1,2,0,1,1,3,0,-2.6,Gabrielle Johnson,https://www.sports-reference.com/cbb/players/gabrielle-johnson-1.html,morgan-state,2023-24
16,45,19,2024-01-27,Morgan State,,Howard,REG (Conf),L 51-54,*,23,1,8,.125,0,3,.000,1,5,.200,.125,1,2,.500,0,3,3,2,0,0,5,3,3,-6.5,Gabrielle Johnson,https://www.sports-reference.com/cbb/players/gabrielle-johnson-1.html,morgan-state,2023-24
17,46,20,2024-01-29,Morgan State,@,Norfolk State,REG (Conf),L 45-62,,13,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,3,3,0,1,0,1,0,0,0.2,Gabrielle Johnson,https://www.sports-reference.com/cbb/players/gabrielle-johnson-1.html,morgan-state,2023-24
