ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,31,1,2023-11-08,Navy,,Susquehanna,REG (Non-Conf),W 78-37,*,25,3,8,.375,2,4,.500,1,4,.250,.500,1,2,.500,1,7,8,6,1,0,1,1,9,10.8,Maren Louridas,https://www.sports-reference.com/cbb/players/maren-louridas-1.html,navy,2023-24
2,32,2,2023-11-10,Navy,@,Penn State,REG (Non-Conf),L 44-107,*,28,3,8,.375,3,6,.500,0,2,.000,.563,0,0,,0,2,2,1,0,0,1,3,9,3.7,Maren Louridas,https://www.sports-reference.com/cbb/players/maren-louridas-1.html,navy,2023-24
3,33,3,2023-11-15,Navy,,Mount St. Mary's,REG (Non-Conf),L 59-67 (OT),*,33,0,5,.000,0,4,.000,0,1,.000,.000,3,4,.750,0,2,2,1,3,0,4,4,3,-2.2,Maren Louridas,https://www.sports-reference.com/cbb/players/maren-louridas-1.html,navy,2023-24
4,34,4,2023-11-21,Navy,,Binghamton,REG (Non-Conf),W 66-59,*,34,0,3,.000,0,1,.000,0,2,.000,.000,2,4,.500,1,7,8,2,1,0,1,2,2,2.5,Maren Louridas,https://www.sports-reference.com/cbb/players/maren-louridas-1.html,navy,2023-24
5,35,5,2023-11-25,Navy,,Quinnipiac,REG (Non-Conf),W 75-62,*,35,3,8,.375,2,5,.400,1,3,.333,.500,0,0,,2,9,11,4,0,0,2,2,8,7.7,Maren Louridas,https://www.sports-reference.com/cbb/players/maren-louridas-1.html,navy,2023-24
6,36,6,2023-11-26,Navy,,Abilene Christian,REG (Non-Conf),L 62-87,*,19,2,6,.333,2,6,.333,0,0,,.500,0,0,,0,5,5,1,1,0,0,3,6,4.6,Maren Louridas,https://www.sports-reference.com/cbb/players/maren-louridas-1.html,navy,2023-24
7,37,7,2023-11-30,Navy,@,Wagner,REG (Non-Conf),L 67-69,*,26,1,5,.200,0,4,.000,1,1,1.000,.200,0,2,.000,0,3,3,0,0,0,0,4,2,-2.6,Maren Louridas,https://www.sports-reference.com/cbb/players/maren-louridas-1.html,navy,2023-24
8,38,8,2023-12-03,Navy,,William & Mary,REG (Non-Conf),L 53-81,*,21,3,6,.500,2,4,.500,1,2,.500,.667,0,0,,0,2,2,0,2,0,1,1,8,6.2,Maren Louridas,https://www.sports-reference.com/cbb/players/maren-louridas-1.html,navy,2023-24
9,39,9,2023-12-08,Navy,@,Dartmouth,REG (Non-Conf),L 52-65,*,24,3,7,.429,1,5,.200,2,2,1.000,.500,0,0,,3,4,7,1,0,0,1,5,7,4.3,Maren Louridas,https://www.sports-reference.com/cbb/players/maren-louridas-1.html,navy,2023-24
10,40,10,2023-12-19,Navy,,Goucher,REG (Non-Conf),W 105-50,*,20,1,7,.143,0,5,.000,1,2,.500,.143,2,4,.500,3,3,6,3,1,1,0,1,4,5.1,Maren Louridas,https://www.sports-reference.com/cbb/players/maren-louridas-1.html,navy,2023-24
11,41,11,2023-12-30,Navy,@,Albany (NY),REG (Non-Conf),L 56-87,*,38,4,7,.571,1,3,.333,3,4,.750,.643,1,1,1.000,2,2,4,3,2,0,1,2,10,11.0,Maren Louridas,https://www.sports-reference.com/cbb/players/maren-louridas-1.html,navy,2023-24
12,42,12,2024-01-03,Navy,@,Boston University,REG (Conf),L 51-62,*,33,3,9,.333,1,5,.200,2,4,.500,.389,0,0,,3,5,8,0,2,0,3,2,7,3.7,Maren Louridas,https://www.sports-reference.com/cbb/players/maren-louridas-1.html,navy,2023-24
13,43,13,2024-01-06,Navy,@,Colgate,REG (Conf),L 56-73,*,38,0,6,.000,0,2,.000,0,4,.000,.000,0,0,,2,5,7,3,0,0,1,2,0,-1.0,Maren Louridas,https://www.sports-reference.com/cbb/players/maren-louridas-1.html,navy,2023-24
14,44,14,2024-01-10,Navy,,Holy Cross,REG (Conf),L 54-69,*,30,1,7,.143,1,4,.250,0,3,.000,.214,2,2,1.000,0,4,4,0,1,0,2,4,5,-0.9,Maren Louridas,https://www.sports-reference.com/cbb/players/maren-louridas-1.html,navy,2023-24
