ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,26,1,2023-11-06,North Alabama,,UT Southern,REG (Non-Conf),W 90-47,,23,2,2,1.000,0,0,,2,2,1.000,1.000,3,4,.750,0,5,5,6,1,0,2,1,7,10.3,Sara Wohlgemuth,https://www.sports-reference.com/cbb/players/sara-wohlgemuth-1.html,north-alabama,2023-24
2,27,2,2023-11-10,North Alabama,,Denver,REG (Non-Conf),L 51-67,,24,1,3,.333,0,0,,1,3,.333,.333,0,0,,0,5,5,4,1,0,2,0,2,3.6,Sara Wohlgemuth,https://www.sports-reference.com/cbb/players/sara-wohlgemuth-1.html,north-alabama,2023-24
3,28,3,2023-11-14,North Alabama,@,Missouri,REG (Non-Conf),L 72-83,,30,4,5,.800,2,2,1.000,2,3,.667,1.000,1,2,.500,1,4,5,10,4,0,4,1,11,17.2,Sara Wohlgemuth,https://www.sports-reference.com/cbb/players/sara-wohlgemuth-1.html,north-alabama,2023-24
4,29,4,2023-11-18,North Alabama,,Southern Mississippi,REG (Non-Conf),L 63-91,,30,0,3,.000,0,0,,0,3,.000,.000,2,2,1.000,0,3,3,4,0,0,2,1,2,1.2,Sara Wohlgemuth,https://www.sports-reference.com/cbb/players/sara-wohlgemuth-1.html,north-alabama,2023-24
5,30,5,2023-11-21,North Alabama,,UT Martin,REG (Non-Conf),W 70-63,,32,0,1,.000,0,0,,0,1,.000,.000,3,4,.750,0,5,5,8,0,0,5,2,3,3.2,Sara Wohlgemuth,https://www.sports-reference.com/cbb/players/sara-wohlgemuth-1.html,north-alabama,2023-24
6,31,6,2023-11-26,North Alabama,@,UTEP,REG (Non-Conf),L 88-95,,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0.0,Sara Wohlgemuth,https://www.sports-reference.com/cbb/players/sara-wohlgemuth-1.html,north-alabama,2023-24
7,32,7,2023-11-29,North Alabama,@,Alabama A&M,REG (Non-Conf),L 57-70,,24,2,5,.400,1,1,1.000,1,4,.250,.500,2,4,.500,1,5,6,5,2,0,5,0,7,6.2,Sara Wohlgemuth,https://www.sports-reference.com/cbb/players/sara-wohlgemuth-1.html,north-alabama,2023-24
8,33,8,2023-12-05,North Alabama,,Fisk,REG (Non-Conf),W 95-60,,23,1,3,.333,1,2,.500,0,1,.000,.500,0,0,,1,3,4,6,1,0,3,1,3,4.7,Sara Wohlgemuth,https://www.sports-reference.com/cbb/players/sara-wohlgemuth-1.html,north-alabama,2023-24
9,34,9,2023-12-09,North Alabama,@,Chattanooga,REG (Non-Conf),L 65-68,*,40,0,2,.000,0,2,.000,0,0,,.000,2,2,1.000,0,8,8,7,0,0,3,0,2,4.9,Sara Wohlgemuth,https://www.sports-reference.com/cbb/players/sara-wohlgemuth-1.html,north-alabama,2023-24
10,35,10,2023-12-14,North Alabama,@,Arkansas State,REG (Non-Conf),L 78-82 (OT),*,45,2,6,.333,2,5,.400,0,1,.000,.500,0,0,,0,5,5,7,1,0,1,2,6,8.2,Sara Wohlgemuth,https://www.sports-reference.com/cbb/players/sara-wohlgemuth-1.html,north-alabama,2023-24
11,36,11,2023-12-19,North Alabama,@,Samford,REG (Non-Conf),W 69-64,*,39,4,8,.500,2,4,.500,2,4,.500,.625,4,4,1.000,0,9,9,6,1,0,8,1,14,9.5,Sara Wohlgemuth,https://www.sports-reference.com/cbb/players/sara-wohlgemuth-1.html,north-alabama,2023-24
12,37,12,2023-12-21,North Alabama,,Tennessee Tech,REG (Non-Conf),L 67-78,*,30,0,4,.000,0,1,.000,0,3,.000,.000,2,4,.500,1,4,5,4,1,0,3,2,2,0.3,Sara Wohlgemuth,https://www.sports-reference.com/cbb/players/sara-wohlgemuth-1.html,north-alabama,2023-24
13,38,13,2023-12-31,North Alabama,@,Auburn,REG (Non-Conf),L 58-79,,26,2,5,.400,0,2,.000,2,3,.667,.400,0,0,,0,5,5,3,0,0,4,2,4,0.1,Sara Wohlgemuth,https://www.sports-reference.com/cbb/players/sara-wohlgemuth-1.html,north-alabama,2023-24
14,39,14,2024-01-06,North Alabama,,Central Arkansas,REG (Conf),L 62-83,,28,4,9,.444,1,2,.500,3,7,.429,.500,0,0,,1,4,5,4,1,0,4,1,9,5.6,Sara Wohlgemuth,https://www.sports-reference.com/cbb/players/sara-wohlgemuth-1.html,north-alabama,2023-24
15,40,15,2024-01-11,North Alabama,,Austin Peay,REG (Conf),W 79-75,,28,4,5,.800,4,5,.800,0,0,,1.200,1,2,.500,0,7,7,8,0,0,3,1,13,15.0,Sara Wohlgemuth,https://www.sports-reference.com/cbb/players/sara-wohlgemuth-1.html,north-alabama,2023-24
16,41,16,2024-01-13,North Alabama,,Lipscomb,REG (Conf),L 67-85,,30,4,8,.500,3,6,.500,1,2,.500,.688,2,5,.400,1,2,3,9,1,0,3,0,13,13.4,Sara Wohlgemuth,https://www.sports-reference.com/cbb/players/sara-wohlgemuth-1.html,north-alabama,2023-24
17,42,17,2024-01-18,North Alabama,@,Bellarmine,REG (Conf),W 91-90 (OT),,13,2,7,.286,2,5,.400,0,2,.000,.429,1,2,.500,0,2,2,2,0,0,3,0,7,1.5,Sara Wohlgemuth,https://www.sports-reference.com/cbb/players/sara-wohlgemuth-1.html,north-alabama,2023-24
