ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,16,2,2023-11-09,North Carolina Central,@,Washington,REG (Non-Conf),L 39-113,,17,1,3,.333,0,0,1,3,.333,.333,1,2,.500,0,2,2,0,0,1,3,4,3,-2.4,Nijah Cunningham,https://www.sports-reference.com/cbb/players/nijah-cunningham-1.html,north-carolina-central,2023-24
2,17,3,2023-11-14,North Carolina Central,@,Wofford,REG (Non-Conf),L 52-82,,16,1,3,.333,0,0,1,3,.333,.333,1,3,.333,0,5,5,0,0,0,1,2,3,0.2,Nijah Cunningham,https://www.sports-reference.com/cbb/players/nijah-cunningham-1.html,north-carolina-central,2023-24
3,18,4,2023-11-17,North Carolina Central,,Mid-Atl Christian,REG (Non-Conf),W 132-22,*,20,7,10,.700,0,0,7,10,.700,.700,4,6,.667,6,0,6,3,2,1,1,3,18,19.8,Nijah Cunningham,https://www.sports-reference.com/cbb/players/nijah-cunningham-1.html,north-carolina-central,2023-24
4,19,5,2023-11-19,North Carolina Central,,Johnson/Wales-NC,REG (Non-Conf),W 83-50,,20,4,9,.444,0,0,4,9,.444,.444,0,0,,3,4,7,0,0,1,4,3,8,2.1,Nijah Cunningham,https://www.sports-reference.com/cbb/players/nijah-cunningham-1.html,north-carolina-central,2023-24
5,20,6,2023-11-22,North Carolina Central,,Western Carolina,REG (Non-Conf),W 69-58,*,26,6,10,.600,0,0,6,10,.600,.600,1,4,.250,5,3,8,0,1,1,3,2,13,9.5,Nijah Cunningham,https://www.sports-reference.com/cbb/players/nijah-cunningham-1.html,north-carolina-central,2023-24
6,21,7,2023-11-26,North Carolina Central,@,Duke,REG (Non-Conf),L 45-93,*,20,0,2,.000,0,0,0,2,.000,.000,1,2,.500,1,1,2,0,2,0,4,5,1,-3.8,Nijah Cunningham,https://www.sports-reference.com/cbb/players/nijah-cunningham-1.html,north-carolina-central,2023-24
7,22,8,2023-11-29,North Carolina Central,@,Presbyterian,REG (Non-Conf),L 58-76,*,13,2,3,.667,0,0,2,3,.667,.667,2,4,.500,2,2,4,0,2,0,4,1,6,3.5,Nijah Cunningham,https://www.sports-reference.com/cbb/players/nijah-cunningham-1.html,north-carolina-central,2023-24
8,23,9,2023-12-05,North Carolina Central,@,Campbell,REG (Non-Conf),L 61-74,*,15,0,5,.000,0,0,0,5,.000,.000,0,0,,1,1,2,0,0,0,2,1,0,-4.9,Nijah Cunningham,https://www.sports-reference.com/cbb/players/nijah-cunningham-1.html,north-carolina-central,2023-24
9,24,10,2023-12-11,North Carolina Central,@,Jacksonville,REG (Non-Conf),L 67-70,,15,1,5,.200,0,0,1,5,.200,.200,0,0,,3,1,4,0,0,0,1,5,2,-1.7,Nijah Cunningham,https://www.sports-reference.com/cbb/players/nijah-cunningham-1.html,north-carolina-central,2023-24
10,25,11,2023-12-14,North Carolina Central,@,UNC Greensboro,REG (Non-Conf),L 55-66,,14,0,3,.000,0,0,0,3,.000,.000,0,0,,1,2,3,0,0,0,3,0,0,-3.8,Nijah Cunningham,https://www.sports-reference.com/cbb/players/nijah-cunningham-1.html,north-carolina-central,2023-24
11,26,12,2023-12-18,North Carolina Central,@,UNC Asheville,REG (Non-Conf),W 65-63,*,28,2,5,.400,0,0,2,5,.400,.400,2,4,.500,3,3,6,0,0,2,8,4,6,-2.7,Nijah Cunningham,https://www.sports-reference.com/cbb/players/nijah-cunningham-1.html,north-carolina-central,2023-24
12,27,13,2023-12-21,North Carolina Central,@,UNC Wilmington,REG (Non-Conf),W 70-65,*,17,2,3,.667,0,0,2,3,.667,.667,1,2,.500,2,2,4,0,0,2,1,2,5,4.9,Nijah Cunningham,https://www.sports-reference.com/cbb/players/nijah-cunningham-1.html,north-carolina-central,2023-24
13,28,14,2023-12-31,North Carolina Central,@,Furman,REG (Non-Conf),L 63-73,*,22,2,6,.333,0,0,2,6,.333,.333,0,0,,0,3,3,0,1,2,1,2,4,2.1,Nijah Cunningham,https://www.sports-reference.com/cbb/players/nijah-cunningham-1.html,north-carolina-central,2023-24
14,29,23,2024-02-05,North Carolina Central,,Morgan State,REG (Conf),W 66-65,,2,0,1,.000,0,0,0,1,.000,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,Nijah Cunningham,https://www.sports-reference.com/cbb/players/nijah-cunningham-1.html,north-carolina-central,2023-24
15,30,24,2024-02-17,North Carolina Central,@,Howard,REG (Conf),W 70-64 (OT),,12,0,2,.000,0,0,0,2,.000,.000,5,8,.625,0,6,6,0,1,0,1,2,5,3.4,Nijah Cunningham,https://www.sports-reference.com/cbb/players/nijah-cunningham-1.html,north-carolina-central,2023-24
16,31,25,2024-02-19,North Carolina Central,@,Norfolk State,REG (Conf),L 44-72,,9,1,3,.333,0,0,1,3,.333,.333,0,0,,0,0,0,0,1,0,1,2,2,-0.5,Nijah Cunningham,https://www.sports-reference.com/cbb/players/nijah-cunningham-1.html,north-carolina-central,2023-24
17,32,26,2024-02-24,North Carolina Central,,Maryland Eastern Shore,REG (Conf),L 64-71,,18,2,4,.500,0,0,2,4,.500,.500,2,3,.667,0,2,2,0,0,4,2,3,6,3.8,Nijah Cunningham,https://www.sports-reference.com/cbb/players/nijah-cunningham-1.html,north-carolina-central,2023-24
18,33,27,2024-02-26,North Carolina Central,,Delaware State,REG (Conf),L 64-75 (OT),,13,2,4,.500,0,0,2,4,.500,.500,0,0,,2,2,4,0,0,0,2,2,4,1.2,Nijah Cunningham,https://www.sports-reference.com/cbb/players/nijah-cunningham-1.html,north-carolina-central,2023-24
19,34,28,2024-03-02,North Carolina Central,@,Coppin State,REG (Conf),W 52-44,,8,1,2,.500,0,0,1,2,.500,.500,0,0,,1,2,3,0,0,0,1,2,2,0.5,Nijah Cunningham,https://www.sports-reference.com/cbb/players/nijah-cunningham-1.html,north-carolina-central,2023-24
20,35,29,2024-03-04,North Carolina Central,@,Morgan State,REG (Conf),W 63-58,,9,1,2,.500,0,0,1,2,.500,.500,0,0,,1,0,1,0,0,1,0,1,2,2.0,Nijah Cunningham,https://www.sports-reference.com/cbb/players/nijah-cunningham-1.html,north-carolina-central,2023-24
21,36,30,2024-03-07,North Carolina Central,,South Carolina State,REG (Conf),W 73-54,,8,2,2,1.000,0,0,2,2,1.000,1.000,3,3,1.000,1,1,2,0,0,1,2,2,7,5.3,Nijah Cunningham,https://www.sports-reference.com/cbb/players/nijah-cunningham-1.html,north-carolina-central,2023-24
22,37,31,2024-03-14,North Carolina Central,N,Delaware State,CTOURN,W 66-56,,9,2,4,.500,0,0,2,4,.500,.500,0,0,,0,1,1,0,0,1,0,1,4,2.6,Nijah Cunningham,https://www.sports-reference.com/cbb/players/nijah-cunningham-1.html,north-carolina-central,2023-24
23,38,32,2024-03-15,North Carolina Central,N,Howard,CTOURN,L 56-69,,11,1,2,.500,0,0,1,2,.500,.500,2,2,1.000,2,1,3,0,0,1,2,2,4,2.6,Nijah Cunningham,https://www.sports-reference.com/cbb/players/nijah-cunningham-1.html,north-carolina-central,2023-24
