ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,1,1,2023-11-07,NC State,,Charlotte,REG (Non-Conf),W 84-43,,4,1,2,.500,1,2,.500,0,0,,.750,0,0,0,0,0,0,0,0,0,0,3,2.0,Jannah Eissa,https://www.sports-reference.com/cbb/players/jannah-eissa-1.html,north-carolina-state,2023-24
2,2,3,2023-11-15,NC State,,Elon,REG (Non-Conf),W 90-35,,4,0,1,.000,0,1,.000,0,0,,.000,0,0,1,0,1,0,0,0,0,1,0,-0.4,Jannah Eissa,https://www.sports-reference.com/cbb/players/jannah-eissa-1.html,north-carolina-state,2023-24
3,3,5,2023-11-23,NC State,N,Kentucky,REG (Non-Conf),W 84-55,,5,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,1,1,0,-1.4,Jannah Eissa,https://www.sports-reference.com/cbb/players/jannah-eissa-1.html,north-carolina-state,2023-24
4,4,6,2023-11-24,NC State,N,Cincinnati,REG (Non-Conf),W 79-45,,6,0,1,.000,0,0,,0,1,.000,.000,0,0,0,0,0,0,0,0,2,0,0,-2.7,Jannah Eissa,https://www.sports-reference.com/cbb/players/jannah-eissa-1.html,north-carolina-state,2023-24
5,5,7,2023-11-25,NC State,N,Colorado,REG (Non-Conf),W 78-60,,1,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Jannah Eissa,https://www.sports-reference.com/cbb/players/jannah-eissa-1.html,north-carolina-state,2023-24
6,6,9,2023-12-03,NC State,,Illinois State,REG (Non-Conf),W 79-61,,1,0,2,.000,0,2,.000,0,0,,.000,0,0,0,0,0,0,0,0,0,0,0,-1.4,Jannah Eissa,https://www.sports-reference.com/cbb/players/jannah-eissa-1.html,north-carolina-state,2023-24
7,7,16,2024-01-11,NC State,,Virginia,REG (Conf),W 93-66,,3,0,0,,0,0,,0,0,,,0,0,0,1,1,0,0,0,0,1,0,-0.1,Jannah Eissa,https://www.sports-reference.com/cbb/players/jannah-eissa-1.html,north-carolina-state,2023-24
8,8,20,2024-01-28,NC State,@,Boston College,REG (Conf),W 82-61,,1,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Jannah Eissa,https://www.sports-reference.com/cbb/players/jannah-eissa-1.html,north-carolina-state,2023-24
9,9,24,2024-02-11,NC State,@,Pittsburgh,REG (Conf),W 83-47,,2,0,1,.000,0,0,,0,1,.000,.000,0,0,1,0,1,0,0,0,0,0,0,0.0,Jannah Eissa,https://www.sports-reference.com/cbb/players/jannah-eissa-1.html,north-carolina-state,2023-24
10,10,32,2024-03-09,NC State,N,Florida State,CTOURN,W 69-43,,1,0,1,.000,0,0,,0,1,.000,.000,0,0,0,0,0,0,0,0,0,0,0,-0.7,Jannah Eissa,https://www.sports-reference.com/cbb/players/jannah-eissa-1.html,north-carolina-state,2023-24
11,11,34,2024-03-23,NC State,,Chattanooga,ROUND-64,W 64-45,,2,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Jannah Eissa,https://www.sports-reference.com/cbb/players/jannah-eissa-1.html,north-carolina-state,2023-24
