ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,38,1,2023-11-09,Northwestern,,Illinois–Chicago,REG (Non-Conf),W 92-86 (OT),*,41,12,21,.571,0,0,,12,21,.571,.571,1,2,.500,3,2,5,2,2,0,1,4,25,18.2,Melannie Daley,https://www.sports-reference.com/cbb/players/melannie-daley-1.html,northwestern,2023-24
2,39,2,2023-11-12,Northwestern,,Omaha,REG (Non-Conf),W 87-69,*,27,10,11,.909,1,1,1.000,9,10,.900,.955,0,0,,0,1,1,2,3,0,1,2,21,20.2,Melannie Daley,https://www.sports-reference.com/cbb/players/melannie-daley-1.html,northwestern,2023-24
3,40,3,2023-11-15,Northwestern,@,Notre Dame,REG (Non-Conf),L 52-110,*,29,5,15,.333,0,0,,5,15,.333,.333,1,2,.500,1,4,5,3,4,0,3,2,11,6.3,Melannie Daley,https://www.sports-reference.com/cbb/players/melannie-daley-1.html,northwestern,2023-24
4,41,4,2023-11-19,Northwestern,,Southeast Missouri State,REG (Non-Conf),W 76-68,*,37,7,11,.636,0,0,,7,11,.636,.636,3,4,.750,4,2,6,6,2,1,2,0,17,20.0,Melannie Daley,https://www.sports-reference.com/cbb/players/melannie-daley-1.html,northwestern,2023-24
5,42,5,2023-11-22,Northwestern,N,Florida State,REG (Non-Conf),L 52-90,*,19,2,8,.250,0,0,,2,8,.250,.250,0,0,,1,0,1,1,2,0,0,2,4,1.8,Melannie Daley,https://www.sports-reference.com/cbb/players/melannie-daley-1.html,northwestern,2023-24
6,43,6,2023-11-25,Northwestern,N,Belmont,REG (Non-Conf),L 61-83,*,26,5,11,.455,0,0,,5,11,.455,.455,0,2,.000,1,0,1,2,1,0,1,2,10,4.8,Melannie Daley,https://www.sports-reference.com/cbb/players/melannie-daley-1.html,northwestern,2023-24
7,44,7,2023-11-29,Northwestern,,Loyola Chicago,REG (Non-Conf),L 68-73,*,21,2,4,.500,0,0,,2,4,.500,.500,0,0,,0,0,0,2,0,0,1,4,4,0.8,Melannie Daley,https://www.sports-reference.com/cbb/players/melannie-daley-1.html,northwestern,2023-24
8,45,8,2023-12-03,Northwestern,,Georgetown,REG (Non-Conf),L 58-82,*,18,0,4,.000,0,0,,0,4,.000,.000,3,4,.750,0,1,1,1,1,0,0,2,3,1.0,Melannie Daley,https://www.sports-reference.com/cbb/players/melannie-daley-1.html,northwestern,2023-24
9,46,9,2023-12-10,Northwestern,@,Maryland,REG (Conf),L 58-71,,27,7,12,.583,0,0,,7,12,.583,.583,0,0,,2,3,5,3,1,0,3,1,14,10.4,Melannie Daley,https://www.sports-reference.com/cbb/players/melannie-daley-1.html,northwestern,2023-24
10,47,10,2023-12-13,Northwestern,@,DePaul,REG (Non-Conf),L 65-90,,29,6,14,.429,1,2,.500,5,12,.417,.464,0,0,,3,1,4,3,1,0,4,1,13,6.7,Melannie Daley,https://www.sports-reference.com/cbb/players/melannie-daley-1.html,northwestern,2023-24
11,48,11,2023-12-17,Northwestern,,Bradley,REG (Non-Conf),W 86-66,*,30,5,9,.556,0,0,,5,9,.556,.556,3,4,.750,2,1,3,6,5,1,0,2,13,19.1,Melannie Daley,https://www.sports-reference.com/cbb/players/melannie-daley-1.html,northwestern,2023-24
12,49,12,2023-12-21,Northwestern,@,Temple,REG (Non-Conf),W 72-68,*,33,8,15,.533,0,0,,8,15,.533,.533,5,6,.833,2,2,4,3,1,1,2,2,21,16.3,Melannie Daley,https://www.sports-reference.com/cbb/players/melannie-daley-1.html,northwestern,2023-24
13,50,13,2023-12-30,Northwestern,,Rutgers,REG (Conf),W 77-70,*,36,8,15,.533,0,0,,8,15,.533,.533,4,5,.800,2,2,4,3,2,1,1,1,20,17.7,Melannie Daley,https://www.sports-reference.com/cbb/players/melannie-daley-1.html,northwestern,2023-24
14,51,14,2024-01-02,Northwestern,@,Penn State,REG (Conf),L 55-95,*,20,5,9,.556,0,0,,5,9,.556,.556,2,2,1.000,0,1,1,1,0,0,3,0,12,5.7,Melannie Daley,https://www.sports-reference.com/cbb/players/melannie-daley-1.html,northwestern,2023-24
15,52,15,2024-01-05,Northwestern,,Ohio State,REG (Conf),L 60-90,*,21,1,6,.167,0,0,,1,6,.167,.167,0,0,,0,1,1,2,1,0,3,1,2,-2.5,Melannie Daley,https://www.sports-reference.com/cbb/players/melannie-daley-1.html,northwestern,2023-24
16,53,16,2024-01-10,Northwestern,@,Wisconsin,REG (Conf),W 74-69,*,28,4,12,.333,0,0,,4,12,.333,.333,4,4,1.000,1,0,1,2,1,0,0,2,12,7.5,Melannie Daley,https://www.sports-reference.com/cbb/players/melannie-daley-1.html,northwestern,2023-24
17,54,17,2024-01-14,Northwestern,,Illinois,REG (Conf),L 52-93,*,23,3,11,.273,0,0,,3,11,.273,.273,3,3,1.000,3,0,3,0,0,0,0,3,9,3.4,Melannie Daley,https://www.sports-reference.com/cbb/players/melannie-daley-1.html,northwestern,2023-24
18,55,18,2024-01-17,Northwestern,@,Michigan State,REG (Conf),L 72-91,,18,9,16,.563,0,1,.000,9,15,.600,.563,0,1,.000,2,0,2,1,0,0,0,2,18,11.3,Melannie Daley,https://www.sports-reference.com/cbb/players/melannie-daley-1.html,northwestern,2023-24
19,56,19,2024-01-25,Northwestern,,Penn State,REG (Conf),L 65-76,,16,5,6,.833,0,0,,5,6,.833,.833,2,2,1.000,1,0,1,0,1,0,1,4,12,8.9,Melannie Daley,https://www.sports-reference.com/cbb/players/melannie-daley-1.html,northwestern,2023-24
20,57,20,2024-01-28,Northwestern,@,Indiana,REG (Conf),L 59-100,,22,6,11,.545,0,0,,6,11,.545,.545,4,5,.800,3,0,3,0,0,1,2,0,16,11.1,Melannie Daley,https://www.sports-reference.com/cbb/players/melannie-daley-1.html,northwestern,2023-24
21,58,21,2024-01-31,Northwestern,,Iowa,REG (Conf),L 74-110,,24,8,17,.471,0,0,,8,17,.471,.471,3,4,.750,2,0,2,2,2,0,1,3,19,12.5,Melannie Daley,https://www.sports-reference.com/cbb/players/melannie-daley-1.html,northwestern,2023-24
22,59,22,2024-02-04,Northwestern,,Wisconsin,REG (Conf),W 69-43,,11,1,4,.250,0,0,,1,4,.250,.250,1,1,1.000,0,0,0,1,2,1,1,1,3,2.6,Melannie Daley,https://www.sports-reference.com/cbb/players/melannie-daley-1.html,northwestern,2023-24
23,60,23,2024-02-08,Northwestern,@,Illinois,REG (Conf),L 71-82,,29,4,9,.444,0,0,,4,9,.444,.444,0,0,,2,1,3,6,2,0,1,4,8,8.6,Melannie Daley,https://www.sports-reference.com/cbb/players/melannie-daley-1.html,northwestern,2023-24
24,61,24,2024-02-14,Northwestern,,Purdue,REG (Conf),L 48-74,,31,5,13,.385,0,0,,5,13,.385,.385,2,2,1.000,2,2,4,1,2,0,1,1,12,8.2,Melannie Daley,https://www.sports-reference.com/cbb/players/melannie-daley-1.html,northwestern,2023-24
25,62,25,2024-02-17,Northwestern,@,Minnesota,REG (Conf),L 63-88,*,34,6,12,.500,0,0,,6,12,.500,.500,4,6,.667,2,1,3,1,3,1,2,2,16,12.5,Melannie Daley,https://www.sports-reference.com/cbb/players/melannie-daley-1.html,northwestern,2023-24
26,63,26,2024-02-20,Northwestern,@,Nebraska,REG (Conf),L 50-75,*,30,3,13,.231,0,0,,3,13,.231,.231,0,0,,2,3,5,1,1,0,0,3,6,0.9,Melannie Daley,https://www.sports-reference.com/cbb/players/melannie-daley-1.html,northwestern,2023-24
27,64,27,2024-02-24,Northwestern,,Michigan,REG (Conf),L 60-74,,31,5,8,.625,0,0,,5,8,.625,.625,2,3,.667,1,0,1,3,3,0,0,2,12,13.0,Melannie Daley,https://www.sports-reference.com/cbb/players/melannie-daley-1.html,northwestern,2023-24
28,65,28,2024-02-27,Northwestern,,Indiana,REG (Conf),L 64-84,,35,12,18,.667,0,0,,12,18,.667,.667,0,0,,0,3,3,1,0,0,0,0,24,17.8,Melannie Daley,https://www.sports-reference.com/cbb/players/melannie-daley-1.html,northwestern,2023-24
29,66,29,2024-03-03,Northwestern,@,Rutgers,REG (Conf),W 72-61,*,35,9,18,.500,0,0,,9,18,.500,.500,2,3,.667,2,2,4,4,1,0,0,1,20,16.0,Melannie Daley,https://www.sports-reference.com/cbb/players/melannie-daley-1.html,northwestern,2023-24
30,67,30,2024-03-06,Northwestern,N,Purdue,REG (Non-Conf),L 72-78,*,38,10,17,.588,0,0,,10,17,.588,.588,1,1,1.000,2,3,5,4,1,1,2,3,21,16.7,Melannie Daley,https://www.sports-reference.com/cbb/players/melannie-daley-1.html,northwestern,2023-24
