ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,55,1,2023-11-06,Presbyterian,@,Kansas State,REG (Non-Conf),L 35-69,,4,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0.0,Paige Kindseth,https://www.sports-reference.com/cbb/players/paige-kindseth-1.html,presbyterian,2023-24
2,56,2,2023-11-08,Presbyterian,@,Wichita State,REG (Non-Conf),L 41-60,,6,0,3,.000,0,2,.000,0,1,.000,.000,0,0,,1,2,3,0,0,0,0,0,0,-0.8,Paige Kindseth,https://www.sports-reference.com/cbb/players/paige-kindseth-1.html,presbyterian,2023-24
3,57,3,2023-11-11,Presbyterian,,Johnson C. Smith,REG (Non-Conf),W 76-40,,12,2,4,.500,0,1,.000,2,3,.667,.500,0,2,.000,2,2,4,1,1,0,1,2,4,3.1,Paige Kindseth,https://www.sports-reference.com/cbb/players/paige-kindseth-1.html,presbyterian,2023-24
4,58,4,2023-11-15,Presbyterian,,Columbia Intl,REG (Non-Conf),W 95-43,,17,4,6,.667,2,2,1.000,2,4,.500,.833,0,0,,1,2,3,3,1,0,0,1,10,11.4,Paige Kindseth,https://www.sports-reference.com/cbb/players/paige-kindseth-1.html,presbyterian,2023-24
5,59,5,2023-11-19,Presbyterian,,East Tennessee State,REG (Non-Conf),L 56-72,,21,1,5,.200,0,0,,1,5,.200,.200,0,0,,1,2,3,1,1,0,0,0,2,1.9,Paige Kindseth,https://www.sports-reference.com/cbb/players/paige-kindseth-1.html,presbyterian,2023-24
6,60,6,2023-11-22,Presbyterian,@,UNC Wilmington,REG (Non-Conf),W 64-51,,23,2,3,.667,0,1,.000,2,2,1.000,.667,0,0,,2,4,6,2,3,0,1,1,4,8.3,Paige Kindseth,https://www.sports-reference.com/cbb/players/paige-kindseth-1.html,presbyterian,2023-24
7,61,7,2023-11-25,Presbyterian,,Morehead State,REG (Non-Conf),W 65-59,,17,0,2,.000,0,0,,0,2,.000,.000,0,2,.000,1,1,2,1,1,0,1,0,0,-0.5,Paige Kindseth,https://www.sports-reference.com/cbb/players/paige-kindseth-1.html,presbyterian,2023-24
8,62,8,2023-11-29,Presbyterian,,North Carolina Central,REG (Non-Conf),W 76-58,,24,1,3,.333,0,1,.000,1,2,.500,.333,0,2,.000,1,5,6,1,1,0,2,1,2,1.0,Paige Kindseth,https://www.sports-reference.com/cbb/players/paige-kindseth-1.html,presbyterian,2023-24
9,63,9,2023-12-02,Presbyterian,@,Western Carolina,REG (Non-Conf),W 60-41,,25,2,3,.667,0,0,,2,3,.667,.667,0,2,.000,3,4,7,2,3,0,4,1,4,5.2,Paige Kindseth,https://www.sports-reference.com/cbb/players/paige-kindseth-1.html,presbyterian,2023-24
10,64,10,2023-12-06,Presbyterian,@,Queens (NC),REG (Non-Conf),W 68-60,,24,2,6,.333,0,0,,2,6,.333,.333,1,2,.500,0,5,5,3,1,0,3,1,5,2.4,Paige Kindseth,https://www.sports-reference.com/cbb/players/paige-kindseth-1.html,presbyterian,2023-24
11,65,11,2023-12-15,Presbyterian,,South Carolina State,REG (Non-Conf),W 63-52,,23,1,3,.333,0,0,,1,3,.333,.333,2,3,.667,1,1,2,0,1,0,3,2,4,0.1,Paige Kindseth,https://www.sports-reference.com/cbb/players/paige-kindseth-1.html,presbyterian,2023-24
12,66,12,2023-12-16,Presbyterian,@,South Carolina,REG (Non-Conf),L 29-99,,18,0,3,.000,0,0,,0,3,.000,.000,1,2,.500,1,1,2,0,0,0,3,2,1,-4.3,Paige Kindseth,https://www.sports-reference.com/cbb/players/paige-kindseth-1.html,presbyterian,2023-24
13,67,13,2023-12-21,Presbyterian,N,Eastern Washington,REG (Non-Conf),L 51-92,,21,3,8,.375,0,1,.000,3,7,.429,.375,2,4,.500,0,5,5,1,0,0,0,0,8,5.0,Paige Kindseth,https://www.sports-reference.com/cbb/players/paige-kindseth-1.html,presbyterian,2023-24
14,68,14,2023-12-22,Presbyterian,N,Wright State,REG (Non-Conf),L 61-66,,12,0,2,.000,0,0,,0,2,.000,.000,0,0,,1,0,1,0,0,0,3,1,0,-4.1,Paige Kindseth,https://www.sports-reference.com/cbb/players/paige-kindseth-1.html,presbyterian,2023-24
15,69,15,2023-12-31,Presbyterian,,Columbia Intl,REG (Non-Conf),W 63-52,,19,1,6,.167,0,1,.000,1,5,.200,.167,0,0,,0,2,2,3,3,0,2,3,2,0.7,Paige Kindseth,https://www.sports-reference.com/cbb/players/paige-kindseth-1.html,presbyterian,2023-24
16,70,16,2024-01-03,Presbyterian,,Charleston Southern,REG (Conf),L 57-61,,20,0,3,.000,0,0,,0,3,.000,.000,0,0,,0,3,3,0,1,0,1,1,0,-1.6,Paige Kindseth,https://www.sports-reference.com/cbb/players/paige-kindseth-1.html,presbyterian,2023-24
17,71,17,2024-01-06,Presbyterian,@,UNC Asheville,REG (Conf),W 55-46,*,30,1,4,.250,0,1,.000,1,3,.333,.250,0,0,,1,7,8,0,3,0,2,0,2,3.4,Paige Kindseth,https://www.sports-reference.com/cbb/players/paige-kindseth-1.html,presbyterian,2023-24
18,72,18,2024-01-10,Presbyterian,@,Winthrop,REG (Conf),W 59-43,*,31,4,7,.571,2,2,1.000,2,5,.400,.714,0,0,,1,5,6,6,0,0,2,1,10,10.7,Paige Kindseth,https://www.sports-reference.com/cbb/players/paige-kindseth-1.html,presbyterian,2023-24
19,73,19,2024-01-13,Presbyterian,,Gardner-Webb,REG (Conf),L 58-72,*,26,1,4,.250,0,2,.000,1,2,.500,.250,1,2,.500,1,4,5,1,1,0,1,0,3,2.8,Paige Kindseth,https://www.sports-reference.com/cbb/players/paige-kindseth-1.html,presbyterian,2023-24
20,74,20,2024-01-17,Presbyterian,@,High Point,REG (Conf),L 55-76,,22,0,7,.000,0,1,.000,0,6,.000,.000,0,0,,1,0,1,0,1,0,1,2,0,-5.0,Paige Kindseth,https://www.sports-reference.com/cbb/players/paige-kindseth-1.html,presbyterian,2023-24
21,75,21,2024-01-20,Presbyterian,,Longwood,REG (Conf),W 69-66,,23,0,3,.000,0,2,.000,0,1,.000,.000,0,0,,0,3,3,1,2,0,1,3,0,-0.7,Paige Kindseth,https://www.sports-reference.com/cbb/players/paige-kindseth-1.html,presbyterian,2023-24
22,76,22,2024-01-27,Presbyterian,@,Radford,REG (Conf),L 40-65,,19,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,4,4,0,0,0,3,1,0,-2.9,Paige Kindseth,https://www.sports-reference.com/cbb/players/paige-kindseth-1.html,presbyterian,2023-24
