ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,28,1,2023-11-06,Queens (NC),@,Ole Miss,REG (Non-Conf),L 44-91,,12,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,1,1,1,0,0,0,4,0,-1.3,Hawa Balde-Camara,https://www.sports-reference.com/cbb/players/hawa-balde-camara-1.html,queens-nc,2023-24
2,29,2,2023-11-09,Queens (NC),@,Louisiana State,REG (Non-Conf),L 55-112,*,15,1,1,1.000,0,0,,1,1,1.000,1.000,0,0,,0,1,1,0,0,0,1,5,2,-1.0,Hawa Balde-Camara,https://www.sports-reference.com/cbb/players/hawa-balde-camara-1.html,queens-nc,2023-24
3,30,3,2023-11-14,Queens (NC),,Johnson/Wales-NC,REG (Non-Conf),W 101-51,*,9,0,3,.000,0,0,,0,3,.000,.000,0,0,,1,2,3,0,0,1,1,0,0,-1.1,Hawa Balde-Camara,https://www.sports-reference.com/cbb/players/hawa-balde-camara-1.html,queens-nc,2023-24
4,31,4,2023-11-17,Queens (NC),,USC Upstate,REG (Non-Conf),W 61-51,*,13,1,1,1.000,0,0,,1,1,1.000,1.000,0,0,,0,2,2,1,2,0,2,5,2,1.0,Hawa Balde-Camara,https://www.sports-reference.com/cbb/players/hawa-balde-camara-1.html,queens-nc,2023-24
5,32,5,2023-11-21,Queens (NC),@,UNC Asheville,REG (Non-Conf),L 53-67,*,10,0,2,.000,0,1,.000,0,1,.000,.000,0,0,,1,2,3,0,0,1,2,3,0,-2.6,Hawa Balde-Camara,https://www.sports-reference.com/cbb/players/hawa-balde-camara-1.html,queens-nc,2023-24
6,33,6,2023-11-26,Queens (NC),,Wesleyan (GA),REG (Non-Conf),W 96-36,*,22,3,6,.500,0,0,,3,6,.500,.500,0,0,,3,3,6,1,2,2,1,1,6,8.7,Hawa Balde-Camara,https://www.sports-reference.com/cbb/players/hawa-balde-camara-1.html,queens-nc,2023-24
7,34,7,2023-11-29,Queens (NC),@,South Carolina State,REG (Non-Conf),L 58-76,*,7,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,1,1,0,0,0.0,Hawa Balde-Camara,https://www.sports-reference.com/cbb/players/hawa-balde-camara-1.html,queens-nc,2023-24
8,35,8,2023-12-03,Queens (NC),@,Winthrop,REG (Non-Conf),W 64-61,,11,0,0,,0,0,,0,0,,,0,0,,0,2,2,0,0,2,2,1,0,-0.4,Hawa Balde-Camara,https://www.sports-reference.com/cbb/players/hawa-balde-camara-1.html,queens-nc,2023-24
9,36,9,2023-12-06,Queens (NC),,Presbyterian,REG (Non-Conf),L 60-68,,18,0,1,.000,0,0,,0,1,.000,.000,0,0,,2,4,6,0,1,2,1,4,0,1.7,Hawa Balde-Camara,https://www.sports-reference.com/cbb/players/hawa-balde-camara-1.html,queens-nc,2023-24
10,37,10,2023-12-10,Queens (NC),,Columbia Intl,REG (Non-Conf),W 83-62,*,9,0,1,.000,0,0,,0,1,.000,.000,0,2,.000,1,3,4,0,0,0,0,1,0,-0.3,Hawa Balde-Camara,https://www.sports-reference.com/cbb/players/hawa-balde-camara-1.html,queens-nc,2023-24
11,38,11,2023-12-17,Queens (NC),@,Radford,REG (Non-Conf),L 46-62,,10,0,1,.000,0,0,,0,1,.000,.000,0,2,.000,1,6,7,0,0,2,1,1,0,1.0,Hawa Balde-Camara,https://www.sports-reference.com/cbb/players/hawa-balde-camara-1.html,queens-nc,2023-24
12,39,12,2023-12-20,Queens (NC),,Western Carolina,REG (Non-Conf),L 63-69,,20,1,1,1.000,0,0,,1,1,1.000,1.000,0,1,.000,3,2,5,1,0,3,2,3,2,3.6,Hawa Balde-Camara,https://www.sports-reference.com/cbb/players/hawa-balde-camara-1.html,queens-nc,2023-24
13,40,13,2023-12-30,Queens (NC),,Gardner-Webb,REG (Non-Conf),W 66-48,,9,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,0,0,1,0,0,1,3,0,-2.2,Hawa Balde-Camara,https://www.sports-reference.com/cbb/players/hawa-balde-camara-1.html,queens-nc,2023-24
14,41,14,2024-01-06,Queens (NC),@,Kennesaw State,REG (Conf),L 42-61,,12,0,0,,0,0,,0,0,,,0,0,,2,0,2,1,0,0,0,0,0,2.1,Hawa Balde-Camara,https://www.sports-reference.com/cbb/players/hawa-balde-camara-1.html,queens-nc,2023-24
15,42,15,2024-01-11,Queens (NC),,Jacksonville,REG (Conf),L 52-54,,10,0,0,,0,0,,0,0,,,0,0,,1,2,3,0,0,0,0,2,0,0.5,Hawa Balde-Camara,https://www.sports-reference.com/cbb/players/hawa-balde-camara-1.html,queens-nc,2023-24
16,43,16,2024-01-13,Queens (NC),,North Florida,REG (Conf),L 57-76,,4,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,1,0,0,-0.7,Hawa Balde-Camara,https://www.sports-reference.com/cbb/players/hawa-balde-camara-1.html,queens-nc,2023-24
17,44,17,2024-01-18,Queens (NC),@,Florida Gulf Coast,REG (Conf),L 57-82,,3,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,1,1,0,-1.4,Hawa Balde-Camara,https://www.sports-reference.com/cbb/players/hawa-balde-camara-1.html,queens-nc,2023-24
18,45,18,2024-01-20,Queens (NC),@,Stetson,REG (Conf),L 71-73 (OT),,5,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,1,2,0,-1.8,Hawa Balde-Camara,https://www.sports-reference.com/cbb/players/hawa-balde-camara-1.html,queens-nc,2023-24
19,46,19,2024-01-24,Queens (NC),@,Central Arkansas,REG (Conf),L 57-76,,4,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,1,2,0,-1.8,Hawa Balde-Camara,https://www.sports-reference.com/cbb/players/hawa-balde-camara-1.html,queens-nc,2023-24
20,47,22,2024-02-03,Queens (NC),,Austin Peay,REG (Conf),L 38-63,,8,1,1,1.000,0,0,,1,1,1.000,1.000,0,0,,0,1,1,0,0,0,0,4,2,0.4,Hawa Balde-Camara,https://www.sports-reference.com/cbb/players/hawa-balde-camara-1.html,queens-nc,2023-24
21,48,23,2024-02-08,Queens (NC),@,Eastern Kentucky,REG (Conf),L 67-88,,12,0,0,,0,0,,0,0,,,1,2,.500,1,2,3,0,0,0,1,2,1,0.1,Hawa Balde-Camara,https://www.sports-reference.com/cbb/players/hawa-balde-camara-1.html,queens-nc,2023-24
22,49,24,2024-02-10,Queens (NC),@,Bellarmine,REG (Conf),L 76-85,,7,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,1,0,2,0,-0.1,Hawa Balde-Camara,https://www.sports-reference.com/cbb/players/hawa-balde-camara-1.html,queens-nc,2023-24
23,50,25,2024-02-15,Queens (NC),,Stetson,REG (Conf),L 44-62,,3,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,Hawa Balde-Camara,https://www.sports-reference.com/cbb/players/hawa-balde-camara-1.html,queens-nc,2023-24
24,51,26,2024-02-17,Queens (NC),,Florida Gulf Coast,REG (Conf),L 60-86,,9,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,1,1,0,1,1,0,3,0,0.1,Hawa Balde-Camara,https://www.sports-reference.com/cbb/players/hawa-balde-camara-1.html,queens-nc,2023-24
25,52,27,2024-02-22,Queens (NC),@,North Florida,REG (Conf),W 77-72,,11,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,1,3,0,-2.2,Hawa Balde-Camara,https://www.sports-reference.com/cbb/players/hawa-balde-camara-1.html,queens-nc,2023-24
26,53,28,2024-02-24,Queens (NC),@,Jacksonville,REG (Conf),L 66-79,,10,0,0,,0,0,,0,0,,,0,0,,1,3,4,0,0,1,0,2,0,1.5,Hawa Balde-Camara,https://www.sports-reference.com/cbb/players/hawa-balde-camara-1.html,queens-nc,2023-24
27,54,29,2024-03-02,Queens (NC),,Kennesaw State,REG (Conf),L 50-81,,11,0,0,,0,0,,0,0,,,2,2,1.000,1,0,1,0,0,0,1,3,2,0.5,Hawa Balde-Camara,https://www.sports-reference.com/cbb/players/hawa-balde-camara-1.html,queens-nc,2023-24
