ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,1,1,2023-11-06,Queens (NC),@,Ole Miss,REG (Non-Conf),L 44-91,,4,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,Tiziana Huici,https://www.sports-reference.com/cbb/players/tiziana-huici-1.html,queens-nc,2023-24
2,2,2,2023-11-09,Queens (NC),@,Louisiana State,REG (Non-Conf),L 55-112,,10,1,3,.333,0,0,,1,3,.333,.333,0,0,,0,1,1,0,0,0,0,1,2,0.2,Tiziana Huici,https://www.sports-reference.com/cbb/players/tiziana-huici-1.html,queens-nc,2023-24
3,3,3,2023-11-14,Queens (NC),,Johnson/Wales-NC,REG (Non-Conf),W 101-51,,24,4,8,.500,0,2,.000,4,6,.667,.500,0,0,,1,3,4,2,5,0,3,3,8,7.8,Tiziana Huici,https://www.sports-reference.com/cbb/players/tiziana-huici-1.html,queens-nc,2023-24
4,4,4,2023-11-17,Queens (NC),,USC Upstate,REG (Non-Conf),W 61-51,,5,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,Tiziana Huici,https://www.sports-reference.com/cbb/players/tiziana-huici-1.html,queens-nc,2023-24
5,5,5,2023-11-21,Queens (NC),@,UNC Asheville,REG (Non-Conf),L 53-67,,20,6,7,.857,2,2,1.000,4,5,.800,1.000,0,3,.000,0,1,1,0,1,0,0,4,14,10.0,Tiziana Huici,https://www.sports-reference.com/cbb/players/tiziana-huici-1.html,queens-nc,2023-24
6,6,6,2023-11-26,Queens (NC),,Wesleyan (GA),REG (Non-Conf),W 96-36,,14,1,4,.250,0,0,,1,4,.250,.250,0,0,,0,0,0,2,1,0,0,3,2,0.8,Tiziana Huici,https://www.sports-reference.com/cbb/players/tiziana-huici-1.html,queens-nc,2023-24
7,7,7,2023-11-29,Queens (NC),@,South Carolina State,REG (Non-Conf),L 58-76,,27,2,7,.286,0,0,,2,7,.286,.286,0,0,,1,2,3,3,0,0,0,3,4,2.1,Tiziana Huici,https://www.sports-reference.com/cbb/players/tiziana-huici-1.html,queens-nc,2023-24
8,8,8,2023-12-03,Queens (NC),@,Winthrop,REG (Non-Conf),W 64-61,,29,7,8,.875,3,4,.750,4,4,1.000,1.063,2,2,1.000,2,2,4,2,4,0,2,1,19,21.2,Tiziana Huici,https://www.sports-reference.com/cbb/players/tiziana-huici-1.html,queens-nc,2023-24
9,9,9,2023-12-06,Queens (NC),,Presbyterian,REG (Non-Conf),L 60-68,,27,4,9,.444,0,2,.000,4,7,.571,.444,2,2,1.000,2,4,6,1,3,0,5,3,10,5.4,Tiziana Huici,https://www.sports-reference.com/cbb/players/tiziana-huici-1.html,queens-nc,2023-24
10,10,13,2023-12-30,Queens (NC),,Gardner-Webb,REG (Non-Conf),W 66-48,,13,3,5,.600,0,0,,3,5,.600,.600,0,0,,1,1,2,1,0,0,0,0,6,5.4,Tiziana Huici,https://www.sports-reference.com/cbb/players/tiziana-huici-1.html,queens-nc,2023-24
11,11,14,2024-01-06,Queens (NC),@,Kennesaw State,REG (Conf),L 42-61,,19,0,5,.000,0,1,.000,0,4,.000,.000,2,2,1.000,0,2,2,0,0,0,0,3,2,-2.1,Tiziana Huici,https://www.sports-reference.com/cbb/players/tiziana-huici-1.html,queens-nc,2023-24
12,12,15,2024-01-11,Queens (NC),,Jacksonville,REG (Conf),L 52-54,,6,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,1,2,0,-1.8,Tiziana Huici,https://www.sports-reference.com/cbb/players/tiziana-huici-1.html,queens-nc,2023-24
13,13,16,2024-01-13,Queens (NC),,North Florida,REG (Conf),L 57-76,,21,3,4,.750,1,2,.500,2,2,1.000,.875,0,0,,1,1,2,0,1,0,1,0,7,6.4,Tiziana Huici,https://www.sports-reference.com/cbb/players/tiziana-huici-1.html,queens-nc,2023-24
14,14,17,2024-01-18,Queens (NC),@,Florida Gulf Coast,REG (Conf),L 57-82,,19,6,8,.750,0,0,,6,8,.750,.750,5,7,.714,1,2,3,0,0,0,3,2,17,10.5,Tiziana Huici,https://www.sports-reference.com/cbb/players/tiziana-huici-1.html,queens-nc,2023-24
15,15,18,2024-01-20,Queens (NC),@,Stetson,REG (Conf),L 71-73 (OT),,14,2,3,.667,1,1,1.000,1,2,.500,.833,0,0,,0,0,0,1,0,1,0,1,5,4.7,Tiziana Huici,https://www.sports-reference.com/cbb/players/tiziana-huici-1.html,queens-nc,2023-24
