ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,1,1,2023-11-07,Rhode Island,,Sacred Heart,REG (Non-Conf),W 91-40,,4,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,Katie Ledden,https://www.sports-reference.com/cbb/players/katie-ledden-1.html,rhode-island,2023-24
2,2,2,2023-11-10,Rhode Island,,UMass Lowell,REG (Non-Conf),W 78-38,,5,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,0,0,0,0,1,0,1,0,-0.4,Katie Ledden,https://www.sports-reference.com/cbb/players/katie-ledden-1.html,rhode-island,2023-24
3,3,6,2023-11-24,Rhode Island,N,Youngstown State,REG (Non-Conf),W 63-50,,2,0,2,.000,0,1,.000,0,1,.000,.000,0,0,,1,0,1,0,0,0,1,1,0,-2.1,Katie Ledden,https://www.sports-reference.com/cbb/players/katie-ledden-1.html,rhode-island,2023-24
4,4,12,2023-12-21,Rhode Island,,Le Moyne,REG (Non-Conf),W 97-53,,6,2,3,.667,1,2,.500,1,1,1.000,.833,0,0,,0,1,1,0,0,0,0,0,5,4.0,Katie Ledden,https://www.sports-reference.com/cbb/players/katie-ledden-1.html,rhode-island,2023-24
5,5,16,2024-01-06,Rhode Island,,St. Bonaventure,REG (Conf),W 65-41,,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0.0,Katie Ledden,https://www.sports-reference.com/cbb/players/katie-ledden-1.html,rhode-island,2023-24
6,6,17,2024-01-10,Rhode Island,@,Loyola Chicago,REG (Conf),L 56-61,,3,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,Katie Ledden,https://www.sports-reference.com/cbb/players/katie-ledden-1.html,rhode-island,2023-24
7,7,18,2024-01-14,Rhode Island,@,Richmond,REG (Conf),L 67-71,,2,0,0,,0,0,,0,0,,,0,0,,1,1,2,0,0,0,0,0,0,1.0,Katie Ledden,https://www.sports-reference.com/cbb/players/katie-ledden-1.html,rhode-island,2023-24
8,8,21,2024-01-24,Rhode Island,@,La Salle,REG (Conf),W 75-47,,6,1,2,.500,1,2,.500,0,0,,.750,0,0,,0,0,0,0,0,0,0,0,3,2.0,Katie Ledden,https://www.sports-reference.com/cbb/players/katie-ledden-1.html,rhode-island,2023-24
9,9,24,2024-02-03,Rhode Island,@,Duquesne,REG (Conf),L 61-70,,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0.0,Katie Ledden,https://www.sports-reference.com/cbb/players/katie-ledden-1.html,rhode-island,2023-24
10,10,25,2024-02-07,Rhode Island,,Richmond,REG (Conf),L 49-68,,5,0,4,.000,0,3,.000,0,1,.000,.000,0,0,,0,0,0,0,0,0,0,0,0,-2.8,Katie Ledden,https://www.sports-reference.com/cbb/players/katie-ledden-1.html,rhode-island,2023-24
11,11,27,2024-02-14,Rhode Island,@,Massachusetts,REG (Conf),W 86-64,,5,0,1,.000,0,0,,0,1,.000,.000,2,2,1.000,1,0,1,1,0,0,1,1,2,1.3,Katie Ledden,https://www.sports-reference.com/cbb/players/katie-ledden-1.html,rhode-island,2023-24
12,12,30,2024-02-28,Rhode Island,,VCU,REG (Conf),L 59-69,,1,1,1,1.000,0,0,,1,1,1.000,1.000,0,0,,0,0,0,0,0,0,0,0,2,1.7,Katie Ledden,https://www.sports-reference.com/cbb/players/katie-ledden-1.html,rhode-island,2023-24
13,13,31,2024-03-02,Rhode Island,@,Dayton,REG (Conf),W 77-42,,6,1,2,.500,1,2,.500,0,0,,.750,0,0,,0,0,0,0,0,0,2,0,3,0.0,Katie Ledden,https://www.sports-reference.com/cbb/players/katie-ledden-1.html,rhode-island,2023-24
14,14,35,2024-03-10,Rhode Island,N,Richmond,CTOURN,L 51-65,,1,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,Katie Ledden,https://www.sports-reference.com/cbb/players/katie-ledden-1.html,rhode-island,2023-24
