ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,1,1,2023-11-07,Rhode Island,,Sacred Heart,REG (Non-Conf),W 91-40,,14,0,2,.000,0,1,.000,0,1,.000,.000,0,0,,0,1,1,2,0,0,1,4,0,-2.3,Sophia Vital,https://www.sports-reference.com/cbb/players/sophia-vital-1.html,rhode-island,2023-24
2,2,2,2023-11-10,Rhode Island,,UMass Lowell,REG (Non-Conf),W 78-38,,16,1,3,.333,0,0,,1,3,.333,.333,0,2,.000,0,2,2,1,0,0,0,0,2,0.8,Sophia Vital,https://www.sports-reference.com/cbb/players/sophia-vital-1.html,rhode-island,2023-24
3,3,4,2023-11-17,Rhode Island,@,Brown,REG (Non-Conf),W 67-56,,23,2,5,.400,1,2,.500,1,3,.333,.500,4,5,.800,1,3,4,1,3,0,2,3,9,8.0,Sophia Vital,https://www.sports-reference.com/cbb/players/sophia-vital-1.html,rhode-island,2023-24
4,4,5,2023-11-19,Rhode Island,@,NC State,REG (Non-Conf),L 58-67,,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,2,0,-0.8,Sophia Vital,https://www.sports-reference.com/cbb/players/sophia-vital-1.html,rhode-island,2023-24
5,5,6,2023-11-24,Rhode Island,N,Youngstown State,REG (Non-Conf),W 63-50,,14,0,2,.000,0,0,,0,2,.000,.000,0,0,,0,1,1,1,0,0,2,4,0,-4.0,Sophia Vital,https://www.sports-reference.com/cbb/players/sophia-vital-1.html,rhode-island,2023-24
6,6,7,2023-11-25,Rhode Island,N,Portland,REG (Non-Conf),W 64-58,,4,0,0,,0,0,,0,0,,,0,0,,0,1,1,1,0,0,1,1,0,-0.4,Sophia Vital,https://www.sports-reference.com/cbb/players/sophia-vital-1.html,rhode-island,2023-24
7,7,8,2023-11-30,Rhode Island,,Quinnipiac,REG (Non-Conf),L 59-61,,5,0,0,,0,0,,0,0,,,0,0,,0,0,0,1,0,0,0,1,0,0.3,Sophia Vital,https://www.sports-reference.com/cbb/players/sophia-vital-1.html,rhode-island,2023-24
8,8,9,2023-12-03,Rhode Island,,Princeton,REG (Non-Conf),W 60-58,,12,0,6,.000,0,3,.000,0,3,.000,.000,2,2,1.000,0,2,2,0,0,0,0,0,2,-1.6,Sophia Vital,https://www.sports-reference.com/cbb/players/sophia-vital-1.html,rhode-island,2023-24
9,9,10,2023-12-06,Rhode Island,@,Providence,REG (Non-Conf),L 50-51,,5,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,0,0,0,0,0,1,1,0,-2.1,Sophia Vital,https://www.sports-reference.com/cbb/players/sophia-vital-1.html,rhode-island,2023-24
10,10,11,2023-12-10,Rhode Island,@,St. John's (NY),REG (Non-Conf),L 44-55,,18,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,0,0,4,2,0,1,1,0,2.7,Sophia Vital,https://www.sports-reference.com/cbb/players/sophia-vital-1.html,rhode-island,2023-24
11,11,12,2023-12-21,Rhode Island,,Le Moyne,REG (Non-Conf),W 97-53,,13,1,1,1.000,1,1,1.000,0,0,,1.500,0,0,,0,1,1,5,1,0,1,2,3,5.7,Sophia Vital,https://www.sports-reference.com/cbb/players/sophia-vital-1.html,rhode-island,2023-24
12,12,13,2023-12-28,Rhode Island,,Harvard,REG (Non-Conf),W 59-56,,5,0,0,,0,0,,0,0,,,0,0,,0,0,0,1,1,0,1,0,0,0.7,Sophia Vital,https://www.sports-reference.com/cbb/players/sophia-vital-1.html,rhode-island,2023-24
13,13,14,2023-12-30,Rhode Island,@,Saint Louis,REG (Conf),W 63-58,,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,2,2,0,-2.8,Sophia Vital,https://www.sports-reference.com/cbb/players/sophia-vital-1.html,rhode-island,2023-24
14,14,16,2024-01-06,Rhode Island,,St. Bonaventure,REG (Conf),W 65-41,,2,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,1,1,1,0,0,0,0,0,0.3,Sophia Vital,https://www.sports-reference.com/cbb/players/sophia-vital-1.html,rhode-island,2023-24
15,15,17,2024-01-10,Rhode Island,@,Loyola Chicago,REG (Conf),L 56-61,,3,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,Sophia Vital,https://www.sports-reference.com/cbb/players/sophia-vital-1.html,rhode-island,2023-24
16,16,18,2024-01-14,Rhode Island,@,Richmond,REG (Conf),L 67-71,,3,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,0,0,0,0,0,0,1,0,-1.1,Sophia Vital,https://www.sports-reference.com/cbb/players/sophia-vital-1.html,rhode-island,2023-24
17,17,21,2024-01-24,Rhode Island,@,La Salle,REG (Conf),W 75-47,,15,0,1,.000,0,1,.000,0,0,,.000,2,4,.500,0,1,1,1,1,0,2,1,2,0.1,Sophia Vital,https://www.sports-reference.com/cbb/players/sophia-vital-1.html,rhode-island,2023-24
18,18,22,2024-01-27,Rhode Island,,Massachusetts,REG (Conf),W 63-48,,11,1,2,.500,0,0,,1,2,.500,.500,0,0,,0,1,1,3,3,0,1,0,2,5.4,Sophia Vital,https://www.sports-reference.com/cbb/players/sophia-vital-1.html,rhode-island,2023-24
19,19,23,2024-01-31,Rhode Island,@,George Washington,REG (Conf),W 66-52,,4,0,0,,0,0,,0,0,,,0,0,,0,0,0,1,0,0,2,0,0,-1.3,Sophia Vital,https://www.sports-reference.com/cbb/players/sophia-vital-1.html,rhode-island,2023-24
20,20,24,2024-02-03,Rhode Island,@,Duquesne,REG (Conf),L 61-70,,15,2,3,.667,0,0,,2,3,.667,.667,2,2,1.000,0,2,2,1,1,0,1,5,6,4.0,Sophia Vital,https://www.sports-reference.com/cbb/players/sophia-vital-1.html,rhode-island,2023-24
21,21,25,2024-02-07,Rhode Island,,Richmond,REG (Conf),L 49-68,,21,3,9,.333,1,3,.333,2,6,.333,.389,0,0,,0,1,1,2,0,0,2,1,7,1.2,Sophia Vital,https://www.sports-reference.com/cbb/players/sophia-vital-1.html,rhode-island,2023-24
