ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,90,1,2023-11-06,San Jose State,,Santa Clara,REG (Non-Conf),L 47-55,,10,0,2,.000,0,0,0,2,.000,.000,0,0,,1,1,2,1,0,0,2,0,0,-1.7,Semaj Smith,https://www.sports-reference.com/cbb/players/semaj-smith-1.html,san-jose-state,2023-24
2,91,2,2023-11-09,San Jose State,,Bellarmine,REG (Non-Conf),W 81-65,,8,2,5,.400,0,0,2,5,.400,.400,2,2,1.000,0,1,1,0,0,1,2,2,6,1.5,Semaj Smith,https://www.sports-reference.com/cbb/players/semaj-smith-1.html,san-jose-state,2023-24
3,92,3,2023-11-11,San Jose State,,Cal Poly,REG (Non-Conf),W 61-56,,4,0,1,.000,0,0,0,1,.000,.000,4,4,1.000,1,0,1,0,0,1,2,1,4,2.3,Semaj Smith,https://www.sports-reference.com/cbb/players/semaj-smith-1.html,san-jose-state,2023-24
4,93,4,2023-11-14,San Jose State,@,Montana State,REG (Non-Conf),L 49-62,,3,0,0,,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0.0,Semaj Smith,https://www.sports-reference.com/cbb/players/semaj-smith-1.html,san-jose-state,2023-24
5,94,5,2023-11-19,San Jose State,@,Loyola Marymount,REG (Non-Conf),W 61-53,,15,3,3,1.000,0,0,3,3,1.000,1.000,1,2,.500,0,1,1,1,0,0,1,2,7,4.9,Semaj Smith,https://www.sports-reference.com/cbb/players/semaj-smith-1.html,san-jose-state,2023-24
6,95,6,2023-11-24,San Jose State,@,California,REG (Non-Conf),L 51-74,,14,1,1,1.000,0,0,1,1,1.000,1.000,2,2,1.000,0,1,1,0,2,0,2,2,4,3.2,Semaj Smith,https://www.sports-reference.com/cbb/players/semaj-smith-1.html,san-jose-state,2023-24
7,96,7,2023-11-25,San Jose State,N,Winthrop,REG (Non-Conf),L 49-56,,15,2,5,.400,0,0,2,5,.400,.400,0,0,,0,1,1,1,0,0,1,0,4,1.3,Semaj Smith,https://www.sports-reference.com/cbb/players/semaj-smith-1.html,san-jose-state,2023-24
8,97,8,2023-11-27,San Jose State,,Bethesda CA,REG (Non-Conf),W 122-28,,18,6,9,.667,0,0,6,9,.667,.667,0,0,,3,6,9,2,1,0,0,0,12,14.4,Semaj Smith,https://www.sports-reference.com/cbb/players/semaj-smith-1.html,san-jose-state,2023-24
9,98,9,2023-11-29,San Jose State,@,Cal State Fullerton,REG (Non-Conf),L 64-71,,21,8,12,.667,0,0,8,12,.667,.667,0,0,,1,1,2,0,0,0,1,0,16,10.8,Semaj Smith,https://www.sports-reference.com/cbb/players/semaj-smith-1.html,san-jose-state,2023-24
10,99,10,2023-12-03,San Jose State,@,Hawaii,REG (Non-Conf),L 47-73,,16,6,8,.750,0,0,6,8,.750,.750,1,1,1.000,0,3,3,0,0,1,0,1,13,11.0,Semaj Smith,https://www.sports-reference.com/cbb/players/semaj-smith-1.html,san-jose-state,2023-24
