ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,26,1,2023-11-06,South Alabama,,Mobile,REG (Non-Conf),W 74-61,*,25,2,3,.667,0,1,.000,2,2,1.000,.667,2,2,1.000,0,3,3,4,2,0,2,0,6,8.4,Rachel Leggett,https://www.sports-reference.com/cbb/players/rachel-leggett-1.html,south-alabama,2023-24
2,27,2,2023-11-09,South Alabama,,Central Michigan,REG (Non-Conf),W 77-55,*,22,5,7,.714,1,1,1.000,4,6,.667,.786,1,1,1.000,1,4,5,2,2,0,1,1,12,13.0,Rachel Leggett,https://www.sports-reference.com/cbb/players/rachel-leggett-1.html,south-alabama,2023-24
3,28,3,2023-11-14,South Alabama,,Tougaloo,REG (Non-Conf),W 93-57,*,24,7,9,.778,3,4,.750,4,5,.800,.944,0,0,,1,4,5,4,3,0,1,0,17,20.2,Rachel Leggett,https://www.sports-reference.com/cbb/players/rachel-leggett-1.html,south-alabama,2023-24
4,29,4,2023-11-19,South Alabama,@,Florida State,REG (Non-Conf),L 45-80,*,29,1,5,.200,0,2,.000,1,3,.333,.200,3,4,.750,2,1,3,0,0,0,0,0,5,3.2,Rachel Leggett,https://www.sports-reference.com/cbb/players/rachel-leggett-1.html,south-alabama,2023-24
5,30,5,2023-11-24,South Alabama,N,Nevada,REG (Non-Conf),L 62-73,*,34,2,9,.222,1,1,1.000,1,8,.125,.278,4,6,.667,6,2,8,3,1,1,3,5,9,6.3,Rachel Leggett,https://www.sports-reference.com/cbb/players/rachel-leggett-1.html,south-alabama,2023-24
6,31,6,2023-11-25,South Alabama,@,Denver,REG (Non-Conf),W 62-53,*,27,0,5,.000,0,2,.000,0,3,.000,.000,6,6,1.000,2,5,7,0,1,0,2,4,6,2.8,Rachel Leggett,https://www.sports-reference.com/cbb/players/rachel-leggett-1.html,south-alabama,2023-24
7,32,7,2023-11-29,South Alabama,,New Orleans,REG (Non-Conf),W 80-63,*,27,5,7,.714,2,3,.667,3,4,.750,.857,1,2,.500,2,2,4,2,1,1,3,2,13,11.0,Rachel Leggett,https://www.sports-reference.com/cbb/players/rachel-leggett-1.html,south-alabama,2023-24
8,33,10,2023-12-15,South Alabama,@,Southeastern Louisiana,REG (Non-Conf),W 67-60,,21,3,6,.500,0,2,.000,3,4,.750,.500,0,2,.000,3,1,4,3,0,0,3,2,6,2.9,Rachel Leggett,https://www.sports-reference.com/cbb/players/rachel-leggett-1.html,south-alabama,2023-24
9,34,11,2023-12-18,South Alabama,,Ole Miss,REG (Non-Conf),L 41-64,,31,4,7,.571,2,2,1.000,2,5,.400,.714,2,3,.667,3,1,4,1,1,0,3,0,12,9.4,Rachel Leggett,https://www.sports-reference.com/cbb/players/rachel-leggett-1.html,south-alabama,2023-24
10,35,12,2023-12-21,South Alabama,,Louisiana Tech,REG (Non-Conf),L 34-68,*,30,1,4,.250,0,0,,1,4,.250,.250,1,2,.500,3,5,8,0,3,1,3,0,3,4.5,Rachel Leggett,https://www.sports-reference.com/cbb/players/rachel-leggett-1.html,south-alabama,2023-24
11,36,13,2023-12-30,South Alabama,,Old Dominion,REG (Conf),L 56-62,*,28,3,8,.375,0,3,.000,3,5,.600,.375,7,8,.875,0,4,4,0,2,1,2,2,13,9.3,Rachel Leggett,https://www.sports-reference.com/cbb/players/rachel-leggett-1.html,south-alabama,2023-24
12,37,14,2024-01-04,South Alabama,@,Marshall,REG (Conf),L 64-90,*,16,2,3,.667,0,0,,2,3,.667,.667,0,0,,0,3,3,0,0,0,4,5,4,-2.4,Rachel Leggett,https://www.sports-reference.com/cbb/players/rachel-leggett-1.html,south-alabama,2023-24
13,38,15,2024-01-06,South Alabama,@,Appalachian State,REG (Conf),L 49-96,*,30,3,8,.375,0,2,.000,3,6,.500,.375,3,3,1.000,2,4,6,0,1,0,4,1,9,3.8,Rachel Leggett,https://www.sports-reference.com/cbb/players/rachel-leggett-1.html,south-alabama,2023-24
14,39,16,2024-01-11,South Alabama,@,Louisiana–Monroe,REG (Conf),L 51-67,*,24,0,1,.000,0,0,,0,1,.000,.000,3,6,.500,0,5,5,0,0,2,2,5,3,0.0,Rachel Leggett,https://www.sports-reference.com/cbb/players/rachel-leggett-1.html,south-alabama,2023-24
15,40,17,2024-01-13,South Alabama,@,Southern Mississippi,REG (Conf),L 69-77,*,36,4,6,.667,2,2,1.000,2,4,.500,.833,0,0,,2,2,4,2,0,0,1,4,10,8.2,Rachel Leggett,https://www.sports-reference.com/cbb/players/rachel-leggett-1.html,south-alabama,2023-24
