ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,35,9,2023-12-17,Southern,@,Nebraska,REG (Non-Conf),L 51-76,,13,2,5,.400,0,0,,2,5,.400,.400,1,2,.500,1,2,3,0,1,0,1,3,5,2.0,Aniya Gourdine,https://www.sports-reference.com/cbb/players/aniya-gourdine-1.html,southern,2023-24
2,36,10,2023-12-20,Southern,@,Kansas State,REG (Non-Conf),L 52-84,,15,4,8,.500,2,2,1.000,2,6,.333,.625,2,2,1.000,1,0,1,0,1,0,1,3,12,7.5,Aniya Gourdine,https://www.sports-reference.com/cbb/players/aniya-gourdine-1.html,southern,2023-24
3,37,11,2023-12-22,Southern,@,Oklahoma,REG (Non-Conf),W 79-70,,19,1,6,.167,1,3,.333,0,3,.000,.250,2,4,.500,1,1,2,0,3,0,0,3,5,3.2,Aniya Gourdine,https://www.sports-reference.com/cbb/players/aniya-gourdine-1.html,southern,2023-24
4,38,12,2024-01-06,Southern,,Texas Southern,REG (Conf),W 64-45,,17,2,8,.250,0,2,.000,2,6,.333,.250,1,2,.500,3,3,6,4,3,0,2,2,5,5.8,Aniya Gourdine,https://www.sports-reference.com/cbb/players/aniya-gourdine-1.html,southern,2023-24
5,39,13,2024-01-08,Southern,,Prairie View A&M,REG (Conf),W 84-56,,13,4,8,.500,1,2,.500,3,6,.500,.563,0,0,,2,4,6,3,1,0,2,3,9,7.5,Aniya Gourdine,https://www.sports-reference.com/cbb/players/aniya-gourdine-1.html,southern,2023-24
6,40,14,2024-01-13,Southern,@,Florida A&M,REG (Conf),L 53-59,,17,3,6,.500,2,2,1.000,1,4,.250,.667,0,0,,0,2,2,0,1,0,5,3,8,0.4,Aniya Gourdine,https://www.sports-reference.com/cbb/players/aniya-gourdine-1.html,southern,2023-24
7,41,15,2024-01-15,Southern,@,Bethune-Cookman,REG (Conf),W 71-66,,14,2,7,.286,1,2,.500,1,5,.200,.357,0,0,,0,1,1,1,3,0,0,2,5,4.1,Aniya Gourdine,https://www.sports-reference.com/cbb/players/aniya-gourdine-1.html,southern,2023-24
8,42,16,2024-01-20,Southern,@,Grambling State,REG (Conf),L 45-69,,4,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,1,1,0,0,0,3,4,0,-5.0,Aniya Gourdine,https://www.sports-reference.com/cbb/players/aniya-gourdine-1.html,southern,2023-24
9,43,17,2024-01-27,Southern,,Arkansas–Pine Bluff,REG (Conf),L 59-74,,23,0,2,.000,0,0,,0,2,.000,.000,3,4,.750,0,3,3,0,2,0,3,3,3,-0.1,Aniya Gourdine,https://www.sports-reference.com/cbb/players/aniya-gourdine-1.html,southern,2023-24
10,44,18,2024-01-29,Southern,,Mississippi Valley State,REG (Conf),W 64-45,,18,3,4,.750,0,1,.000,3,3,1.000,.750,5,6,.833,0,5,5,2,1,0,5,2,11,7.1,Aniya Gourdine,https://www.sports-reference.com/cbb/players/aniya-gourdine-1.html,southern,2023-24
11,45,19,2024-02-03,Southern,@,Alcorn State,REG (Conf),W 61-58,,21,2,5,.400,2,5,.400,0,0,,.600,1,4,.250,0,1,1,1,3,0,1,4,7,4.5,Aniya Gourdine,https://www.sports-reference.com/cbb/players/aniya-gourdine-1.html,southern,2023-24
12,46,20,2024-02-05,Southern,@,Jackson State,REG (Conf),L 58-63,,21,2,5,.400,2,2,1.000,0,3,.000,.600,3,4,.750,2,1,3,1,2,1,0,5,9,9.0,Aniya Gourdine,https://www.sports-reference.com/cbb/players/aniya-gourdine-1.html,southern,2023-24
13,47,21,2024-02-10,Southern,,Alabama A&M,REG (Conf),W 67-60,,18,2,4,.500,1,3,.333,1,1,1.000,.625,0,0,,1,0,1,0,0,0,0,2,5,2.9,Aniya Gourdine,https://www.sports-reference.com/cbb/players/aniya-gourdine-1.html,southern,2023-24
14,48,22,2024-02-12,Southern,,Alabama State,REG (Conf),W 79-63,,23,3,7,.429,0,1,.000,3,6,.500,.429,0,0,,1,4,5,5,2,0,3,3,6,5.5,Aniya Gourdine,https://www.sports-reference.com/cbb/players/aniya-gourdine-1.html,southern,2023-24
15,49,23,2024-02-17,Southern,@,Prairie View A&M,REG (Conf),W 75-68 (OT),,27,3,7,.429,1,2,.500,2,5,.400,.500,5,6,.833,1,1,2,2,1,0,1,3,12,9.1,Aniya Gourdine,https://www.sports-reference.com/cbb/players/aniya-gourdine-1.html,southern,2023-24
