ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,41,1,2023-11-06,Southern,@,Baylor,REG (Non-Conf),L 53-85,*,31,6,12,.500,5,7,.714,1,5,.200,.708,0,0,,0,4,4,0,0,1,0,1,17,12.5,Soniyah Reed,https://www.sports-reference.com/cbb/players/soniyah-reed-1.html,southern,2023-24
2,42,2,2023-11-08,Southern,@,Texas,REG (Non-Conf),L 35-80,*,22,1,6,.167,1,3,.333,0,3,.000,.250,0,0,,0,2,2,0,2,0,3,0,3,-1.2,Soniyah Reed,https://www.sports-reference.com/cbb/players/soniyah-reed-1.html,southern,2023-24
3,43,3,2023-11-12,Southern,@,Purdue,REG (Non-Conf),L 50-67,*,23,2,6,.333,1,4,.250,1,2,.500,.417,1,1,1.000,0,1,1,0,2,0,1,3,6,2.7,Soniyah Reed,https://www.sports-reference.com/cbb/players/soniyah-reed-1.html,southern,2023-24
4,44,4,2023-11-17,Southern,@,Miami (FL),REG (Non-Conf),L 57-61,*,31,5,12,.417,2,4,.500,3,8,.375,.500,0,0,,2,4,6,1,0,1,1,3,12,7.4,Soniyah Reed,https://www.sports-reference.com/cbb/players/soniyah-reed-1.html,southern,2023-24
5,45,5,2023-11-20,Southern,@,Iowa State,REG (Non-Conf),L 60-78,*,24,3,8,.375,1,3,.333,2,5,.400,.438,1,2,.500,1,1,2,0,0,0,1,0,8,3.2,Soniyah Reed,https://www.sports-reference.com/cbb/players/soniyah-reed-1.html,southern,2023-24
6,46,6,2023-12-03,Southern,,Northwestern State,REG (Non-Conf),L 35-46,*,16,0,3,.000,0,2,.000,0,1,.000,.000,0,0,,2,2,4,2,0,0,0,2,0,0.5,Soniyah Reed,https://www.sports-reference.com/cbb/players/soniyah-reed-1.html,southern,2023-24
7,47,7,2023-12-09,Southern,,La. Christian,REG (Non-Conf),W 101-45,*,20,7,9,.778,0,0,,7,9,.778,.778,0,0,,1,5,6,2,2,1,2,4,14,13.2,Soniyah Reed,https://www.sports-reference.com/cbb/players/soniyah-reed-1.html,southern,2023-24
8,48,8,2023-12-11,Southern,@,Oregon,REG (Non-Conf),L 37-67,*,24,1,12,.083,1,7,.143,0,5,.000,.125,0,0,,0,4,4,1,0,0,1,0,3,-4.1,Soniyah Reed,https://www.sports-reference.com/cbb/players/soniyah-reed-1.html,southern,2023-24
9,49,9,2023-12-17,Southern,@,Nebraska,REG (Non-Conf),L 51-76,*,8,0,2,.000,0,2,.000,0,0,,.000,0,0,,1,1,2,0,0,0,0,0,0,-0.4,Soniyah Reed,https://www.sports-reference.com/cbb/players/soniyah-reed-1.html,southern,2023-24
10,50,10,2023-12-20,Southern,@,Kansas State,REG (Non-Conf),L 52-84,*,12,2,4,.500,1,2,.500,1,2,.500,.625,0,0,,1,0,1,0,1,0,1,0,5,3.7,Soniyah Reed,https://www.sports-reference.com/cbb/players/soniyah-reed-1.html,southern,2023-24
11,51,11,2023-12-22,Southern,@,Oklahoma,REG (Non-Conf),W 79-70,*,9,2,3,.667,0,1,.000,2,2,1.000,.667,0,0,,0,2,2,0,0,0,0,1,4,2.9,Soniyah Reed,https://www.sports-reference.com/cbb/players/soniyah-reed-1.html,southern,2023-24
12,52,12,2024-01-06,Southern,,Texas Southern,REG (Conf),W 64-45,,10,0,3,.000,0,1,.000,0,2,.000,.000,0,0,,0,3,3,0,1,2,2,0,0,-0.8,Soniyah Reed,https://www.sports-reference.com/cbb/players/soniyah-reed-1.html,southern,2023-24
13,53,13,2024-01-08,Southern,,Prairie View A&M,REG (Conf),W 84-56,,3,1,1,1.000,0,0,,1,1,1.000,1.000,0,0,,0,0,0,0,0,1,0,0,2,2.4,Soniyah Reed,https://www.sports-reference.com/cbb/players/soniyah-reed-1.html,southern,2023-24
14,54,14,2024-01-13,Southern,@,Florida A&M,REG (Conf),L 53-59,,4,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0.0,Soniyah Reed,https://www.sports-reference.com/cbb/players/soniyah-reed-1.html,southern,2023-24
15,55,16,2024-01-20,Southern,@,Grambling State,REG (Conf),L 45-69,,11,1,5,.200,0,3,.000,1,2,.500,.200,0,0,,0,3,3,1,2,0,1,1,2,1.1,Soniyah Reed,https://www.sports-reference.com/cbb/players/soniyah-reed-1.html,southern,2023-24
16,56,17,2024-01-27,Southern,,Arkansas–Pine Bluff,REG (Conf),L 59-74,,3,0,2,.000,0,1,.000,0,1,.000,.000,0,0,,1,0,1,0,0,0,0,0,0,-0.7,Soniyah Reed,https://www.sports-reference.com/cbb/players/soniyah-reed-1.html,southern,2023-24
17,57,18,2024-01-29,Southern,,Mississippi Valley State,REG (Conf),W 64-45,,8,1,3,.333,0,1,.000,1,2,.500,.333,0,0,,0,1,1,1,1,0,1,1,2,0.9,Soniyah Reed,https://www.sports-reference.com/cbb/players/soniyah-reed-1.html,southern,2023-24
18,58,19,2024-02-03,Southern,@,Alcorn State,REG (Conf),W 61-58,,4,0,2,.000,0,0,,0,2,.000,.000,0,0,,0,0,0,0,0,0,0,0,0,-1.4,Soniyah Reed,https://www.sports-reference.com/cbb/players/soniyah-reed-1.html,southern,2023-24
19,59,20,2024-02-05,Southern,@,Jackson State,REG (Conf),L 58-63,,0,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0.0,Soniyah Reed,https://www.sports-reference.com/cbb/players/soniyah-reed-1.html,southern,2023-24
20,60,22,2024-02-12,Southern,,Alabama State,REG (Conf),W 79-63,,1,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,0,0,0,0,0,0,2,0,-1.5,Soniyah Reed,https://www.sports-reference.com/cbb/players/soniyah-reed-1.html,southern,2023-24
21,61,23,2024-02-17,Southern,@,Prairie View A&M,REG (Conf),W 75-68 (OT),,3,1,1,1.000,0,0,,1,1,1.000,1.000,0,0,,0,0,0,0,1,0,0,0,2,2.7,Soniyah Reed,https://www.sports-reference.com/cbb/players/soniyah-reed-1.html,southern,2023-24
22,62,24,2024-02-19,Southern,@,Texas Southern,REG (Conf),W 68-52,,5,0,3,.000,0,2,.000,0,1,.000,.000,0,0,,0,0,0,0,0,0,0,0,0,-2.1,Soniyah Reed,https://www.sports-reference.com/cbb/players/soniyah-reed-1.html,southern,2023-24
