ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,16,2,2023-11-11,Stony Brook,@,Le Moyne,REG (Non-Conf),W 82-61,,4,0,1,.000,0,1,.000,0,0,.000,0,0,,0,0,0,0,1,0,1,1,0,-1.1,Khalis Whiting,https://www.sports-reference.com/cbb/players/khalis-whiting-1.html,stony-brook,2023-24
2,17,5,2023-11-22,Stony Brook,,Delaware State,REG (Non-Conf),W 86-41,,2,0,0,,0,0,,0,0,,3,4,.750,0,0,0,0,2,0,1,0,3,3.6,Khalis Whiting,https://www.sports-reference.com/cbb/players/khalis-whiting-1.html,stony-brook,2023-24
3,18,7,2023-12-02,Stony Brook,,Buffalo,REG (Non-Conf),W 83-52,,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,Khalis Whiting,https://www.sports-reference.com/cbb/players/khalis-whiting-1.html,stony-brook,2023-24
4,19,9,2023-12-11,Stony Brook,,Longwood,REG (Non-Conf),W 85-49,,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-1.4,Khalis Whiting,https://www.sports-reference.com/cbb/players/khalis-whiting-1.html,stony-brook,2023-24
5,20,10,2023-12-21,Stony Brook,@,Iona,REG (Non-Conf),W 71-49,,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,Khalis Whiting,https://www.sports-reference.com/cbb/players/khalis-whiting-1.html,stony-brook,2023-24
6,21,11,2023-12-30,Stony Brook,@,Cornell,REG (Non-Conf),W 81-56,,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,Khalis Whiting,https://www.sports-reference.com/cbb/players/khalis-whiting-1.html,stony-brook,2023-24
7,22,12,2024-01-05,Stony Brook,,Campbell,REG (Conf),W 73-43,,2,0,0,,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,0,0,1.0,Khalis Whiting,https://www.sports-reference.com/cbb/players/khalis-whiting-1.html,stony-brook,2023-24
8,23,19,2024-02-02,Stony Brook,@,Hofstra,REG (Conf),W 67-49,,1,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,0,0,-0.7,Khalis Whiting,https://www.sports-reference.com/cbb/players/khalis-whiting-1.html,stony-brook,2023-24
9,24,20,2024-02-04,Stony Brook,@,Monmouth,REG (Conf),W 78-62,,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,Khalis Whiting,https://www.sports-reference.com/cbb/players/khalis-whiting-1.html,stony-brook,2023-24
10,25,22,2024-02-11,Stony Brook,@,Northeastern,REG (Conf),W 71-35,,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,Khalis Whiting,https://www.sports-reference.com/cbb/players/khalis-whiting-1.html,stony-brook,2023-24
11,26,23,2024-02-16,Stony Brook,,Hofstra,REG (Conf),W 81-48,,2,1,1,1.000,1,1,1.000,0,0,1.500,1,1,1.000,0,0,0,0,0,0,0,0,4,3.7,Khalis Whiting,https://www.sports-reference.com/cbb/players/khalis-whiting-1.html,stony-brook,2023-24
12,27,24,2024-02-18,Stony Brook,,Elon,REG (Conf),W 61-32,,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,Khalis Whiting,https://www.sports-reference.com/cbb/players/khalis-whiting-1.html,stony-brook,2023-24
13,28,27,2024-03-03,Stony Brook,,North Carolina A&T,REG (Conf),W 76-62,,0,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,Khalis Whiting,https://www.sports-reference.com/cbb/players/khalis-whiting-1.html,stony-brook,2023-24
14,29,28,2024-03-07,Stony Brook,@,Hampton,REG (Conf),W 71-35,,2,0,0,,0,0,,0,0,,1,2,.500,0,0,0,0,0,0,0,0,1,0.6,Khalis Whiting,https://www.sports-reference.com/cbb/players/khalis-whiting-1.html,stony-brook,2023-24
15,30,31,2024-03-16,Stony Brook,N,North Carolina A&T,CTOURN,W 59-51,,0,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,Khalis Whiting,https://www.sports-reference.com/cbb/players/khalis-whiting-1.html,stony-brook,2023-24
16,31,33,2024-03-21,Stony Brook,@,James Madison,WBIT,W 81-70,,0,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,Khalis Whiting,https://www.sports-reference.com/cbb/players/khalis-whiting-1.html,stony-brook,2023-24
17,32,34,2024-03-24,Stony Brook,@,Illinois,WBIT,L 62-79,,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,1.0,Khalis Whiting,https://www.sports-reference.com/cbb/players/khalis-whiting-1.html,stony-brook,2023-24
