ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,75,1,2023-11-08,Texas,,Southern,REG (Non-Conf),W 80-35,*,17,2,4,.500,0,0,2,4,.500,.500,2,2,1.000,3,2,5,0,1,2,1,1,6,7.7,Khadija Faye,https://www.sports-reference.com/cbb/players/khadija-faye-1.html,texas,2023-24
2,76,2,2023-11-12,Texas,,Liberty,REG (Non-Conf),W 75-57,*,18,2,5,.400,0,0,2,5,.400,.400,1,2,.500,3,3,6,1,4,1,0,1,5,9.9,Khadija Faye,https://www.sports-reference.com/cbb/players/khadija-faye-1.html,texas,2023-24
3,77,3,2023-11-14,Texas,,UT Arlington,REG (Non-Conf),W 110-64,,11,5,9,.556,0,0,5,9,.556,.556,0,0,,4,1,5,0,1,0,2,0,10,7.8,Khadija Faye,https://www.sports-reference.com/cbb/players/khadija-faye-1.html,texas,2023-24
4,78,4,2023-11-19,Texas,,Louisiana Tech,REG (Non-Conf),W 96-44,,15,1,5,.200,0,0,1,5,.200,.200,3,3,1.000,2,2,4,0,0,0,2,1,5,1.5,Khadija Faye,https://www.sports-reference.com/cbb/players/khadija-faye-1.html,texas,2023-24
5,79,5,2023-11-23,Texas,N,Arizona State,REG (Non-Conf),W 84-42,,29,5,7,.714,0,0,5,7,.714,.714,5,8,.625,5,2,7,0,3,2,0,1,15,19.0,Khadija Faye,https://www.sports-reference.com/cbb/players/khadija-faye-1.html,texas,2023-24
6,80,6,2023-11-24,Texas,N,High Point,REG (Non-Conf),W 101-39,,20,4,5,.800,0,0,4,5,.800,.800,2,2,1.000,3,5,8,0,2,1,2,1,10,12.0,Khadija Faye,https://www.sports-reference.com/cbb/players/khadija-faye-1.html,texas,2023-24
7,81,7,2023-11-25,Texas,N,South Florida,REG (Non-Conf),W 76-44,,5,0,0,,0,0,0,0,,,0,0,,0,2,2,0,1,1,0,2,0,1.5,Khadija Faye,https://www.sports-reference.com/cbb/players/khadija-faye-1.html,texas,2023-24
8,82,9,2023-12-03,Texas,,Connecticut,REG (Non-Conf),W 80-68,,10,2,4,.500,0,0,2,4,.500,.500,0,0,,1,0,1,0,0,0,1,4,4,0.1,Khadija Faye,https://www.sports-reference.com/cbb/players/khadija-faye-1.html,texas,2023-24
9,83,10,2023-12-06,Texas,,Long Beach State,REG (Non-Conf),W 106-62,,13,3,3,1.000,0,0,3,3,1.000,1.000,4,8,.500,2,5,7,0,1,1,2,0,10,10.1,Khadija Faye,https://www.sports-reference.com/cbb/players/khadija-faye-1.html,texas,2023-24
10,84,11,2023-12-13,Texas,@,Arizona,REG (Non-Conf),W 88-75,,15,2,3,.667,0,0,2,3,.667,.667,1,2,.500,2,2,4,0,1,0,0,2,5,5.5,Khadija Faye,https://www.sports-reference.com/cbb/players/khadija-faye-1.html,texas,2023-24
