ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,54,1,2023-11-06,Texas A&M–Commerce,,LeTourneau,REG (Non-Conf),W 96-41,*,21,8,14,.571,6,9,.667,2,5,.400,.786,2,2,1.000,0,0,0,2,2,1,1,2,24,19.7,Jordyn Newsome,https://www.sports-reference.com/cbb/players/jordyn-newsome-1.html,texas-am-commerce,2023-24
2,55,2,2023-11-10,Texas A&M–Commerce,,North Texas-Dallas,REG (Non-Conf),W 80-56,*,31,5,15,.333,5,13,.385,0,2,.000,.500,3,5,.600,0,2,2,4,0,0,2,3,18,8.9,Jordyn Newsome,https://www.sports-reference.com/cbb/players/jordyn-newsome-1.html,texas-am-commerce,2023-24
3,56,3,2023-11-15,Texas A&M–Commerce,@,New Mexico,REG (Non-Conf),L 74-75,*,29,6,14,.429,3,6,.500,3,8,.375,.536,2,2,1.000,2,2,4,1,0,0,2,3,17,9.1,Jordyn Newsome,https://www.sports-reference.com/cbb/players/jordyn-newsome-1.html,texas-am-commerce,2023-24
4,57,4,2023-11-17,Texas A&M–Commerce,@,Texas Tech,REG (Non-Conf),L 45-91,*,18,0,7,.000,0,2,.000,0,5,.000,.000,2,2,1.000,1,2,3,0,2,0,1,2,2,-1.4,Jordyn Newsome,https://www.sports-reference.com/cbb/players/jordyn-newsome-1.html,texas-am-commerce,2023-24
5,58,5,2023-11-20,Texas A&M–Commerce,,Utah Tech,REG (Non-Conf),W 84-75,*,35,4,13,.308,2,5,.400,2,8,.250,.385,5,6,.833,1,2,3,3,4,0,1,2,15,12.7,Jordyn Newsome,https://www.sports-reference.com/cbb/players/jordyn-newsome-1.html,texas-am-commerce,2023-24
6,59,6,2023-11-29,Texas A&M–Commerce,@,Washington State,REG (Non-Conf),L 50-111,*,25,2,6,.333,0,2,.000,2,4,.500,.333,0,0,,0,2,2,1,0,0,2,1,4,-0.5,Jordyn Newsome,https://www.sports-reference.com/cbb/players/jordyn-newsome-1.html,texas-am-commerce,2023-24
7,60,7,2023-12-01,Texas A&M–Commerce,@,Idaho,REG (Non-Conf),W 72-71,*,37,5,11,.455,2,4,.500,3,7,.429,.545,4,6,.667,1,3,4,0,0,0,0,0,16,11.1,Jordyn Newsome,https://www.sports-reference.com/cbb/players/jordyn-newsome-1.html,texas-am-commerce,2023-24
8,61,8,2023-12-05,Texas A&M–Commerce,,Southern Utah,REG (Non-Conf),W 73-67,*,24,1,5,.200,0,1,.000,1,4,.250,.200,1,1,1.000,0,3,3,1,0,0,1,2,3,-0.3,Jordyn Newsome,https://www.sports-reference.com/cbb/players/jordyn-newsome-1.html,texas-am-commerce,2023-24
9,62,9,2023-12-08,Texas A&M–Commerce,,Houston,REG (Non-Conf),L 53-86,*,29,2,9,.222,1,5,.200,1,4,.250,.278,2,2,1.000,0,2,2,1,0,0,3,3,7,-1.4,Jordyn Newsome,https://www.sports-reference.com/cbb/players/jordyn-newsome-1.html,texas-am-commerce,2023-24
10,63,11,2023-12-31,Texas A&M–Commerce,@,Texas A&M,REG (Non-Conf),L 63-87,*,22,5,11,.455,2,6,.333,3,5,.600,.545,0,0,,0,6,6,1,1,0,2,2,12,7.0,Jordyn Newsome,https://www.sports-reference.com/cbb/players/jordyn-newsome-1.html,texas-am-commerce,2023-24
