ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,89,1,2023-11-07,Texas A&M–Corpus Christi,,St. Thomas (TX),REG (Non-Conf),W 79-41,*,18,3,6,.500,0,1,.000,3,5,.600,.500,3,4,.750,0,2,2,5,5,0,1,1,9,13.3,Violeta Verano,https://www.sports-reference.com/cbb/players/violeta-verano-1.html,texas-am-corpus-christi,2023-24
2,90,2,2023-11-09,Texas A&M–Corpus Christi,@,Texas A&M,REG (Non-Conf),L 50-73,*,22,0,7,.000,0,5,.000,0,2,.000,.000,0,0,,0,0,0,4,0,0,5,0,0,-7.1,Violeta Verano,https://www.sports-reference.com/cbb/players/violeta-verano-1.html,texas-am-corpus-christi,2023-24
3,91,3,2023-11-13,Texas A&M–Corpus Christi,,Schreiner,REG (Non-Conf),W 92-40,*,21,3,8,.375,1,5,.200,2,3,.667,.438,0,0,,0,2,2,1,3,0,1,2,7,5.1,Violeta Verano,https://www.sports-reference.com/cbb/players/violeta-verano-1.html,texas-am-corpus-christi,2023-24
4,92,4,2023-11-15,Texas A&M–Corpus Christi,,UTSA,REG (Non-Conf),L 59-66 (OT),*,40,1,9,.111,0,5,.000,1,4,.250,.111,0,2,.000,1,2,3,3,3,0,2,4,2,-1.9,Violeta Verano,https://www.sports-reference.com/cbb/players/violeta-verano-1.html,texas-am-corpus-christi,2023-24
5,93,5,2023-11-21,Texas A&M–Corpus Christi,@,Santa Clara,REG (Non-Conf),L 54-75,*,21,2,4,.500,1,2,.500,1,2,.500,.625,1,1,1.000,1,1,2,1,0,0,1,1,6,4.3,Violeta Verano,https://www.sports-reference.com/cbb/players/violeta-verano-1.html,texas-am-corpus-christi,2023-24
6,94,6,2023-11-26,Texas A&M–Corpus Christi,,Texas State,REG (Non-Conf),W 60-52,*,14,0,2,.000,0,1,.000,0,1,.000,.000,3,4,.750,0,0,0,2,0,0,2,0,3,0.6,Violeta Verano,https://www.sports-reference.com/cbb/players/violeta-verano-1.html,texas-am-corpus-christi,2023-24
7,95,7,2023-12-02,Texas A&M–Corpus Christi,,Rice,REG (Non-Conf),L 56-84,*,15,1,5,.200,1,3,.333,0,2,.000,.300,1,2,.500,1,0,1,0,0,0,2,1,4,-1.2,Violeta Verano,https://www.sports-reference.com/cbb/players/violeta-verano-1.html,texas-am-corpus-christi,2023-24
8,96,8,2023-12-05,Texas A&M–Corpus Christi,,Texas–Rio Grande Valley,REG (Non-Conf),W 69-46,*,25,4,12,.333,2,5,.400,2,7,.286,.417,0,0,,1,2,3,3,2,0,0,4,10,7.0,Violeta Verano,https://www.sports-reference.com/cbb/players/violeta-verano-1.html,texas-am-corpus-christi,2023-24
9,97,9,2023-12-14,Texas A&M–Corpus Christi,@,Texas–Rio Grande Valley,REG (Non-Conf),W 57-51,*,30,4,10,.400,1,6,.167,3,4,.750,.450,2,2,1.000,1,2,3,4,0,0,6,3,11,2.5,Violeta Verano,https://www.sports-reference.com/cbb/players/violeta-verano-1.html,texas-am-corpus-christi,2023-24
10,98,10,2023-12-19,Texas A&M–Corpus Christi,,Our Lady,REG (Non-Conf),W 77-33,*,14,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,2,2,0,2,0,2,2,0,-0.9,Violeta Verano,https://www.sports-reference.com/cbb/players/violeta-verano-1.html,texas-am-corpus-christi,2023-24
11,99,11,2023-12-30,Texas A&M–Corpus Christi,,Concordia (TX),REG (Non-Conf),W 76-45,*,19,3,8,.375,2,6,.333,1,2,.500,.500,2,2,1.000,1,4,5,2,3,0,3,0,10,8.9,Violeta Verano,https://www.sports-reference.com/cbb/players/violeta-verano-1.html,texas-am-corpus-christi,2023-24
12,100,12,2024-01-03,Texas A&M–Corpus Christi,,Houston Christian,REG (Conf),W 73-49,*,19,4,8,.500,2,5,.400,2,3,.667,.625,0,0,,0,0,0,0,1,0,2,0,10,5.0,Violeta Verano,https://www.sports-reference.com/cbb/players/violeta-verano-1.html,texas-am-corpus-christi,2023-24
13,101,18,2024-01-25,Texas A&M–Corpus Christi,@,Texas A&M–Commerce,REG (Conf),W 69-58,,26,2,6,.333,1,4,.250,1,2,.500,.417,2,2,1.000,0,1,1,3,0,0,1,3,7,3.8,Violeta Verano,https://www.sports-reference.com/cbb/players/violeta-verano-1.html,texas-am-corpus-christi,2023-24
14,102,19,2024-01-27,Texas A&M–Corpus Christi,@,Northwestern State,REG (Conf),W 50-45,,22,2,9,.222,1,4,.250,1,5,.200,.278,1,2,.500,1,2,3,0,0,0,1,4,6,-1.2,Violeta Verano,https://www.sports-reference.com/cbb/players/violeta-verano-1.html,texas-am-corpus-christi,2023-24
15,103,20,2024-02-03,Texas A&M–Corpus Christi,,Lamar,REG (Conf),L 57-63,,20,1,4,.250,0,1,.000,1,3,.333,.250,0,0,,0,0,0,0,1,0,2,2,2,-2.2,Violeta Verano,https://www.sports-reference.com/cbb/players/violeta-verano-1.html,texas-am-corpus-christi,2023-24
16,104,21,2024-02-08,Texas A&M–Corpus Christi,@,Nicholls State,REG (Conf),L 67-70,*,35,1,7,.143,0,4,.000,1,3,.333,.143,2,4,.500,0,3,3,4,4,0,3,1,4,3.0,Violeta Verano,https://www.sports-reference.com/cbb/players/violeta-verano-1.html,texas-am-corpus-christi,2023-24
17,105,22,2024-02-10,Texas A&M–Corpus Christi,@,McNeese State,REG (Conf),W 78-64,*,27,4,10,.400,3,6,.500,1,4,.250,.550,0,0,,1,4,5,4,2,0,3,2,11,8.5,Violeta Verano,https://www.sports-reference.com/cbb/players/violeta-verano-1.html,texas-am-corpus-christi,2023-24
18,106,23,2024-02-15,Texas A&M–Corpus Christi,,Northwestern State,REG (Conf),W 68-52,*,28,4,11,.364,2,8,.250,2,3,.667,.455,1,2,.500,0,2,2,3,0,0,1,1,11,5.8,Violeta Verano,https://www.sports-reference.com/cbb/players/violeta-verano-1.html,texas-am-corpus-christi,2023-24
19,107,24,2024-02-17,Texas A&M–Corpus Christi,,Texas A&M–Commerce,REG (Conf),W 86-69,*,29,4,9,.444,2,5,.400,2,4,.500,.556,0,0,,1,4,5,3,0,0,0,2,10,8.5,Violeta Verano,https://www.sports-reference.com/cbb/players/violeta-verano-1.html,texas-am-corpus-christi,2023-24
