ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,31,1,2023-11-06,Utah Valley,,Weber State,REG (Non-Conf),W 56-55,*,26,4,6,.667,1,2,.500,3,4,.750,.750,3,4,.750,0,4,4,3,3,0,0,2,12,14.5,Ally Criddle,https://www.sports-reference.com/cbb/players/ally-criddle-1.html,utah-valley,2023-24
2,32,2,2023-11-14,Utah Valley,@,Brigham Young,REG (Non-Conf),L 44-59,*,28,2,6,.333,0,1,.000,2,5,.400,.333,2,2,1.000,0,2,2,1,1,0,3,2,6,1.1,Ally Criddle,https://www.sports-reference.com/cbb/players/ally-criddle-1.html,utah-valley,2023-24
3,33,3,2023-11-18,Utah Valley,@,St. Thomas,REG (Non-Conf),L 62-70,*,14,2,5,.400,1,3,.333,1,2,.500,.500,2,4,.500,0,0,0,2,0,0,2,4,7,1.3,Ally Criddle,https://www.sports-reference.com/cbb/players/ally-criddle-1.html,utah-valley,2023-24
4,34,4,2023-11-21,Utah Valley,,Westminster (UT),REG (Non-Conf),W 76-42,*,19,1,2,.500,0,1,.000,1,1,1.000,.500,0,0,,0,2,2,3,1,0,1,2,2,2.9,Ally Criddle,https://www.sports-reference.com/cbb/players/ally-criddle-1.html,utah-valley,2023-24
5,35,5,2023-11-25,Utah Valley,@,Idaho,REG (Non-Conf),W 66-59,*,26,6,8,.750,2,4,.500,4,4,1.000,.875,1,2,.500,0,2,2,1,0,0,2,4,15,9.1,Ally Criddle,https://www.sports-reference.com/cbb/players/ally-criddle-1.html,utah-valley,2023-24
6,36,6,2023-11-29,Utah Valley,@,Seattle,REG (Conf),L 48-58,*,36,3,7,.429,1,4,.250,2,3,.667,.500,0,0,,0,6,6,4,1,2,4,1,7,5.9,Ally Criddle,https://www.sports-reference.com/cbb/players/ally-criddle-1.html,utah-valley,2023-24
7,37,7,2023-12-02,Utah Valley,,Utah Tech,REG (Conf),L 59-73,*,31,1,5,.200,0,2,.000,1,3,.333,.200,0,0,,0,4,4,4,1,0,3,1,2,0.5,Ally Criddle,https://www.sports-reference.com/cbb/players/ally-criddle-1.html,utah-valley,2023-24
8,38,8,2023-12-06,Utah Valley,@,Idaho State,REG (Non-Conf),L 50-54,*,37,1,9,.111,1,5,.200,0,4,.000,.167,1,2,.500,0,2,2,5,6,0,1,2,4,6.0,Ally Criddle,https://www.sports-reference.com/cbb/players/ally-criddle-1.html,utah-valley,2023-24
9,39,9,2023-12-09,Utah Valley,,Utah State,REG (Non-Conf),W 68-38,*,32,5,11,.455,2,4,.500,3,7,.429,.545,1,2,.500,0,4,4,5,1,1,0,1,13,12.9,Ally Criddle,https://www.sports-reference.com/cbb/players/ally-criddle-1.html,utah-valley,2023-24
10,40,10,2023-12-16,Utah Valley,@,New Mexico State,REG (Non-Conf),L 39-70,*,21,0,1,.000,0,0,,0,1,.000,.000,1,2,.500,1,2,3,1,0,0,3,4,1,-2.7,Ally Criddle,https://www.sports-reference.com/cbb/players/ally-criddle-1.html,utah-valley,2023-24
11,41,11,2023-12-21,Utah Valley,,Sam Houston State,REG (Non-Conf),W 73-69 (OT),*,37,1,3,.333,0,2,.000,1,1,1.000,.333,7,8,.875,0,4,4,2,2,0,3,2,9,7.7,Ally Criddle,https://www.sports-reference.com/cbb/players/ally-criddle-1.html,utah-valley,2023-24
12,42,12,2024-01-04,Utah Valley,@,California Baptist,REG (Conf),L 61-80,*,23,3,5,.600,0,1,.000,3,4,.750,.600,0,0,,0,2,2,0,1,0,1,1,6,3.9,Ally Criddle,https://www.sports-reference.com/cbb/players/ally-criddle-1.html,utah-valley,2023-24
13,43,13,2024-01-06,Utah Valley,@,Southern Utah,REG (Conf),L 58-71,*,32,3,5,.600,0,2,.000,3,3,1.000,.600,0,0,,0,3,3,2,1,0,2,2,6,4.2,Ally Criddle,https://www.sports-reference.com/cbb/players/ally-criddle-1.html,utah-valley,2023-24
14,44,14,2024-01-11,Utah Valley,,UT Arlington,REG (Conf),L 64-72,*,34,2,6,.333,0,1,.000,2,5,.400,.333,0,0,,1,2,3,3,3,0,4,5,4,1.0,Ally Criddle,https://www.sports-reference.com/cbb/players/ally-criddle-1.html,utah-valley,2023-24
15,45,15,2024-01-13,Utah Valley,,Texas–Rio Grande Valley,REG (Conf),W 75-62,*,27,2,5,.400,0,2,.000,2,3,.667,.400,5,6,.833,0,4,4,2,2,0,3,1,9,7.1,Ally Criddle,https://www.sports-reference.com/cbb/players/ally-criddle-1.html,utah-valley,2023-24
16,46,16,2024-01-18,Utah Valley,,Grand Canyon,REG (Conf),L 68-78,*,25,3,8,.375,1,4,.250,2,4,.500,.438,0,0,,0,2,2,6,0,0,2,0,7,5.4,Ally Criddle,https://www.sports-reference.com/cbb/players/ally-criddle-1.html,utah-valley,2023-24
17,47,17,2024-01-20,Utah Valley,@,Utah Tech,REG (Conf),W 55-52,*,33,1,8,.125,1,5,.200,0,3,.000,.188,0,0,,0,1,1,5,0,0,0,3,3,0.4,Ally Criddle,https://www.sports-reference.com/cbb/players/ally-criddle-1.html,utah-valley,2023-24
18,48,18,2024-01-27,Utah Valley,,Seattle,REG (Conf),W 59-56,*,17,0,2,.000,0,1,.000,0,1,.000,.000,0,2,.000,0,1,1,0,2,0,2,1,0,-2.3,Ally Criddle,https://www.sports-reference.com/cbb/players/ally-criddle-1.html,utah-valley,2023-24
19,49,19,2024-02-01,Utah Valley,,Stephen F. Austin,REG (Conf),L 63-72,*,28,4,10,.400,0,1,.000,4,9,.444,.400,4,4,1.000,0,3,3,6,3,0,1,4,12,12.1,Ally Criddle,https://www.sports-reference.com/cbb/players/ally-criddle-1.html,utah-valley,2023-24
20,50,20,2024-02-03,Utah Valley,@,Grand Canyon,REG (Conf),L 52-66,*,30,3,5,.600,1,2,.500,2,3,.667,.700,1,1,1.000,0,2,2,3,1,0,0,2,8,8.6,Ally Criddle,https://www.sports-reference.com/cbb/players/ally-criddle-1.html,utah-valley,2023-24
21,51,21,2024-02-08,Utah Valley,@,Tarleton State,REG (Conf),L 55-60,*,31,2,4,.500,0,0,,2,4,.500,.500,0,2,.000,1,2,3,0,4,0,1,2,4,4.7,Ally Criddle,https://www.sports-reference.com/cbb/players/ally-criddle-1.html,utah-valley,2023-24
22,52,22,2024-02-10,Utah Valley,@,Abilene Christian,REG (Conf),L 53-66,*,26,4,8,.500,0,1,.000,4,7,.571,.500,0,0,,0,5,5,1,1,0,1,4,8,4.6,Ally Criddle,https://www.sports-reference.com/cbb/players/ally-criddle-1.html,utah-valley,2023-24
23,53,23,2024-02-15,Utah Valley,,California Baptist,REG (Conf),W 92-89 (OT),*,31,3,5,.600,1,2,.500,2,3,.667,.700,1,2,.500,0,4,4,2,2,0,5,2,8,4.1,Ally Criddle,https://www.sports-reference.com/cbb/players/ally-criddle-1.html,utah-valley,2023-24
24,54,24,2024-02-17,Utah Valley,,Southern Utah,REG (Conf),L 66-67 (2OT),*,37,3,10,.300,0,1,.000,3,9,.333,.300,1,2,.500,1,4,5,9,7,0,2,5,7,12.0,Ally Criddle,https://www.sports-reference.com/cbb/players/ally-criddle-1.html,utah-valley,2023-24
25,55,25,2024-02-22,Utah Valley,@,Texas–Rio Grande Valley,REG (Conf),L 62-63,*,28,0,4,.000,0,0,,0,4,.000,.000,0,0,,1,5,6,1,0,0,1,2,0,-1.7,Ally Criddle,https://www.sports-reference.com/cbb/players/ally-criddle-1.html,utah-valley,2023-24
26,56,26,2024-02-24,Utah Valley,@,Stephen F. Austin,REG (Conf),L 35-84,*,16,1,2,.500,0,0,,1,2,.500,.500,0,0,,0,0,0,3,0,0,4,1,2,-1.3,Ally Criddle,https://www.sports-reference.com/cbb/players/ally-criddle-1.html,utah-valley,2023-24
27,57,27,2024-03-02,Utah Valley,@,UT Arlington,REG (Conf),L 53-67,*,29,2,7,.286,0,1,.000,2,6,.333,.286,0,2,.000,1,3,4,3,0,1,2,4,4,-0.1,Ally Criddle,https://www.sports-reference.com/cbb/players/ally-criddle-1.html,utah-valley,2023-24
28,58,28,2024-03-07,Utah Valley,,Tarleton State,REG (Conf),W 73-66,*,31,4,6,.667,1,1,1.000,3,5,.600,.750,2,2,1.000,0,3,3,7,1,0,0,1,11,14.8,Ally Criddle,https://www.sports-reference.com/cbb/players/ally-criddle-1.html,utah-valley,2023-24
29,59,29,2024-03-09,Utah Valley,,Abilene Christian,REG (Conf),L 50-81,,24,3,7,.429,0,1,.000,3,6,.500,.429,1,1,1.000,0,0,0,2,1,1,1,3,7,4.2,Ally Criddle,https://www.sports-reference.com/cbb/players/ally-criddle-1.html,utah-valley,2023-24
