ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,93,1,2023-11-07,VCU,,Hofstra,REG (Non-Conf),W 72-44,,12,0,1,.000,0,0,0,1,.000,.000,0,0,,0,3,3,1,1,0,1,0,0,0.9,Samantha Robinson,https://www.sports-reference.com/cbb/players/samantha-robinson-1.html,virginia-commonwealth,2023-24
2,94,2,2023-11-10,VCU,@,William & Mary,REG (Non-Conf),W 70-54,,3,0,1,.000,0,0,0,1,.000,.000,0,0,,1,0,1,0,0,0,0,0,0,0.0,Samantha Robinson,https://www.sports-reference.com/cbb/players/samantha-robinson-1.html,virginia-commonwealth,2023-24
3,95,3,2023-11-14,VCU,,East Carolina,REG (Non-Conf),W 55-50,,4,0,0,,0,0,0,0,,,2,2,1.000,0,2,2,0,0,0,2,2,2,-0.2,Samantha Robinson,https://www.sports-reference.com/cbb/players/samantha-robinson-1.html,virginia-commonwealth,2023-24
4,96,4,2023-11-19,VCU,@,James Madison,REG (Non-Conf),L 65-78,,16,3,4,.750,0,0,3,4,.750,.750,0,0,,0,3,3,0,0,0,1,1,6,3.9,Samantha Robinson,https://www.sports-reference.com/cbb/players/samantha-robinson-1.html,virginia-commonwealth,2023-24
5,97,5,2023-11-23,VCU,N,St. John's (NY),REG (Non-Conf),W 56-51,,9,1,3,.333,0,0,1,3,.333,.333,0,0,,1,1,2,0,1,0,1,1,2,0.9,Samantha Robinson,https://www.sports-reference.com/cbb/players/samantha-robinson-1.html,virginia-commonwealth,2023-24
6,98,6,2023-11-24,VCU,N,Sacred Heart,REG (Non-Conf),W 76-62,,2,0,1,.000,0,0,0,1,.000,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,Samantha Robinson,https://www.sports-reference.com/cbb/players/samantha-robinson-1.html,virginia-commonwealth,2023-24
7,99,7,2023-11-25,VCU,N,P.R.–Mayaguez,REG (Non-Conf),W 69-30,,15,3,7,.429,0,0,3,7,.429,.429,1,3,.333,4,3,7,0,0,0,1,0,7,5.2,Samantha Robinson,https://www.sports-reference.com/cbb/players/samantha-robinson-1.html,virginia-commonwealth,2023-24
8,100,8,2023-12-02,VCU,,Charlotte,REG (Non-Conf),W 57-49,,4,0,0,,0,0,0,0,,,0,0,,1,1,2,0,1,0,0,0,0,2.0,Samantha Robinson,https://www.sports-reference.com/cbb/players/samantha-robinson-1.html,virginia-commonwealth,2023-24
9,101,9,2023-12-05,VCU,,Le Moyne,REG (Non-Conf),W 55-32,,14,1,5,.200,0,0,1,5,.200,.200,0,0,,2,2,4,1,0,2,1,1,2,1.6,Samantha Robinson,https://www.sports-reference.com/cbb/players/samantha-robinson-1.html,virginia-commonwealth,2023-24
10,102,10,2023-12-11,VCU,N,Delaware,REG (Non-Conf),W 64-55,,7,1,3,.333,0,0,1,3,.333,.333,0,0,,0,1,1,0,0,0,0,0,2,0.6,Samantha Robinson,https://www.sports-reference.com/cbb/players/samantha-robinson-1.html,virginia-commonwealth,2023-24
11,103,11,2023-12-17,VCU,,Old Dominion,REG (Non-Conf),W 64-50,,16,2,5,.400,0,0,2,5,.400,.400,2,2,1.000,1,1,2,1,0,1,0,1,6,5.3,Samantha Robinson,https://www.sports-reference.com/cbb/players/samantha-robinson-1.html,virginia-commonwealth,2023-24
12,104,12,2023-12-20,VCU,,Maryland Eastern Shore,REG (Non-Conf),W 59-36,,10,0,1,.000,0,0,0,1,.000,.000,0,0,,1,2,3,1,0,0,0,0,0,1.3,Samantha Robinson,https://www.sports-reference.com/cbb/players/samantha-robinson-1.html,virginia-commonwealth,2023-24
13,105,13,2023-12-30,VCU,,Massachusetts,REG (Conf),W 65-45,,18,1,1,1.000,0,0,1,1,1.000,1.000,0,2,.000,1,2,3,0,0,0,3,1,2,-1.2,Samantha Robinson,https://www.sports-reference.com/cbb/players/samantha-robinson-1.html,virginia-commonwealth,2023-24
14,106,16,2024-01-10,VCU,,Fordham,REG (Conf),W 57-54,,11,2,4,.500,0,0,2,4,.500,.500,0,0,,0,0,0,1,0,0,0,0,4,2.7,Samantha Robinson,https://www.sports-reference.com/cbb/players/samantha-robinson-1.html,virginia-commonwealth,2023-24
15,107,17,2024-01-13,VCU,@,Loyola Chicago,REG (Conf),W 52-36,,20,2,3,.667,0,0,2,3,.667,.667,0,0,,1,4,5,0,0,0,1,2,4,2.8,Samantha Robinson,https://www.sports-reference.com/cbb/players/samantha-robinson-1.html,virginia-commonwealth,2023-24
16,108,18,2024-01-20,VCU,,La Salle,REG (Conf),W 66-50,,3,0,0,,0,0,0,0,,,1,2,.500,0,0,0,0,0,0,0,0,1,0.6,Samantha Robinson,https://www.sports-reference.com/cbb/players/samantha-robinson-1.html,virginia-commonwealth,2023-24
17,109,19,2024-01-24,VCU,@,Dayton,REG (Conf),W 73-62,,22,2,5,.400,0,0,2,5,.400,.400,2,2,1.000,3,2,5,0,1,0,3,1,6,3.6,Samantha Robinson,https://www.sports-reference.com/cbb/players/samantha-robinson-1.html,virginia-commonwealth,2023-24
18,110,20,2024-01-28,VCU,@,George Mason,REG (Conf),L 47-60,,18,2,4,.500,0,0,2,4,.500,.500,0,0,,1,2,3,0,0,0,3,2,4,-0.5,Samantha Robinson,https://www.sports-reference.com/cbb/players/samantha-robinson-1.html,virginia-commonwealth,2023-24
19,111,21,2024-01-31,VCU,,Duquesne,REG (Conf),W 64-51,,21,3,5,.600,0,0,3,5,.600,.600,0,0,,0,2,2,0,0,0,2,1,6,1.9,Samantha Robinson,https://www.sports-reference.com/cbb/players/samantha-robinson-1.html,virginia-commonwealth,2023-24
20,112,22,2024-02-04,VCU,,George Washington,REG (Conf),W 71-51,,21,4,6,.667,0,0,4,6,.667,.667,1,2,.500,0,3,3,2,0,0,2,0,9,6.3,Samantha Robinson,https://www.sports-reference.com/cbb/players/samantha-robinson-1.html,virginia-commonwealth,2023-24
21,113,23,2024-02-07,VCU,@,Saint Louis,REG (Conf),W 76-67,,12,0,6,.000,0,0,0,6,.000,.000,0,0,,0,2,2,0,0,0,0,0,0,-3.6,Samantha Robinson,https://www.sports-reference.com/cbb/players/samantha-robinson-1.html,virginia-commonwealth,2023-24
22,114,24,2024-02-10,VCU,,St. Bonaventure,REG (Conf),W 54-40,*,12,1,1,1.000,0,0,1,1,1.000,1.000,0,0,,0,3,3,1,0,0,1,0,2,2.3,Samantha Robinson,https://www.sports-reference.com/cbb/players/samantha-robinson-1.html,virginia-commonwealth,2023-24
23,115,25,2024-02-14,VCU,,Richmond,REG (Conf),L 58-65,,20,2,5,.400,0,0,2,5,.400,.400,0,0,,0,2,2,1,2,1,1,2,4,3.5,Samantha Robinson,https://www.sports-reference.com/cbb/players/samantha-robinson-1.html,virginia-commonwealth,2023-24
