ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,75,1,2023-11-06,Western Illinois,,Mt. Mercy,REG (Non-Conf),W 81-57,*,15,0,2,.000,0,1,.000,0,1,.000,.000,0,0,,0,3,3,0,0,0,1,1,0,-1.9,Kennedy Flanagan,https://www.sports-reference.com/cbb/players/kennedy-flanagan-1.html,western-illinois,2023-24
2,76,2,2023-11-09,Western Illinois,@,Wisconsin,REG (Non-Conf),L 52-74,,9,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,Kennedy Flanagan,https://www.sports-reference.com/cbb/players/kennedy-flanagan-1.html,western-illinois,2023-24
3,77,3,2023-11-12,Western Illinois,,Northern Illinois,REG (Non-Conf),W 95-62,,18,7,7,1.000,1,1,1.000,6,6,1.000,1.071,0,1,.000,2,1,3,2,2,1,2,1,15,15.9,Kennedy Flanagan,https://www.sports-reference.com/cbb/players/kennedy-flanagan-1.html,western-illinois,2023-24
4,78,4,2023-11-15,Western Illinois,,Hannibal-LaGrange,REG (Non-Conf),W 101-23,,15,2,5,.400,0,0,,2,5,.400,.400,1,2,.500,2,2,4,0,0,0,0,2,5,3.1,Kennedy Flanagan,https://www.sports-reference.com/cbb/players/kennedy-flanagan-1.html,western-illinois,2023-24
5,79,5,2023-11-18,Western Illinois,@,Valparaiso,REG (Non-Conf),W 76-54,,9,0,0,,0,0,,0,0,,,1,2,.500,1,1,2,0,0,0,2,3,1,-1.6,Kennedy Flanagan,https://www.sports-reference.com/cbb/players/kennedy-flanagan-1.html,western-illinois,2023-24
6,80,6,2023-11-20,Western Illinois,,Stephens,REG (Non-Conf),W 80-51,,9,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,0,0,2,0,0,1,1,0,-0.7,Kennedy Flanagan,https://www.sports-reference.com/cbb/players/kennedy-flanagan-1.html,western-illinois,2023-24
7,81,7,2023-11-28,Western Illinois,,Chicago State,REG (Non-Conf),W 86-72,,12,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,1,1,0,0,0,1,1,0,-1.8,Kennedy Flanagan,https://www.sports-reference.com/cbb/players/kennedy-flanagan-1.html,western-illinois,2023-24
8,82,8,2023-12-02,Western Illinois,,St. Thomas,REG (Non-Conf),W 82-78,,8,0,2,.000,0,2,.000,0,0,,.000,0,0,,0,1,1,3,0,1,0,1,0,1.3,Kennedy Flanagan,https://www.sports-reference.com/cbb/players/kennedy-flanagan-1.html,western-illinois,2023-24
9,83,9,2023-12-05,Western Illinois,,Omaha,REG (Non-Conf),W 78-75,,3,1,1,1.000,0,0,,1,1,1.000,1.000,0,0,,0,0,0,0,0,0,1,1,2,0.3,Kennedy Flanagan,https://www.sports-reference.com/cbb/players/kennedy-flanagan-1.html,western-illinois,2023-24
10,84,10,2023-12-10,Western Illinois,@,Kansas City,REG (Non-Conf),L 60-68,,11,2,6,.333,2,5,.400,0,1,.000,.500,0,0,,0,0,0,0,0,0,1,1,6,1.2,Kennedy Flanagan,https://www.sports-reference.com/cbb/players/kennedy-flanagan-1.html,western-illinois,2023-24
11,85,11,2023-12-21,Western Illinois,,Cornell College,REG (Non-Conf),W 116-55,,14,3,4,.750,0,1,.000,3,3,1.000,.750,0,0,,1,2,3,3,0,0,0,1,6,7.4,Kennedy Flanagan,https://www.sports-reference.com/cbb/players/kennedy-flanagan-1.html,western-illinois,2023-24
12,86,12,2023-12-31,Western Illinois,@,SIU Edwardsville,REG (Conf),W 81-75,*,10,1,3,.333,0,1,.000,1,2,.500,.333,0,0,,1,1,2,1,0,0,0,2,2,1.2,Kennedy Flanagan,https://www.sports-reference.com/cbb/players/kennedy-flanagan-1.html,western-illinois,2023-24
13,87,13,2024-01-04,Western Illinois,,Southeast Missouri State,REG (Conf),L 66-72,,13,0,1,.000,0,0,,0,1,.000,.000,2,2,1.000,0,2,2,0,0,0,1,2,2,0.1,Kennedy Flanagan,https://www.sports-reference.com/cbb/players/kennedy-flanagan-1.html,western-illinois,2023-24
14,88,14,2024-01-06,Western Illinois,,Lindenwood,REG (Conf),W 74-58,,3,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,Kennedy Flanagan,https://www.sports-reference.com/cbb/players/kennedy-flanagan-1.html,western-illinois,2023-24
15,89,15,2024-01-11,Western Illinois,@,UT Martin,REG (Conf),L 49-68,,5,0,1,.000,0,0,,0,1,.000,.000,1,2,.500,1,1,2,0,0,0,0,0,1,0.9,Kennedy Flanagan,https://www.sports-reference.com/cbb/players/kennedy-flanagan-1.html,western-illinois,2023-24
16,90,18,2024-01-25,Western Illinois,@,Southern Indiana,REG (Conf),L 61-81,,7,0,2,.000,0,2,.000,0,0,,.000,0,0,,1,1,2,0,0,0,1,2,0,-2.2,Kennedy Flanagan,https://www.sports-reference.com/cbb/players/kennedy-flanagan-1.html,western-illinois,2023-24
17,91,24,2024-02-15,Western Illinois,@,Tennessee Tech,REG (Conf),L 66-77,,11,3,4,.750,0,0,,3,4,.750,.750,0,0,,0,0,0,1,0,0,1,2,6,3.3,Kennedy Flanagan,https://www.sports-reference.com/cbb/players/kennedy-flanagan-1.html,western-illinois,2023-24
18,92,26,2024-02-22,Western Illinois,,Morehead State,REG (Conf),L 85-87 (2OT),,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0.0,Kennedy Flanagan,https://www.sports-reference.com/cbb/players/kennedy-flanagan-1.html,western-illinois,2023-24
19,93,27,2024-02-24,Western Illinois,,Southern Indiana,REG (Conf),L 89-96 (OT),,17,1,4,.250,0,3,.000,1,1,1.000,.250,0,0,,0,2,2,2,1,1,0,2,2,2.5,Kennedy Flanagan,https://www.sports-reference.com/cbb/players/kennedy-flanagan-1.html,western-illinois,2023-24
20,94,29,2024-03-02,Western Illinois,,SIU Edwardsville,REG (Conf),W 84-56,,5,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,0,0,1,0,0,0,1,0,-0.4,Kennedy Flanagan,https://www.sports-reference.com/cbb/players/kennedy-flanagan-1.html,western-illinois,2023-24
