ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,79,1,2023-11-06,Western Illinois,,Mt. Mercy,REG (Non-Conf),W 81-57,,19,4,10,.400,0,4,.000,4,6,.667,.400,5,5,1.000,0,1,1,0,0,0,2,2,13,5.1,Mallory McDermott,https://www.sports-reference.com/cbb/players/mallory-mcdermott-1.html,western-illinois,2023-24
2,80,2,2023-11-09,Western Illinois,@,Wisconsin,REG (Non-Conf),L 52-74,,14,2,5,.400,2,5,.400,0,0,,.600,2,2,1.000,1,2,3,0,1,0,1,2,8,5.8,Mallory McDermott,https://www.sports-reference.com/cbb/players/mallory-mcdermott-1.html,western-illinois,2023-24
3,81,3,2023-11-12,Western Illinois,,Northern Illinois,REG (Non-Conf),W 95-62,,22,4,11,.364,1,4,.250,3,7,.429,.409,0,0,,1,3,4,3,2,0,1,2,9,6.8,Mallory McDermott,https://www.sports-reference.com/cbb/players/mallory-mcdermott-1.html,western-illinois,2023-24
4,82,4,2023-11-15,Western Illinois,,Hannibal-LaGrange,REG (Non-Conf),W 101-23,*,21,7,13,.538,3,8,.375,4,5,.800,.654,1,1,1.000,2,3,5,1,4,0,2,0,18,16.7,Mallory McDermott,https://www.sports-reference.com/cbb/players/mallory-mcdermott-1.html,western-illinois,2023-24
5,83,5,2023-11-18,Western Illinois,@,Valparaiso,REG (Non-Conf),W 76-54,,20,4,10,.400,1,4,.250,3,6,.500,.450,3,3,1.000,0,3,3,0,0,0,1,1,12,6.1,Mallory McDermott,https://www.sports-reference.com/cbb/players/mallory-mcdermott-1.html,western-illinois,2023-24
6,84,6,2023-11-20,Western Illinois,,Stephens,REG (Non-Conf),W 80-51,,14,5,9,.556,5,7,.714,0,2,.000,.833,0,0,,0,2,2,1,0,0,0,2,15,11.2,Mallory McDermott,https://www.sports-reference.com/cbb/players/mallory-mcdermott-1.html,western-illinois,2023-24
7,85,7,2023-11-28,Western Illinois,,Chicago State,REG (Non-Conf),W 86-72,,17,2,7,.286,2,4,.500,0,3,.000,.429,2,2,1.000,0,0,0,0,1,0,1,2,8,3.1,Mallory McDermott,https://www.sports-reference.com/cbb/players/mallory-mcdermott-1.html,western-illinois,2023-24
8,86,8,2023-12-02,Western Illinois,,St. Thomas,REG (Non-Conf),W 82-78,,19,6,9,.667,5,7,.714,1,2,.500,.944,0,0,,0,3,3,0,0,0,1,0,17,13.0,Mallory McDermott,https://www.sports-reference.com/cbb/players/mallory-mcdermott-1.html,western-illinois,2023-24
9,87,9,2023-12-05,Western Illinois,,Omaha,REG (Non-Conf),W 78-75,,4,1,4,.250,0,1,.000,1,3,.333,.250,0,0,,0,2,2,0,0,0,0,0,2,0.2,Mallory McDermott,https://www.sports-reference.com/cbb/players/mallory-mcdermott-1.html,western-illinois,2023-24
10,88,10,2023-12-10,Western Illinois,@,Kansas City,REG (Non-Conf),L 60-68,,15,1,3,.333,0,1,.000,1,2,.500,.333,0,0,,0,1,1,0,0,0,0,2,2,-0.2,Mallory McDermott,https://www.sports-reference.com/cbb/players/mallory-mcdermott-1.html,western-illinois,2023-24
11,89,11,2023-12-21,Western Illinois,,Cornell College,REG (Non-Conf),W 116-55,,20,9,14,.643,7,10,.700,2,4,.500,.893,2,2,1.000,0,2,2,0,1,0,0,1,27,22.0,Mallory McDermott,https://www.sports-reference.com/cbb/players/mallory-mcdermott-1.html,western-illinois,2023-24
12,90,12,2023-12-31,Western Illinois,@,SIU Edwardsville,REG (Conf),W 81-75,,19,5,10,.500,3,7,.429,2,3,.667,.650,2,2,1.000,0,2,2,1,0,0,2,1,15,8.9,Mallory McDermott,https://www.sports-reference.com/cbb/players/mallory-mcdermott-1.html,western-illinois,2023-24
13,91,13,2024-01-04,Western Illinois,,Southeast Missouri State,REG (Conf),L 66-72,,24,3,9,.333,3,8,.375,0,1,.000,.500,2,2,1.000,1,4,5,1,0,0,0,0,11,8.5,Mallory McDermott,https://www.sports-reference.com/cbb/players/mallory-mcdermott-1.html,western-illinois,2023-24
14,92,14,2024-01-06,Western Illinois,,Lindenwood,REG (Conf),W 74-58,,14,2,7,.286,0,4,.000,2,3,.667,.286,0,0,,0,1,1,1,3,0,3,3,4,-0.3,Mallory McDermott,https://www.sports-reference.com/cbb/players/mallory-mcdermott-1.html,western-illinois,2023-24
15,93,15,2024-01-11,Western Illinois,@,UT Martin,REG (Conf),L 49-68,,15,1,9,.111,0,3,.000,1,6,.167,.111,0,0,,1,1,2,0,0,0,1,1,2,-4.3,Mallory McDermott,https://www.sports-reference.com/cbb/players/mallory-mcdermott-1.html,western-illinois,2023-24
16,94,16,2024-01-13,Western Illinois,@,Eastern Illinois,REG (Conf),L 63-72,,14,2,7,.286,1,4,.250,1,3,.333,.357,0,0,,0,0,0,1,1,0,0,0,5,2.6,Mallory McDermott,https://www.sports-reference.com/cbb/players/mallory-mcdermott-1.html,western-illinois,2023-24
17,95,17,2024-01-20,Western Illinois,,Tennessee State,REG (Conf),W 79-71 (OT),,10,2,4,.500,0,1,.000,2,3,.667,.500,0,0,,0,1,1,0,0,0,1,1,4,0.9,Mallory McDermott,https://www.sports-reference.com/cbb/players/mallory-mcdermott-1.html,western-illinois,2023-24
18,96,18,2024-01-25,Western Illinois,@,Southern Indiana,REG (Conf),L 61-81,,18,2,7,.286,0,4,.000,2,3,.667,.286,0,0,,0,0,0,0,1,0,1,0,4,-0.1,Mallory McDermott,https://www.sports-reference.com/cbb/players/mallory-mcdermott-1.html,western-illinois,2023-24
19,97,19,2024-01-27,Western Illinois,@,Morehead State,REG (Conf),W 65-59,,14,4,6,.667,4,5,.800,0,1,.000,1.000,0,0,,0,2,2,1,1,0,0,1,12,11.3,Mallory McDermott,https://www.sports-reference.com/cbb/players/mallory-mcdermott-1.html,western-illinois,2023-24
20,98,20,2024-02-01,Western Illinois,@,Lindenwood,REG (Conf),W 75-68,,14,5,9,.556,4,7,.571,1,2,.500,.778,1,2,.500,0,0,0,0,0,0,0,2,15,9.5,Mallory McDermott,https://www.sports-reference.com/cbb/players/mallory-mcdermott-1.html,western-illinois,2023-24
21,99,21,2024-02-03,Western Illinois,@,Southeast Missouri State,REG (Conf),W 70-59,,9,0,3,.000,0,3,.000,0,0,,.000,0,0,,0,2,2,1,0,0,0,2,0,-1.6,Mallory McDermott,https://www.sports-reference.com/cbb/players/mallory-mcdermott-1.html,western-illinois,2023-24
22,100,22,2024-02-08,Western Illinois,,Little Rock,REG (Conf),L 41-50,,16,1,4,.250,1,3,.333,0,1,.000,.375,0,0,,0,0,0,0,0,0,0,0,3,0.6,Mallory McDermott,https://www.sports-reference.com/cbb/players/mallory-mcdermott-1.html,western-illinois,2023-24
23,101,23,2024-02-10,Western Illinois,,UT Martin,REG (Conf),W 71-61,,17,4,8,.500,2,6,.333,2,2,1.000,.625,1,2,.500,0,3,3,0,0,0,1,2,11,5.7,Mallory McDermott,https://www.sports-reference.com/cbb/players/mallory-mcdermott-1.html,western-illinois,2023-24
24,102,24,2024-02-15,Western Illinois,@,Tennessee Tech,REG (Conf),L 66-77,,26,6,9,.667,4,7,.571,2,2,1.000,.889,0,0,,0,3,3,1,2,0,3,2,16,11.9,Mallory McDermott,https://www.sports-reference.com/cbb/players/mallory-mcdermott-1.html,western-illinois,2023-24
25,103,25,2024-02-17,Western Illinois,@,Tennessee State,REG (Conf),L 71-84,,15,3,9,.333,0,4,.000,3,5,.600,.333,0,0,,0,3,3,0,0,0,1,0,6,0.8,Mallory McDermott,https://www.sports-reference.com/cbb/players/mallory-mcdermott-1.html,western-illinois,2023-24
26,104,26,2024-02-22,Western Illinois,,Morehead State,REG (Conf),L 85-87 (2OT),,31,5,12,.417,1,6,.167,4,6,.667,.458,6,7,.857,0,3,3,0,0,0,0,2,17,10.3,Mallory McDermott,https://www.sports-reference.com/cbb/players/mallory-mcdermott-1.html,western-illinois,2023-24
27,105,27,2024-02-24,Western Illinois,,Southern Indiana,REG (Conf),L 89-96 (OT),,27,2,9,.222,1,5,.200,1,4,.250,.278,4,4,1.000,0,1,1,1,1,0,0,3,9,4.3,Mallory McDermott,https://www.sports-reference.com/cbb/players/mallory-mcdermott-1.html,western-illinois,2023-24
28,106,28,2024-02-29,Western Illinois,,Eastern Illinois,REG (Conf),W 64-54,,19,1,7,.143,1,3,.333,0,4,.000,.214,0,0,,0,2,2,1,0,0,0,0,3,-0.2,Mallory McDermott,https://www.sports-reference.com/cbb/players/mallory-mcdermott-1.html,western-illinois,2023-24
