ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,119,1,2024-11-04,Boise State,,Eastern Ore.,REG (Non-Conf),W 87-57,*,18,4,6,.667,1,2,.500,3,4,.750,.750,0,0,,1,4,5,5,0,0,1,0,9,10.8,Mary Kay Naro,https://www.sports-reference.com/cbb/players/mary-kay-naro-1.html,boise-state,2024-25
2,120,2,2024-11-10,Boise State,,Colorado,REG (Non-Conf),W 50-47,*,30,2,4,.500,0,1,.000,2,3,.667,.500,2,2,1.000,1,3,4,1,1,2,1,3,6,6.5,Mary Kay Naro,https://www.sports-reference.com/cbb/players/mary-kay-naro-1.html,boise-state,2024-25
3,121,3,2024-11-14,Boise State,,UC Riverside,REG (Non-Conf),W 72-57,*,29,2,4,.500,0,2,.000,2,2,1.000,.500,0,0,,3,4,7,5,1,3,4,0,4,7.9,Mary Kay Naro,https://www.sports-reference.com/cbb/players/mary-kay-naro-1.html,boise-state,2024-25
4,122,4,2024-11-18,Boise State,,Coll. of Idaho,REG (Non-Conf),W 86-34,*,13,0,2,.000,0,1,.000,0,1,.000,.000,0,0,,0,2,2,1,1,1,0,1,0,1.2,Mary Kay Naro,https://www.sports-reference.com/cbb/players/mary-kay-naro-1.html,boise-state,2024-25
5,123,5,2024-11-21,Boise State,@,San Francisco,REG (Non-Conf),W 59-57,*,34,4,9,.444,3,3,1.000,1,6,.167,.611,0,0,,2,4,6,2,2,0,1,0,11,11.3,Mary Kay Naro,https://www.sports-reference.com/cbb/players/mary-kay-naro-1.html,boise-state,2024-25
6,124,6,2024-11-24,Boise State,,Weber State,REG (Non-Conf),W 96-46,*,21,1,5,.200,0,1,.000,1,4,.250,.200,2,2,1.000,1,4,5,5,0,1,0,0,4,7.0,Mary Kay Naro,https://www.sports-reference.com/cbb/players/mary-kay-naro-1.html,boise-state,2024-25
7,125,7,2024-11-29,Boise State,N,Illinois State,REG (Non-Conf),W 79-76,*,32,3,5,.600,0,2,.000,3,3,1.000,.600,3,4,.750,0,2,2,6,1,0,1,4,9,9.5,Mary Kay Naro,https://www.sports-reference.com/cbb/players/mary-kay-naro-1.html,boise-state,2024-25
8,126,8,2024-11-30,Boise State,N,West Virginia,REG (Non-Conf),L 47-82,*,17,0,2,.000,0,2,.000,0,0,,.000,0,0,,0,3,3,0,0,0,4,2,0,-5.3,Mary Kay Naro,https://www.sports-reference.com/cbb/players/mary-kay-naro-1.html,boise-state,2024-25
9,127,9,2024-12-01,Boise State,N,Butler,REG (Non-Conf),L 64-70,*,27,0,3,.000,0,2,.000,0,1,.000,.000,2,2,1.000,0,0,0,3,1,0,2,2,2,0.2,Mary Kay Naro,https://www.sports-reference.com/cbb/players/mary-kay-naro-1.html,boise-state,2024-25
10,128,10,2024-12-06,Boise State,,Utah Tech,REG (Non-Conf),W 90-56,*,22,0,2,.000,0,1,.000,0,1,.000,.000,4,4,1.000,1,2,3,2,2,1,3,1,4,4.6,Mary Kay Naro,https://www.sports-reference.com/cbb/players/mary-kay-naro-1.html,boise-state,2024-25
11,129,11,2024-12-08,Boise State,,San Diego,REG (Non-Conf),W 76-59,*,29,1,4,.250,0,0,,1,4,.250,.250,0,0,,2,2,4,3,1,1,1,0,2,4.4,Mary Kay Naro,https://www.sports-reference.com/cbb/players/mary-kay-naro-1.html,boise-state,2024-25
12,130,12,2024-12-18,Boise State,N,Furman,REG (Non-Conf),W 74-65,*,37,0,2,.000,0,1,.000,0,1,.000,.000,0,0,,0,6,6,11,4,1,1,0,0,11.8,Mary Kay Naro,https://www.sports-reference.com/cbb/players/mary-kay-naro-1.html,boise-state,2024-25
