ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,81,1,2024-11-04,Boston College,,Lafayette,REG (Non-Conf),W 85-55,*,29,3,12,.250,0,3,.000,3,9,.333,.250,7,10,.700,4,7,11,3,3,0,1,0,13,13.6,Andrea Daley,https://www.sports-reference.com/cbb/players/andrea-daley-1.html,boston-college,2024-25
2,82,2,2024-11-07,Boston College,,Sacred Heart,REG (Non-Conf),W 102-58,*,21,8,12,.667,2,3,.667,6,9,.667,.750,1,2,.500,1,7,8,2,5,0,2,2,19,19.8,Andrea Daley,https://www.sports-reference.com/cbb/players/andrea-daley-1.html,boston-college,2024-25
3,83,3,2024-11-11,Boston College,,Northeastern,REG (Non-Conf),W 92-46,*,22,5,10,.500,1,4,.250,4,6,.667,.550,2,2,1.000,0,5,5,2,0,0,0,0,13,10.9,Andrea Daley,https://www.sports-reference.com/cbb/players/andrea-daley-1.html,boston-college,2024-25
4,84,4,2024-11-14,Boston College,@,Harvard,REG (Non-Conf),L 70-78,*,32,4,9,.444,2,5,.400,2,4,.500,.556,3,4,.750,2,2,4,0,1,1,2,3,13,8.4,Andrea Daley,https://www.sports-reference.com/cbb/players/andrea-daley-1.html,boston-college,2024-25
5,85,5,2024-11-17,Boston College,,Providence,REG (Non-Conf),W 67-60,*,30,3,8,.375,0,1,.000,3,7,.429,.375,2,2,1.000,1,8,9,0,1,0,3,2,8,3.9,Andrea Daley,https://www.sports-reference.com/cbb/players/andrea-daley-1.html,boston-college,2024-25
6,86,6,2024-11-20,Boston College,,New Hampshire,REG (Non-Conf),W 80-45,*,16,6,11,.545,0,2,.000,6,9,.667,.545,0,0,,1,4,5,1,1,0,1,0,12,9.3,Andrea Daley,https://www.sports-reference.com/cbb/players/andrea-daley-1.html,boston-college,2024-25
7,87,7,2024-11-23,Boston College,@,Holy Cross,REG (Non-Conf),W 81-55,*,18,3,5,.600,0,1,.000,3,4,.750,.600,4,5,.800,1,2,3,1,0,0,2,0,10,7.3,Andrea Daley,https://www.sports-reference.com/cbb/players/andrea-daley-1.html,boston-college,2024-25
8,88,8,2024-11-25,Boston College,N,Ole Miss,REG (Non-Conf),L 55-92,*,20,4,6,.667,0,0,,4,6,.667,.667,2,3,.667,0,1,1,0,1,1,3,2,10,5.2,Andrea Daley,https://www.sports-reference.com/cbb/players/andrea-daley-1.html,boston-college,2024-25
9,89,9,2024-11-27,Boston College,N,Oregon State,REG (Non-Conf),L 49-54,*,22,3,6,.500,1,2,.500,2,4,.500,.583,0,0,,2,2,4,3,0,0,2,0,7,6.1,Andrea Daley,https://www.sports-reference.com/cbb/players/andrea-daley-1.html,boston-college,2024-25
10,90,10,2024-12-05,Boston College,@,Arkansas,REG (Non-Conf),L 64-75,*,27,6,10,.600,1,1,1.000,5,9,.556,.650,0,0,,2,5,7,1,2,0,3,4,13,9.4,Andrea Daley,https://www.sports-reference.com/cbb/players/andrea-daley-1.html,boston-college,2024-25
11,91,11,2024-12-08,Boston College,@,Virginia,REG (Conf),W 72-57,*,24,5,9,.556,0,2,.000,5,7,.714,.556,2,3,.667,2,1,3,3,1,0,2,3,12,8.9,Andrea Daley,https://www.sports-reference.com/cbb/players/andrea-daley-1.html,boston-college,2024-25
12,92,12,2024-12-11,Boston College,,Massachusetts,REG (Non-Conf),W 62-57,*,32,2,10,.200,1,3,.333,1,7,.143,.250,2,2,1.000,5,9,14,2,2,0,3,1,7,7.0,Andrea Daley,https://www.sports-reference.com/cbb/players/andrea-daley-1.html,boston-college,2024-25
13,93,13,2024-12-15,Boston College,,Bryant,REG (Non-Conf),W 94-46,*,14,2,6,.333,0,2,.000,2,4,.500,.333,1,1,1.000,2,1,3,6,1,0,4,2,5,3.7,Andrea Daley,https://www.sports-reference.com/cbb/players/andrea-daley-1.html,boston-college,2024-25
14,94,15,2024-12-29,Boston College,,Louisville,REG (Conf),L 73-86,*,26,2,6,.333,0,0,,2,6,.333,.333,0,2,.000,1,1,2,5,0,0,5,5,4,-2.7,Andrea Daley,https://www.sports-reference.com/cbb/players/andrea-daley-1.html,boston-college,2024-25
15,95,16,2025-01-02,Boston College,,Duke,REG (Conf),L 59-86,*,19,2,8,.250,0,1,.000,2,7,.286,.250,2,3,.667,2,3,5,2,4,0,3,1,6,5.1,Andrea Daley,https://www.sports-reference.com/cbb/players/andrea-daley-1.html,boston-college,2024-25
16,96,17,2025-01-05,Boston College,@,NC State,REG (Conf),L 52-91,,16,2,5,.400,0,1,.000,2,4,.500,.400,0,0,,0,3,3,0,1,0,1,2,4,1.4,Andrea Daley,https://www.sports-reference.com/cbb/players/andrea-daley-1.html,boston-college,2024-25
17,97,18,2025-01-12,Boston College,@,North Carolina,REG (Conf),L 67-80,,28,4,12,.333,0,3,.000,4,9,.444,.333,2,2,1.000,1,5,6,0,0,1,1,1,10,4.7,Andrea Daley,https://www.sports-reference.com/cbb/players/andrea-daley-1.html,boston-college,2024-25
