ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,1,1,2024-11-04,UC Irvine,,New Mexico State,REG (Non-Conf),L 49-57,,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0.0,Daniela Falcon Hernandez,https://www.sports-reference.com/cbb/players/daniela-falcon-hernandez-1.html,california-irvine,2024-25
2,2,2,2024-11-07,UC Irvine,,Pepperdine,REG (Non-Conf),W 65-56,,5,0,0,,0,0,,0,0,,,0,2,.000,0,0,0,0,0,0,1,2,0,-2.6,Daniela Falcon Hernandez,https://www.sports-reference.com/cbb/players/daniela-falcon-hernandez-1.html,california-irvine,2024-25
3,3,3,2024-11-11,UC Irvine,,William & Mary,REG (Non-Conf),W 72-55,,1,1,1,1.000,0,0,,1,1,1.000,1.000,0,0,,0,0,0,0,0,0,0,0,2,1.7,Daniela Falcon Hernandez,https://www.sports-reference.com/cbb/players/daniela-falcon-hernandez-1.html,california-irvine,2024-25
4,4,4,2024-11-16,UC Irvine,,St. Mary's (CA),REG (Non-Conf),W 64-61,,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,1,0,0,0,0,1.0,Daniela Falcon Hernandez,https://www.sports-reference.com/cbb/players/daniela-falcon-hernandez-1.html,california-irvine,2024-25
5,5,5,2024-11-20,UC Irvine,@,Drexel,REG (Non-Conf),W 57-47,,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,Daniela Falcon Hernandez,https://www.sports-reference.com/cbb/players/daniela-falcon-hernandez-1.html,california-irvine,2024-25
6,6,6,2024-11-21,UC Irvine,@,Pennsylvania,REG (Non-Conf),W 72-68 (OT),,3,1,2,.500,0,0,,1,2,.500,.500,1,2,.500,0,1,1,0,0,0,0,1,3,1.5,Daniela Falcon Hernandez,https://www.sports-reference.com/cbb/players/daniela-falcon-hernandez-1.html,california-irvine,2024-25
7,7,8,2024-11-30,UC Irvine,@,Denver,REG (Non-Conf),L 50-60,,5,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,Daniela Falcon Hernandez,https://www.sports-reference.com/cbb/players/daniela-falcon-hernandez-1.html,california-irvine,2024-25
8,8,9,2024-12-05,UC Irvine,@,Cal State Bakersfield,REG (Conf),W 65-40,,7,1,3,.333,0,0,,1,3,.333,.333,0,0,,0,0,0,1,0,0,0,1,2,0.6,Daniela Falcon Hernandez,https://www.sports-reference.com/cbb/players/daniela-falcon-hernandez-1.html,california-irvine,2024-25
9,9,10,2024-12-15,UC Irvine,@,Oregon State,REG (Non-Conf),W 60-48,,7,2,2,1.000,0,0,,2,2,1.000,1.000,1,2,.500,2,0,2,0,0,0,0,1,5,5.0,Daniela Falcon Hernandez,https://www.sports-reference.com/cbb/players/daniela-falcon-hernandez-1.html,california-irvine,2024-25
10,10,11,2024-12-19,UC Irvine,@,Oregon,REG (Non-Conf),L 43-71,,5,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,0,0,0,0,0,1,0,0,-1.7,Daniela Falcon Hernandez,https://www.sports-reference.com/cbb/players/daniela-falcon-hernandez-1.html,california-irvine,2024-25
