ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,43,1,2024-11-04,Central Arkansas,,Hendrix,REG (Non-Conf),W 104-30,,15,2,6,.333,0,2,.000,2,4,.500,.333,0,0,,2,5,7,0,1,1,1,3,4,3.0,Destine Duckworth,https://www.sports-reference.com/cbb/players/destine-duckworth-1.html,central-arkansas,2024-25
2,44,2,2024-11-08,Central Arkansas,,Samford,REG (Non-Conf),W 63-44,,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0.0,Destine Duckworth,https://www.sports-reference.com/cbb/players/destine-duckworth-1.html,central-arkansas,2024-25
3,45,3,2024-11-16,Central Arkansas,@,UT Martin,REG (Non-Conf),W 87-67,,12,3,4,.750,0,0,,3,4,.750,.750,0,0,,1,6,7,0,0,0,1,2,6,5.1,Destine Duckworth,https://www.sports-reference.com/cbb/players/destine-duckworth-1.html,central-arkansas,2024-25
4,46,4,2024-11-20,Central Arkansas,@,Oklahoma State,REG (Non-Conf),L 58-89,,13,2,4,.500,2,3,.667,0,1,.000,.750,1,2,.500,1,1,2,0,0,0,1,3,7,3.4,Destine Duckworth,https://www.sports-reference.com/cbb/players/destine-duckworth-1.html,central-arkansas,2024-25
5,47,5,2024-11-25,Central Arkansas,,Central Baptist,REG (Non-Conf),W 120-47,,21,3,7,.429,1,1,1.000,2,6,.333,.500,0,0,,3,4,7,1,0,1,0,1,7,7.6,Destine Duckworth,https://www.sports-reference.com/cbb/players/destine-duckworth-1.html,central-arkansas,2024-25
6,48,6,2024-12-01,Central Arkansas,@,Kansas State,REG (Non-Conf),L 39-86,,15,1,4,.250,1,3,.333,0,1,.000,.375,0,0,,0,0,0,0,0,0,0,0,3,0.6,Destine Duckworth,https://www.sports-reference.com/cbb/players/destine-duckworth-1.html,central-arkansas,2024-25
7,49,7,2024-12-07,Central Arkansas,,Little Rock,REG (Non-Conf),W 55-42,,3,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,0,0,0,0,0,1,2,0,-2.5,Destine Duckworth,https://www.sports-reference.com/cbb/players/destine-duckworth-1.html,central-arkansas,2024-25
8,50,8,2024-12-14,Central Arkansas,@,Northwestern State,REG (Non-Conf),W 62-52,,9,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,Destine Duckworth,https://www.sports-reference.com/cbb/players/destine-duckworth-1.html,central-arkansas,2024-25
9,51,9,2024-12-20,Central Arkansas,N,Louisiana–Monroe,REG (Non-Conf),L 49-65,,10,1,2,.500,0,0,,1,2,.500,.500,2,2,1.000,0,0,0,0,0,1,0,0,4,3.7,Destine Duckworth,https://www.sports-reference.com/cbb/players/destine-duckworth-1.html,central-arkansas,2024-25
10,52,10,2024-12-21,Central Arkansas,N,Alabama A&M,REG (Non-Conf),L 53-55,,7,0,3,.000,0,0,,0,3,.000,.000,0,0,,0,2,2,0,0,0,1,2,0,-3.3,Destine Duckworth,https://www.sports-reference.com/cbb/players/destine-duckworth-1.html,central-arkansas,2024-25
11,53,11,2024-12-29,Central Arkansas,@,Arkansas,REG (Non-Conf),L 70-87,,9,1,4,.250,1,2,.500,0,2,.000,.375,1,2,.500,0,3,3,1,0,0,0,2,4,2.0,Destine Duckworth,https://www.sports-reference.com/cbb/players/destine-duckworth-1.html,central-arkansas,2024-25
12,54,12,2025-01-02,Central Arkansas,,Jacksonville,REG (Conf),W 74-63,,9,1,4,.250,1,2,.500,0,2,.000,.375,0,0,,0,1,1,1,0,0,0,2,3,0.8,Destine Duckworth,https://www.sports-reference.com/cbb/players/destine-duckworth-1.html,central-arkansas,2024-25
13,55,13,2025-01-04,Central Arkansas,@,Bellarmine,REG (Conf),L 60-68,,15,3,7,.429,1,3,.333,2,4,.500,.500,0,0,,1,1,2,0,0,0,0,1,7,3.9,Destine Duckworth,https://www.sports-reference.com/cbb/players/destine-duckworth-1.html,central-arkansas,2024-25
14,56,14,2025-01-08,Central Arkansas,,Lipscomb,REG (Conf),W 86-75,,13,2,4,.500,1,2,.500,1,2,.500,.625,0,0,,1,3,4,0,0,0,0,2,5,3.8,Destine Duckworth,https://www.sports-reference.com/cbb/players/destine-duckworth-1.html,central-arkansas,2024-25
15,57,15,2025-01-12,Central Arkansas,@,Queens (NC),REG (Conf),W 66-57,,10,3,5,.600,2,3,.667,1,2,.500,.800,0,0,,0,2,2,0,0,0,3,1,8,2.9,Destine Duckworth,https://www.sports-reference.com/cbb/players/destine-duckworth-1.html,central-arkansas,2024-25
16,58,16,2025-01-16,Central Arkansas,,North Florida,REG (Conf),W 67-53,,4,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,1,1,1,0,0,0,0,0,0.3,Destine Duckworth,https://www.sports-reference.com/cbb/players/destine-duckworth-1.html,central-arkansas,2024-25
17,59,17,2025-01-18,Central Arkansas,,Stetson,REG (Conf),W 85-64,,10,2,4,.500,2,2,1.000,0,2,.000,.750,2,2,1.000,1,2,3,1,0,0,0,1,8,7.6,Destine Duckworth,https://www.sports-reference.com/cbb/players/destine-duckworth-1.html,central-arkansas,2024-25
18,60,18,2025-01-23,Central Arkansas,@,Lipscomb,REG (Conf),W 71-69,,16,2,9,.222,0,2,.000,2,7,.286,.222,1,2,.500,2,2,4,0,0,0,2,4,5,-2.5,Destine Duckworth,https://www.sports-reference.com/cbb/players/destine-duckworth-1.html,central-arkansas,2024-25
19,61,19,2025-01-25,Central Arkansas,@,Austin Peay,REG (Conf),W 51-50,,12,1,5,.200,1,4,.250,0,1,.000,.300,0,0,,0,2,2,0,0,0,3,0,3,-2.5,Destine Duckworth,https://www.sports-reference.com/cbb/players/destine-duckworth-1.html,central-arkansas,2024-25
