ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,100,1,2024-11-04,Colorado,@,Wyoming,REG (Non-Conf),W 56-50,*,24,1,3,.333,0,0,,1,3,.333,.333,1,4,.250,3,3,6,5,1,0,3,5,3,2.6,Kindyll Wetta,https://www.sports-reference.com/cbb/players/kindyll-wetta-1.html,colorado,2024-25
2,101,2,2024-11-07,Colorado,,Northern Colorado,REG (Non-Conf),W 81-66,*,30,2,9,.222,0,2,.000,2,7,.286,.222,0,0,,0,1,1,10,1,0,1,3,4,4.6,Kindyll Wetta,https://www.sports-reference.com/cbb/players/kindyll-wetta-1.html,colorado,2024-25
3,102,3,2024-11-10,Colorado,@,Boise State,REG (Non-Conf),L 47-50,*,33,2,8,.250,0,3,.000,2,5,.400,.250,4,4,1.000,1,5,6,4,4,0,6,2,8,5.4,Kindyll Wetta,https://www.sports-reference.com/cbb/players/kindyll-wetta-1.html,colorado,2024-25
4,103,4,2024-11-12,Colorado,N,Nevada,REG (Non-Conf),W 75-59,*,20,5,8,.625,1,3,.333,4,5,.800,.688,1,4,.250,3,2,5,2,1,0,1,2,12,10.5,Kindyll Wetta,https://www.sports-reference.com/cbb/players/kindyll-wetta-1.html,colorado,2024-25
5,104,5,2024-11-17,Colorado,,Southern,REG (Non-Conf),W 65-45,*,25,2,6,.333,0,0,,2,6,.333,.333,0,0,,1,2,3,5,3,0,1,2,4,6.6,Kindyll Wetta,https://www.sports-reference.com/cbb/players/kindyll-wetta-1.html,colorado,2024-25
6,105,6,2024-11-19,Colorado,,Utah State,REG (Non-Conf),W 95-65,*,26,3,6,.500,0,0,,3,6,.500,.500,0,2,.000,0,5,5,9,3,0,1,3,6,10.8,Kindyll Wetta,https://www.sports-reference.com/cbb/players/kindyll-wetta-1.html,colorado,2024-25
7,106,7,2024-11-27,Colorado,@,Utah Tech,REG (Non-Conf),W 85-73,*,30,4,6,.667,0,1,.000,4,5,.800,.667,0,0,,1,3,4,8,3,0,4,4,8,10.0,Kindyll Wetta,https://www.sports-reference.com/cbb/players/kindyll-wetta-1.html,colorado,2024-25
8,107,8,2024-11-30,Colorado,,Louisville,REG (Non-Conf),L 71-79,*,24,1,3,.333,0,0,,1,3,.333,.333,3,4,.750,2,1,3,10,2,0,5,3,5,7.4,Kindyll Wetta,https://www.sports-reference.com/cbb/players/kindyll-wetta-1.html,colorado,2024-25
9,108,9,2024-12-03,Colorado,,Tennessee Tech,REG (Non-Conf),W 91-79,*,22,1,2,.500,0,0,,1,2,.500,.500,0,0,,0,2,2,8,1,0,2,0,2,6.2,Kindyll Wetta,https://www.sports-reference.com/cbb/players/kindyll-wetta-1.html,colorado,2024-25
10,109,12,2024-12-21,Colorado,,West Virginia,REG (Conf),W 65-60,*,17,0,2,.000,0,0,,0,2,.000,.000,4,4,1.000,0,5,5,3,1,0,3,4,4,2.6,Kindyll Wetta,https://www.sports-reference.com/cbb/players/kindyll-wetta-1.html,colorado,2024-25
