ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,48,1,2024-11-04,Columbia,,Stony Brook,REG (Non-Conf),W 87-47,*,23,3,6,.500,1,2,.500,2,4,.500,.583,0,0,,2,0,2,1,1,0,4,3,7,1.9,Susie Rafiu,https://www.sports-reference.com/cbb/players/susie-rafiu-1.html,columbia,2024-25
2,49,2,2024-11-08,Columbia,@,Providence,REG (Non-Conf),W 77-69 (OT),*,29,4,6,.667,0,0,,4,6,.667,.667,1,2,.500,0,3,3,0,1,3,2,5,9,6.0,Susie Rafiu,https://www.sports-reference.com/cbb/players/susie-rafiu-1.html,columbia,2024-25
3,50,3,2024-11-11,Columbia,,Florida Gulf Coast,REG (Non-Conf),W 62-51,*,28,1,4,.250,0,0,,1,4,.250,.250,0,0,,0,6,6,0,0,0,4,4,2,-4.2,Susie Rafiu,https://www.sports-reference.com/cbb/players/susie-rafiu-1.html,columbia,2024-25
4,51,4,2024-11-16,Columbia,@,Villanova,REG (Non-Conf),L 67-68,*,23,7,13,.538,1,3,.333,6,10,.600,.577,1,3,.333,4,1,5,0,0,0,1,4,16,9.4,Susie Rafiu,https://www.sports-reference.com/cbb/players/susie-rafiu-1.html,columbia,2024-25
5,52,5,2024-11-20,Columbia,,Pacific,REG (Non-Conf),W 84-50,*,22,4,6,.667,0,1,.000,4,5,.800,.667,0,1,.000,1,6,7,6,1,0,4,4,8,7.1,Susie Rafiu,https://www.sports-reference.com/cbb/players/susie-rafiu-1.html,columbia,2024-25
6,53,6,2024-11-23,Columbia,N,Indiana,REG (Non-Conf),L 62-72,*,29,3,8,.375,1,3,.333,2,5,.400,.438,0,0,,1,5,6,2,0,1,1,4,7,4.3,Susie Rafiu,https://www.sports-reference.com/cbb/players/susie-rafiu-1.html,columbia,2024-25
7,54,7,2024-11-24,Columbia,N,Southern Mississippi,REG (Non-Conf),W 85-66,*,27,3,4,.750,0,0,,3,4,.750,.750,0,1,.000,2,3,5,2,1,0,1,2,6,6.9,Susie Rafiu,https://www.sports-reference.com/cbb/players/susie-rafiu-1.html,columbia,2024-25
8,55,8,2024-11-25,Columbia,N,Ball State,REG (Non-Conf),W 69-62,*,26,3,4,.750,0,0,,3,4,.750,.750,0,0,,0,1,1,1,1,0,2,3,6,3.2,Susie Rafiu,https://www.sports-reference.com/cbb/players/susie-rafiu-1.html,columbia,2024-25
9,56,9,2024-12-01,Columbia,@,Duke,REG (Non-Conf),L 61-77,*,25,1,3,.333,0,1,.000,1,2,.500,.333,0,0,,0,1,1,1,0,2,1,3,2,0.5,Susie Rafiu,https://www.sports-reference.com/cbb/players/susie-rafiu-1.html,columbia,2024-25
10,57,10,2024-12-04,Columbia,,San Francisco,REG (Non-Conf),W 81-79,*,24,3,6,.500,0,1,.000,3,5,.600,.500,2,6,.333,2,1,3,1,1,0,4,3,8,1.6,Susie Rafiu,https://www.sports-reference.com/cbb/players/susie-rafiu-1.html,columbia,2024-25
