ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,40,1,2024-11-07,Connecticut,,Boston University,REG (Non-Conf),W 86-32,*,22,1,3,.333,0,0,,1,3,.333,.333,2,2,1.000,0,2,2,2,2,0,2,3,4,3.1,Ice Brady,https://www.sports-reference.com/cbb/players/ice-brady-1.html,connecticut,2024-25
2,41,2,2024-11-10,Connecticut,,South Florida,REG (Non-Conf),W 86-49,*,23,4,5,.800,0,0,,4,5,.800,.800,0,0,,1,1,2,2,1,0,2,3,8,6.3,Ice Brady,https://www.sports-reference.com/cbb/players/ice-brady-1.html,connecticut,2024-25
3,42,3,2024-11-15,Connecticut,N,North Carolina,REG (Non-Conf),W 69-58,*,25,3,5,.600,1,2,.500,2,3,.667,.700,2,4,.500,3,6,9,3,0,2,3,4,9,8.7,Ice Brady,https://www.sports-reference.com/cbb/players/ice-brady-1.html,connecticut,2024-25
4,43,4,2024-11-20,Connecticut,,FDU,REG (Non-Conf),W 85-41,*,21,4,7,.571,0,1,.000,4,6,.667,.571,2,2,1.000,1,1,2,1,0,0,0,0,10,8.4,Ice Brady,https://www.sports-reference.com/cbb/players/ice-brady-1.html,connecticut,2024-25
5,44,5,2024-11-25,Connecticut,N,Oregon State,REG (Non-Conf),W 71-52,*,27,2,6,.333,0,0,,2,6,.333,.333,1,2,.500,2,4,6,2,0,2,2,1,5,4.2,Ice Brady,https://www.sports-reference.com/cbb/players/ice-brady-1.html,connecticut,2024-25
6,45,6,2024-11-27,Connecticut,N,Ole Miss,REG (Non-Conf),W 73-60,*,18,1,4,.250,0,2,.000,1,2,.500,.250,0,0,,0,5,5,1,0,0,2,4,2,-1.8,Ice Brady,https://www.sports-reference.com/cbb/players/ice-brady-1.html,connecticut,2024-25
7,46,7,2024-12-03,Connecticut,,Holy Cross,REG (Non-Conf),W 88-52,*,22,3,4,.750,0,0,,3,4,.750,.750,1,2,.500,1,3,4,6,0,0,0,1,7,10.4,Ice Brady,https://www.sports-reference.com/cbb/players/ice-brady-1.html,connecticut,2024-25
8,47,8,2024-12-07,Connecticut,N,Louisville,REG (Non-Conf),W 85-52,*,14,2,3,.667,0,1,.000,2,2,1.000,.667,0,0,,1,2,3,2,0,1,1,3,4,3.9,Ice Brady,https://www.sports-reference.com/cbb/players/ice-brady-1.html,connecticut,2024-25
9,48,9,2024-12-12,Connecticut,@,Notre Dame,REG (Non-Conf),L 68-79,*,23,2,6,.333,0,0,,2,6,.333,.333,0,0,,1,2,3,1,1,0,2,0,4,1.6,Ice Brady,https://www.sports-reference.com/cbb/players/ice-brady-1.html,connecticut,2024-25
10,49,10,2024-12-15,Connecticut,,Georgetown,REG (Conf),W 79-44,*,15,2,5,.400,0,0,,2,5,.400,.400,0,0,,2,1,3,3,2,1,1,3,4,5.6,Ice Brady,https://www.sports-reference.com/cbb/players/ice-brady-1.html,connecticut,2024-25
11,50,11,2024-12-17,Connecticut,N,Iowa State,REG (Non-Conf),W 101-68,*,21,1,3,.333,0,0,,1,3,.333,.333,1,2,.500,0,3,3,4,4,0,0,3,3,7.4,Ice Brady,https://www.sports-reference.com/cbb/players/ice-brady-1.html,connecticut,2024-25
12,51,12,2024-12-21,Connecticut,,Southern California,REG (Non-Conf),L 70-72,*,13,0,2,.000,0,0,,0,2,.000,.000,0,0,,1,1,2,2,0,0,1,0,0,0.0,Ice Brady,https://www.sports-reference.com/cbb/players/ice-brady-1.html,connecticut,2024-25
13,52,13,2024-12-29,Connecticut,,Providence,REG (Conf),W 67-41,,12,0,1,.000,0,0,,0,1,.000,.000,0,0,,2,1,3,3,0,0,1,3,0,0.9,Ice Brady,https://www.sports-reference.com/cbb/players/ice-brady-1.html,connecticut,2024-25
