ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,53,1,2024-11-04,Cornell,@,Army,REG (Non-Conf),W 60-54,*,36,1,11,.091,1,4,.250,0,7,.000,.136,0,0,,2,10,12,2,1,0,2,1,3,0.1,Emily Pape,https://www.sports-reference.com/cbb/players/emily-pape-1.html,cornell,2024-25
2,54,2,2024-11-07,Cornell,@,Rutgers,REG (Non-Conf),L 61-72,*,38,12,26,.462,1,5,.200,11,21,.524,.481,2,5,.400,2,6,8,1,1,0,1,2,27,15.5,Emily Pape,https://www.sports-reference.com/cbb/players/emily-pape-1.html,cornell,2024-25
3,55,3,2024-11-10,Cornell,@,Marist,REG (Non-Conf),L 56-62,*,39,8,16,.500,5,7,.714,3,9,.333,.656,0,0,,3,13,16,3,2,1,3,0,21,20.8,Emily Pape,https://www.sports-reference.com/cbb/players/emily-pape-1.html,cornell,2024-25
4,56,4,2024-11-14,Cornell,,Binghamton,REG (Non-Conf),W 68-51,*,33,10,16,.625,3,6,.500,7,10,.700,.719,1,2,.500,4,3,7,1,3,0,1,3,24,21.6,Emily Pape,https://www.sports-reference.com/cbb/players/emily-pape-1.html,cornell,2024-25
5,57,5,2024-11-19,Cornell,,Bryant,REG (Non-Conf),L 53-60,*,36,5,12,.417,1,5,.200,4,7,.571,.458,2,2,1.000,1,5,6,0,0,1,0,0,13,9.5,Emily Pape,https://www.sports-reference.com/cbb/players/emily-pape-1.html,cornell,2024-25
6,58,6,2024-11-21,Cornell,@,Quinnipiac,REG (Non-Conf),L 47-56,*,24,0,6,.000,0,3,.000,0,3,.000,.000,0,2,.000,0,6,6,2,0,0,2,2,0,-4.6,Emily Pape,https://www.sports-reference.com/cbb/players/emily-pape-1.html,cornell,2024-25
7,59,7,2024-11-23,Cornell,@,Albany (NY),REG (Non-Conf),L 47-54,*,35,6,16,.375,4,9,.444,2,7,.286,.500,2,3,.667,0,9,9,0,1,0,3,1,18,9.1,Emily Pape,https://www.sports-reference.com/cbb/players/emily-pape-1.html,cornell,2024-25
8,60,8,2024-11-27,Cornell,,Mercyhurst,REG (Non-Conf),W 64-63 (OT),*,41,7,22,.318,2,6,.333,5,16,.313,.364,1,2,.500,1,7,8,4,0,1,3,3,17,6.1,Emily Pape,https://www.sports-reference.com/cbb/players/emily-pape-1.html,cornell,2024-25
9,61,9,2024-12-01,Cornell,@,Northwestern,REG (Non-Conf),L 54-67,*,30,4,14,.286,2,9,.222,2,5,.400,.357,0,0,,1,2,3,1,1,1,2,2,10,2.7,Emily Pape,https://www.sports-reference.com/cbb/players/emily-pape-1.html,cornell,2024-25
10,62,10,2024-12-05,Cornell,@,St. Bonaventure,REG (Non-Conf),L 54-56,*,27,2,8,.250,0,2,.000,2,6,.333,.250,1,1,1.000,0,4,4,5,5,1,1,1,5,9.2,Emily Pape,https://www.sports-reference.com/cbb/players/emily-pape-1.html,cornell,2024-25
11,63,11,2024-12-08,Cornell,,Lehigh,REG (Non-Conf),L 51-73,*,21,4,11,.364,2,4,.500,2,7,.286,.455,0,0,,0,2,2,0,1,0,2,0,10,3.5,Emily Pape,https://www.sports-reference.com/cbb/players/emily-pape-1.html,cornell,2024-25
12,64,12,2024-12-22,Cornell,@,Stony Brook,REG (Non-Conf),L 40-54,*,22,2,11,.182,0,6,.000,2,5,.400,.182,1,1,1.000,1,2,3,0,1,4,3,1,5,-0.2,Emily Pape,https://www.sports-reference.com/cbb/players/emily-pape-1.html,cornell,2024-25
13,65,13,2024-12-30,Cornell,@,Siena,REG (Non-Conf),W 76-73,*,38,10,18,.556,4,8,.500,6,10,.600,.667,2,2,1.000,2,4,6,3,0,0,2,1,26,19.7,Emily Pape,https://www.sports-reference.com/cbb/players/emily-pape-1.html,cornell,2024-25
14,66,14,2025-01-04,Cornell,@,Princeton,REG (Conf),L 39-72,*,30,1,7,.143,0,3,.000,1,4,.250,.143,0,0,,1,6,7,2,0,1,4,1,2,-2.3,Emily Pape,https://www.sports-reference.com/cbb/players/emily-pape-1.html,cornell,2024-25
15,67,15,2025-01-11,Cornell,,Columbia,REG (Conf),L 44-69,*,26,3,12,.250,0,7,.000,3,5,.600,.250,0,1,.000,1,2,3,0,2,0,2,0,6,-0.3,Emily Pape,https://www.sports-reference.com/cbb/players/emily-pape-1.html,cornell,2024-25
16,68,16,2025-01-18,Cornell,,Pennsylvania,REG (Conf),L 51-57,*,28,5,15,.333,2,6,.333,3,9,.333,.400,0,0,,4,4,8,0,1,0,0,2,12,7.7,Emily Pape,https://www.sports-reference.com/cbb/players/emily-pape-1.html,cornell,2024-25
17,69,17,2025-01-20,Cornell,@,Brown,REG (Conf),L 39-49,*,25,0,5,.000,0,3,.000,0,2,.000,.000,0,0,,0,2,2,0,0,0,1,3,0,-5.1,Emily Pape,https://www.sports-reference.com/cbb/players/emily-pape-1.html,cornell,2024-25
18,70,18,2025-01-25,Cornell,,Princeton,REG (Conf),L 54-62,*,23,3,12,.250,2,10,.200,1,2,.500,.333,2,2,1.000,0,3,3,0,0,0,0,1,10,3.3,Emily Pape,https://www.sports-reference.com/cbb/players/emily-pape-1.html,cornell,2024-25
19,71,19,2025-01-31,Cornell,@,Dartmouth,REG (Conf),W 60-48,*,21,5,12,.417,1,6,.167,4,6,.667,.458,1,2,.500,1,2,3,2,0,0,4,0,12,3.9,Emily Pape,https://www.sports-reference.com/cbb/players/emily-pape-1.html,cornell,2024-25
20,72,20,2025-02-01,Cornell,@,Harvard,REG (Conf),L 60-72,*,24,4,7,.571,0,2,.000,4,5,.800,.571,2,2,1.000,0,5,5,1,0,0,1,2,10,7.1,Emily Pape,https://www.sports-reference.com/cbb/players/emily-pape-1.html,cornell,2024-25
