ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,47,19,2025-01-15,DePaul,@,Villanova,REG (Conf),L 55-66,,17,3,9,.333,1,6,.167,2,3,.667,.389,0,0,,0,1,1,0,0,0,1,0,7,1.2,Kate Clarke,https://www.sports-reference.com/cbb/players/kate-clarke-1.html,depaul,2024-25
2,48,20,2025-01-18,DePaul,@,Creighton,REG (Conf),L 71-92,,22,3,10,.300,2,6,.333,1,4,.250,.400,0,0,,0,1,1,1,0,1,1,1,8,2.5,Kate Clarke,https://www.sports-reference.com/cbb/players/kate-clarke-1.html,depaul,2024-25
3,49,21,2025-01-22,DePaul,,Xavier,REG (Conf),W 57-50,*,37,6,14,.429,3,8,.375,3,6,.500,.536,0,0,,0,2,2,0,1,0,3,0,15,6.2,Kate Clarke,https://www.sports-reference.com/cbb/players/kate-clarke-1.html,depaul,2024-25
4,50,22,2025-01-26,DePaul,@,Butler,REG (Conf),W 74-67 (OT),*,42,5,14,.357,3,8,.375,2,6,.333,.464,0,0,,1,4,5,3,1,0,3,3,13,6.0,Kate Clarke,https://www.sports-reference.com/cbb/players/kate-clarke-1.html,depaul,2024-25
5,51,26,2025-02-09,DePaul,@,Georgetown,REG (Conf),W 80-76,,21,3,7,.429,3,7,.429,0,0,,.643,0,0,,0,0,0,1,1,0,2,0,9,5.0,Kate Clarke,https://www.sports-reference.com/cbb/players/kate-clarke-1.html,depaul,2024-25
6,52,27,2025-02-12,DePaul,,Villanova,REG (Conf),L 56-62,,27,5,10,.500,1,4,.250,4,6,.667,.550,1,1,1.000,1,1,2,1,0,0,1,1,12,7.3,Kate Clarke,https://www.sports-reference.com/cbb/players/kate-clarke-1.html,depaul,2024-25
7,53,28,2025-02-15,DePaul,@,Marquette,REG (Conf),L 72-82,,31,6,16,.375,1,6,.167,5,10,.500,.406,1,2,.500,0,1,1,3,0,0,2,3,14,4.0,Kate Clarke,https://www.sports-reference.com/cbb/players/kate-clarke-1.html,depaul,2024-25
8,54,29,2025-02-23,DePaul,,Creighton,REG (Conf),L 74-83,,36,3,12,.250,3,7,.429,0,5,.000,.375,0,0,,0,1,1,5,1,0,2,0,9,4.6,Kate Clarke,https://www.sports-reference.com/cbb/players/kate-clarke-1.html,depaul,2024-25
9,55,30,2025-02-27,DePaul,@,Seton Hall,REG (Conf),L 67-76,*,36,6,12,.500,4,8,.500,2,4,.500,.667,2,2,1.000,0,0,0,1,1,0,1,1,18,12.3,Kate Clarke,https://www.sports-reference.com/cbb/players/kate-clarke-1.html,depaul,2024-25
10,56,31,2025-03-02,DePaul,,St. John's (NY),REG (Conf),W 65-64 (OT),*,45,6,17,.353,3,8,.375,3,9,.333,.441,0,0,,1,3,4,5,0,0,3,1,15,7.2,Kate Clarke,https://www.sports-reference.com/cbb/players/kate-clarke-1.html,depaul,2024-25
11,57,32,2025-03-07,DePaul,N,Xavier,CTOURN,L 73-80,*,36,4,11,.364,3,7,.429,1,4,.250,.500,0,0,,0,2,2,0,0,0,1,1,11,4.1,Kate Clarke,https://www.sports-reference.com/cbb/players/kate-clarke-1.html,depaul,2024-25
