ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,40,1,2024-11-05,East Tennessee State,@,NC State,REG (Non-Conf),L 55-80,*,20,1,9,.111,0,4,.000,1,5,.200,.111,0,0,,1,0,1,0,0,0,3,2,2,-7.0,Paige Lyons,https://www.sports-reference.com/cbb/players/paige-lyons-1.html,east-tennessee-state,2024-25
2,41,2,2024-11-09,East Tennessee State,,Jackson State,REG (Non-Conf),L 48-55,,21,2,8,.250,0,0,,2,8,.250,.250,0,0,,0,2,2,1,0,0,3,3,4,-3.7,Paige Lyons,https://www.sports-reference.com/cbb/players/paige-lyons-1.html,east-tennessee-state,2024-25
3,42,3,2024-11-12,East Tennessee State,@,Gardner-Webb,REG (Non-Conf),W 44-42,,19,0,5,.000,0,3,.000,0,2,.000,.000,2,2,1.000,0,1,1,2,1,0,4,2,2,-3.6,Paige Lyons,https://www.sports-reference.com/cbb/players/paige-lyons-1.html,east-tennessee-state,2024-25
4,43,4,2024-11-15,East Tennessee State,@,Lipscomb,REG (Non-Conf),L 61-62,,10,0,2,.000,0,0,,0,2,.000,.000,1,2,.500,2,0,2,1,0,0,3,2,1,-2.5,Paige Lyons,https://www.sports-reference.com/cbb/players/paige-lyons-1.html,east-tennessee-state,2024-25
5,44,5,2024-11-19,East Tennessee State,@,Campbell,REG (Non-Conf),L 51-58,,15,3,7,.429,1,2,.500,2,5,.400,.500,0,0,,0,1,1,1,0,0,2,4,7,0.7,Paige Lyons,https://www.sports-reference.com/cbb/players/paige-lyons-1.html,east-tennessee-state,2024-25
6,45,6,2024-11-23,East Tennessee State,,Tennessee Tech,REG (Non-Conf),W 53-48,,25,2,7,.286,1,3,.333,1,4,.250,.357,3,4,.750,1,1,2,1,0,0,1,2,8,3.4,Paige Lyons,https://www.sports-reference.com/cbb/players/paige-lyons-1.html,east-tennessee-state,2024-25
7,46,7,2024-11-27,East Tennessee State,,Presbyterian,REG (Non-Conf),W 64-31,*,17,3,8,.375,0,1,.000,3,7,.429,.375,0,1,.000,1,4,5,1,3,0,1,0,6,5.8,Paige Lyons,https://www.sports-reference.com/cbb/players/paige-lyons-1.html,east-tennessee-state,2024-25
8,47,8,2024-12-01,East Tennessee State,,Memphis,REG (Non-Conf),W 78-71,*,18,3,7,.429,0,2,.000,3,5,.600,.429,5,6,.833,1,4,5,0,0,0,1,1,11,7.4,Paige Lyons,https://www.sports-reference.com/cbb/players/paige-lyons-1.html,east-tennessee-state,2024-25
9,48,9,2024-12-06,East Tennessee State,@,West Virginia,REG (Non-Conf),L 40-85,,16,2,4,.500,0,1,.000,2,3,.667,.500,0,0,,0,1,1,0,0,0,4,3,4,-2.9,Paige Lyons,https://www.sports-reference.com/cbb/players/paige-lyons-1.html,east-tennessee-state,2024-25
10,49,10,2024-12-08,East Tennessee State,,UVA Wise,REG (Non-Conf),W 72-42,,7,0,2,.000,0,1,.000,0,1,.000,.000,2,2,1.000,0,1,1,0,1,0,1,0,2,0.9,Paige Lyons,https://www.sports-reference.com/cbb/players/paige-lyons-1.html,east-tennessee-state,2024-25
11,50,15,2025-01-02,East Tennessee State,,Tusculum,REG (Non-Conf),W 103-55,,18,6,11,.545,0,1,.000,6,10,.600,.545,0,2,.000,0,2,2,1,1,0,0,3,12,7.0,Paige Lyons,https://www.sports-reference.com/cbb/players/paige-lyons-1.html,east-tennessee-state,2024-25
12,51,16,2025-01-09,East Tennessee State,@,UNC Greensboro,REG (Conf),L 43-64,,21,2,10,.200,0,1,.000,2,9,.222,.200,2,2,1.000,1,1,2,2,1,0,1,3,6,1.0,Paige Lyons,https://www.sports-reference.com/cbb/players/paige-lyons-1.html,east-tennessee-state,2024-25
13,52,17,2025-01-12,East Tennessee State,@,Western Carolina,REG (Conf),L 60-64,,20,2,6,.333,1,3,.333,1,3,.333,.417,1,4,.250,0,0,0,1,2,0,2,1,6,1.7,Paige Lyons,https://www.sports-reference.com/cbb/players/paige-lyons-1.html,east-tennessee-state,2024-25
14,53,18,2025-01-16,East Tennessee State,,Mercer,REG (Conf),W 70-46,,20,3,5,.600,1,2,.500,2,3,.667,.700,3,5,.600,0,0,0,1,2,0,0,1,10,9.2,Paige Lyons,https://www.sports-reference.com/cbb/players/paige-lyons-1.html,east-tennessee-state,2024-25
15,54,19,2025-01-18,East Tennessee State,,Samford,REG (Conf),W 69-48,,21,5,9,.556,0,1,.000,5,8,.625,.556,0,0,,0,2,2,2,1,0,1,2,10,6.9,Paige Lyons,https://www.sports-reference.com/cbb/players/paige-lyons-1.html,east-tennessee-state,2024-25
16,55,20,2025-01-25,East Tennessee State,@,Chattanooga,REG (Conf),L 46-48,,21,3,9,.333,0,2,.000,3,7,.429,.333,0,1,.000,1,2,3,0,0,0,4,3,6,-3.4,Paige Lyons,https://www.sports-reference.com/cbb/players/paige-lyons-1.html,east-tennessee-state,2024-25
17,56,21,2025-01-30,East Tennessee State,@,Furman,REG (Conf),W 72-62,*,32,7,12,.583,0,2,.000,7,10,.700,.583,9,11,.818,0,2,2,2,3,0,2,3,23,18.4,Paige Lyons,https://www.sports-reference.com/cbb/players/paige-lyons-1.html,east-tennessee-state,2024-25
18,57,22,2025-02-01,East Tennessee State,@,Wofford,REG (Conf),W 63-50,*,28,5,11,.455,2,3,.667,3,8,.375,.545,3,4,.750,0,3,3,1,1,0,2,1,15,9.1,Paige Lyons,https://www.sports-reference.com/cbb/players/paige-lyons-1.html,east-tennessee-state,2024-25
19,58,23,2025-02-06,East Tennessee State,,Western Carolina,REG (Conf),W 77-64,*,14,0,4,.000,0,2,.000,0,2,.000,.000,0,0,,0,0,0,0,1,0,3,0,0,-4.8,Paige Lyons,https://www.sports-reference.com/cbb/players/paige-lyons-1.html,east-tennessee-state,2024-25
20,59,24,2025-02-08,East Tennessee State,,UNC Greensboro,REG (Conf),L 56-61 (OT),*,26,1,5,.200,0,1,.000,1,4,.250,.200,3,4,.750,1,1,2,2,0,0,4,4,5,-1.7,Paige Lyons,https://www.sports-reference.com/cbb/players/paige-lyons-1.html,east-tennessee-state,2024-25
21,60,25,2025-02-13,East Tennessee State,@,Samford,REG (Conf),L 43-50,*,20,2,9,.222,0,2,.000,2,7,.286,.222,0,0,,1,0,1,2,1,0,2,2,4,-1.2,Paige Lyons,https://www.sports-reference.com/cbb/players/paige-lyons-1.html,east-tennessee-state,2024-25
22,61,26,2025-02-15,East Tennessee State,@,Mercer,REG (Conf),W 70-67,*,17,2,5,.400,0,0,,2,5,.400,.400,0,0,,0,0,0,0,1,0,3,1,4,-1.1,Paige Lyons,https://www.sports-reference.com/cbb/players/paige-lyons-1.html,east-tennessee-state,2024-25
23,62,27,2025-02-22,East Tennessee State,,Chattanooga,REG (Conf),L 46-51,,13,2,3,.667,0,1,.000,2,2,1.000,.667,0,0,,0,2,2,0,0,0,1,1,4,1.9,Paige Lyons,https://www.sports-reference.com/cbb/players/paige-lyons-1.html,east-tennessee-state,2024-25
24,63,30,2025-03-06,East Tennessee State,N,Furman,CTOURN,L 58-64,,12,0,2,.000,0,0,,0,2,.000,.000,0,2,.000,0,0,0,0,1,0,1,0,0,-2.2,Paige Lyons,https://www.sports-reference.com/cbb/players/paige-lyons-1.html,east-tennessee-state,2024-25
