ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,59,7,2024-12-15,Eastern Michigan,@,Notre Dame,REG (Non-Conf),L 49-118,,6,0,0,,0,0,,0,0,,,0,0,,0,2,2,1,0,0,1,0,0,0.3,Kyndal Lewis,https://www.sports-reference.com/cbb/players/kyndal-lewis-1.html,eastern-michigan,2024-25
2,60,8,2024-12-19,Eastern Michigan,@,Texas–Rio Grande Valley,REG (Non-Conf),L 66-73 (OT),,4,1,1,1.000,0,0,,1,1,1.000,1.000,0,0,,1,0,1,0,0,0,0,2,2,1.6,Kyndal Lewis,https://www.sports-reference.com/cbb/players/kyndal-lewis-1.html,eastern-michigan,2024-25
3,61,9,2024-12-20,Eastern Michigan,N,Texas A&M–Corpus Christi,REG (Non-Conf),L 52-67,,15,1,3,.333,0,0,,1,3,.333,.333,0,0,,2,3,5,1,0,0,1,2,2,1.5,Kyndal Lewis,https://www.sports-reference.com/cbb/players/kyndal-lewis-1.html,eastern-michigan,2024-25
4,62,10,2024-12-28,Eastern Michigan,,St. Thomas,REG (Non-Conf),L 65-81,,10,1,2,.500,0,0,,1,2,.500,.500,1,2,.500,2,2,4,0,0,0,2,0,3,1.6,Kyndal Lewis,https://www.sports-reference.com/cbb/players/kyndal-lewis-1.html,eastern-michigan,2024-25
5,63,11,2025-01-01,Eastern Michigan,,Western Michigan,REG (Conf),L 51-65,,4,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,Kyndal Lewis,https://www.sports-reference.com/cbb/players/kyndal-lewis-1.html,eastern-michigan,2024-25
6,64,12,2025-01-04,Eastern Michigan,@,Bowling Green,REG (Conf),L 76-90,,7,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,0,0,0,0,0,0,1,0,-1.1,Kyndal Lewis,https://www.sports-reference.com/cbb/players/kyndal-lewis-1.html,eastern-michigan,2024-25
7,65,13,2025-01-08,Eastern Michigan,@,Ball State,REG (Conf),L 69-101,,6,0,3,.000,0,2,.000,0,1,.000,.000,0,0,,0,0,0,1,0,0,1,2,0,-3.2,Kyndal Lewis,https://www.sports-reference.com/cbb/players/kyndal-lewis-1.html,eastern-michigan,2024-25
8,66,14,2025-01-11,Eastern Michigan,,Akron,REG (Conf),L 56-61,,1,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,0,0,0,0.3,Kyndal Lewis,https://www.sports-reference.com/cbb/players/kyndal-lewis-1.html,eastern-michigan,2024-25
9,67,15,2025-01-15,Eastern Michigan,,Buffalo,REG (Conf),L 55-77,,11,3,5,.600,2,2,1.000,1,3,.333,.800,0,2,.000,0,6,6,1,0,0,1,1,8,6.0,Kyndal Lewis,https://www.sports-reference.com/cbb/players/kyndal-lewis-1.html,eastern-michigan,2024-25
10,68,16,2025-01-18,Eastern Michigan,@,Central Michigan,REG (Conf),L 64-73,,8,1,1,1.000,0,0,,1,1,1.000,1.000,0,0,,0,0,0,0,0,0,0,1,2,1.3,Kyndal Lewis,https://www.sports-reference.com/cbb/players/kyndal-lewis-1.html,eastern-michigan,2024-25
