ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,1,2,2024-11-07,High Point,,Guilford,REG (Non-Conf),W 100-47,,12,1,6,.167,0,1,.000,1,5,.200,.167,1,2,.500,0,3,3,3,1,0,1,2,3,1.0,Chana Paxixe,https://www.sports-reference.com/cbb/players/chana-paxixe-1.html,high-point,2024-25
2,2,4,2024-11-14,High Point,@,Campbell,REG (Non-Conf),L 47-60,,4,1,1,1.000,0,0,,1,1,1.000,1.000,0,0,,0,0,0,0,1,0,0,0,2,2.7,Chana Paxixe,https://www.sports-reference.com/cbb/players/chana-paxixe-1.html,high-point,2024-25
3,3,7,2024-11-29,High Point,N,West Virginia,REG (Non-Conf),L 54-89,,7,1,1,1.000,1,1,1.000,0,0,,1.500,0,0,,0,1,1,0,2,0,1,1,3,3.6,Chana Paxixe,https://www.sports-reference.com/cbb/players/chana-paxixe-1.html,high-point,2024-25
4,4,8,2024-11-30,High Point,N,Illinois State,REG (Non-Conf),L 49-70,,15,1,4,.250,0,1,.000,1,3,.333,.250,1,2,.500,0,1,1,0,1,0,2,4,3,-2.1,Chana Paxixe,https://www.sports-reference.com/cbb/players/chana-paxixe-1.html,high-point,2024-25
5,5,9,2024-12-01,High Point,N,Santa Clara,REG (Non-Conf),L 65-74,*,16,3,9,.333,0,3,.000,3,6,.500,.333,1,1,1.000,1,2,3,2,0,0,2,1,7,2.2,Chana Paxixe,https://www.sports-reference.com/cbb/players/chana-paxixe-1.html,high-point,2024-25
6,6,10,2024-12-06,High Point,,Winston-Salem,REG (Non-Conf),W 90-54,*,13,3,7,.429,0,2,.000,3,5,.600,.429,1,1,1.000,1,1,2,0,1,0,1,0,7,4.3,Chana Paxixe,https://www.sports-reference.com/cbb/players/chana-paxixe-1.html,high-point,2024-25
7,7,11,2024-12-14,High Point,@,Stetson,REG (Non-Conf),L 72-76,*,10,1,3,.333,1,2,.500,0,1,.000,.500,0,0,,1,0,1,1,0,0,3,2,3,-1.1,Chana Paxixe,https://www.sports-reference.com/cbb/players/chana-paxixe-1.html,high-point,2024-25
8,8,12,2024-12-17,High Point,@,UCF,REG (Non-Conf),W 64-60,*,8,1,2,.500,0,1,.000,1,1,1.000,.500,0,0,,0,0,0,0,0,0,1,0,2,0.0,Chana Paxixe,https://www.sports-reference.com/cbb/players/chana-paxixe-1.html,high-point,2024-25
9,9,13,2024-12-21,High Point,,Austin Peay,REG (Non-Conf),L 46-59,*,7,1,2,.500,0,0,,1,2,.500,.500,0,0,,1,0,1,0,0,0,0,2,2,0.9,Chana Paxixe,https://www.sports-reference.com/cbb/players/chana-paxixe-1.html,high-point,2024-25
10,10,14,2025-01-02,High Point,@,Radford,REG (Conf),W 67-55,*,13,2,2,1.000,0,0,,2,2,1.000,1.000,2,2,1.000,0,2,2,1,0,0,0,0,6,6.7,Chana Paxixe,https://www.sports-reference.com/cbb/players/chana-paxixe-1.html,high-point,2024-25
11,11,15,2025-01-04,High Point,,UNC Asheville,REG (Conf),W 84-53,*,16,3,4,.750,1,1,1.000,2,3,.667,.875,1,2,.500,0,2,2,0,0,0,2,1,8,4.2,Chana Paxixe,https://www.sports-reference.com/cbb/players/chana-paxixe-1.html,high-point,2024-25
12,12,16,2025-01-08,High Point,,Charleston Southern,REG (Conf),W 78-51,*,15,2,3,.667,0,1,.000,2,2,1.000,.667,0,0,,1,1,2,0,1,1,1,2,4,3.6,Chana Paxixe,https://www.sports-reference.com/cbb/players/chana-paxixe-1.html,high-point,2024-25
13,13,17,2025-01-11,High Point,@,Gardner-Webb,REG (Conf),L 52-64,*,19,2,3,.667,0,0,,2,3,.667,.667,0,0,,0,1,1,2,0,0,1,3,4,2.2,Chana Paxixe,https://www.sports-reference.com/cbb/players/chana-paxixe-1.html,high-point,2024-25
14,14,18,2025-01-15,High Point,,Longwood,REG (Conf),L 68-72,*,16,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,3,3,0,0,0,1,2,0,-1.6,Chana Paxixe,https://www.sports-reference.com/cbb/players/chana-paxixe-1.html,high-point,2024-25
