ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,65,1,2024-11-04,Holy Cross,,Quinnipiac,REG (Non-Conf),L 74-78,*,24,4,5,.800,1,1,1.000,3,4,.750,.900,3,3,1.000,1,4,5,1,0,0,5,2,12,6.9,Simone Foreman,https://www.sports-reference.com/cbb/players/simone-foreman-1.html,holy-cross,2024-25
2,66,2,2024-11-09,Holy Cross,@,UMass Lowell,REG (Non-Conf),W 61-49,*,32,4,13,.308,0,1,.000,4,12,.333,.308,5,6,.833,3,8,11,2,3,0,3,3,13,9.8,Simone Foreman,https://www.sports-reference.com/cbb/players/simone-foreman-1.html,holy-cross,2024-25
3,67,3,2024-11-13,Holy Cross,@,Brown,REG (Non-Conf),W 68-53,*,34,8,20,.400,3,8,.375,5,12,.417,.475,1,1,1.000,2,7,9,1,3,0,2,1,20,14.0,Simone Foreman,https://www.sports-reference.com/cbb/players/simone-foreman-1.html,holy-cross,2024-25
4,68,4,2024-11-16,Holy Cross,@,Vermont,REG (Non-Conf),L 50-67,*,33,4,14,.286,0,2,.000,4,12,.333,.286,4,4,1.000,5,3,8,1,1,0,4,4,12,4.3,Simone Foreman,https://www.sports-reference.com/cbb/players/simone-foreman-1.html,holy-cross,2024-25
5,69,5,2024-11-20,Holy Cross,@,Massachusetts,REG (Non-Conf),W 75-70,*,28,4,9,.444,0,2,.000,4,7,.571,.444,4,5,.800,1,3,4,3,2,0,2,5,12,8.6,Simone Foreman,https://www.sports-reference.com/cbb/players/simone-foreman-1.html,holy-cross,2024-25
6,70,6,2024-11-23,Holy Cross,,Boston College,REG (Non-Conf),L 55-81,*,27,4,10,.400,0,3,.000,4,7,.571,.400,0,0,,3,5,8,2,2,0,7,3,8,1.4,Simone Foreman,https://www.sports-reference.com/cbb/players/simone-foreman-1.html,holy-cross,2024-25
7,71,7,2024-11-26,Holy Cross,@,New Hampshire,REG (Non-Conf),W 57-43,*,35,7,15,.467,3,7,.429,4,8,.500,.567,4,4,1.000,2,7,9,0,2,0,1,2,21,17.0,Simone Foreman,https://www.sports-reference.com/cbb/players/simone-foreman-1.html,holy-cross,2024-25
8,72,8,2024-12-03,Holy Cross,@,Connecticut,REG (Non-Conf),L 52-88,*,29,3,9,.333,2,7,.286,1,2,.500,.444,0,0,,0,4,4,1,0,0,4,2,8,0.0,Simone Foreman,https://www.sports-reference.com/cbb/players/simone-foreman-1.html,holy-cross,2024-25
9,73,9,2024-12-08,Holy Cross,,Stony Brook,REG (Non-Conf),W 73-56,*,35,8,19,.421,0,5,.000,8,14,.571,.421,5,6,.833,1,4,5,2,1,0,2,2,21,12.0,Simone Foreman,https://www.sports-reference.com/cbb/players/simone-foreman-1.html,holy-cross,2024-25
10,74,10,2024-12-17,Holy Cross,,Marist,REG (Non-Conf),W 66-49,*,32,7,15,.467,1,4,.250,6,11,.545,.500,8,10,.800,1,5,6,1,2,0,5,2,23,13.6,Simone Foreman,https://www.sports-reference.com/cbb/players/simone-foreman-1.html,holy-cross,2024-25
11,75,11,2024-12-21,Holy Cross,@,Northeastern,REG (Non-Conf),W 61-37,*,31,8,18,.444,1,4,.250,7,14,.500,.472,0,0,,1,6,7,0,2,0,3,1,17,8.7,Simone Foreman,https://www.sports-reference.com/cbb/players/simone-foreman-1.html,holy-cross,2024-25
12,76,12,2025-01-02,Holy Cross,@,Loyola (MD),REG (Conf),W 49-46,*,32,6,16,.375,1,4,.250,5,12,.417,.406,1,2,.500,6,8,14,0,2,0,2,3,14,10.2,Simone Foreman,https://www.sports-reference.com/cbb/players/simone-foreman-1.html,holy-cross,2024-25
13,77,13,2025-01-05,Holy Cross,,American,REG (Conf),W 69-61,*,35,7,17,.412,1,4,.250,6,13,.462,.441,7,8,.875,4,6,10,0,4,0,0,1,22,20.7,Simone Foreman,https://www.sports-reference.com/cbb/players/simone-foreman-1.html,holy-cross,2024-25
14,78,14,2025-01-08,Holy Cross,@,Navy,REG (Conf),L 56-67,*,29,9,21,.429,0,0,,9,21,.429,.429,4,4,1.000,2,11,13,0,2,0,2,1,22,15.2,Simone Foreman,https://www.sports-reference.com/cbb/players/simone-foreman-1.html,holy-cross,2024-25
