ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,1,1,2024-11-05,Houston Christian,@,TCU,REG (Non-Conf),L 41-78,,4,1,2,.500,0,1,.000,1,1,1.000,.500,0,0,,1,1,2,0,0,0,0,1,2,1.6,Kendall Beck,https://www.sports-reference.com/cbb/players/kendall-beck-1.html,houston-baptist,2024-25
2,2,4,2024-11-21,Houston Christian,,Utah Tech,REG (Non-Conf),W 57-51,,4,0,2,.000,0,0,,0,2,.000,.000,0,0,,0,2,2,0,0,0,0,0,0,-0.8,Kendall Beck,https://www.sports-reference.com/cbb/players/kendall-beck-1.html,houston-baptist,2024-25
3,3,6,2024-12-01,Houston Christian,,Southwestern (TX),REG (Non-Conf),W 62-49,*,35,9,12,.750,1,2,.500,8,10,.800,.792,4,5,.800,4,10,14,2,2,3,4,3,23,23.9,Kendall Beck,https://www.sports-reference.com/cbb/players/kendall-beck-1.html,houston-baptist,2024-25
4,4,7,2024-12-04,Houston Christian,@,Oklahoma State,REG (Non-Conf),L 39-93,,11,0,3,.000,0,1,.000,0,2,.000,.000,0,0,,0,0,0,0,0,0,0,0,0,-2.1,Kendall Beck,https://www.sports-reference.com/cbb/players/kendall-beck-1.html,houston-baptist,2024-25
5,5,12,2025-01-02,Houston Christian,@,Stephen F. Austin,REG (Conf),L 35-82,,11,1,3,.333,0,0,,1,3,.333,.333,0,0,,1,0,1,0,0,0,0,0,2,1.0,Kendall Beck,https://www.sports-reference.com/cbb/players/kendall-beck-1.html,houston-baptist,2024-25
6,6,13,2025-01-04,Houston Christian,@,Lamar,REG (Conf),L 29-69,,12,2,2,1.000,0,0,,2,2,1.000,1.000,0,1,.000,0,2,2,1,0,1,0,1,4,4.6,Kendall Beck,https://www.sports-reference.com/cbb/players/kendall-beck-1.html,houston-baptist,2024-25
7,7,14,2025-01-09,Houston Christian,,McNeese State,REG (Conf),L 51-61,,14,0,5,.000,0,1,.000,0,4,.000,.000,2,2,1.000,0,2,2,1,1,0,1,2,2,-1.0,Kendall Beck,https://www.sports-reference.com/cbb/players/kendall-beck-1.html,houston-baptist,2024-25
8,8,15,2025-01-11,Houston Christian,,Incarnate Word,REG (Conf),L 45-76,*,28,5,7,.714,0,1,.000,5,6,.833,.714,0,0,,0,4,4,0,1,2,1,3,10,8.5,Kendall Beck,https://www.sports-reference.com/cbb/players/kendall-beck-1.html,houston-baptist,2024-25
9,9,16,2025-01-16,Houston Christian,,Texas A&M–Corpus Christi,REG (Conf),L 55-62,*,4,2,2,1.000,0,0,,2,2,1.000,1.000,0,0,,0,0,0,0,0,0,0,1,4,3.0,Kendall Beck,https://www.sports-reference.com/cbb/players/kendall-beck-1.html,houston-baptist,2024-25
10,10,17,2025-01-18,Houston Christian,,Texas–Rio Grande Valley,REG (Conf),W 67-64,*,8,1,3,.333,0,1,.000,1,2,.500,.333,0,0,,0,0,0,0,0,0,1,1,2,-1.1,Kendall Beck,https://www.sports-reference.com/cbb/players/kendall-beck-1.html,houston-baptist,2024-25
11,11,18,2025-01-25,Houston Christian,@,New Orleans,REG (Conf),L 55-62,*,3,1,1,1.000,1,1,1.000,0,0,,1.500,0,0,,0,0,0,1,0,0,0,1,3,3.0,Kendall Beck,https://www.sports-reference.com/cbb/players/kendall-beck-1.html,houston-baptist,2024-25
12,12,19,2025-01-27,Houston Christian,@,Southeastern Louisiana,REG (Conf),L 41-65,*,16,4,6,.667,3,5,.600,1,1,1.000,.917,0,0,,0,3,3,0,0,1,2,1,11,7.6,Kendall Beck,https://www.sports-reference.com/cbb/players/kendall-beck-1.html,houston-baptist,2024-25
13,13,20,2025-01-30,Houston Christian,@,Nicholls State,REG (Conf),L 51-76,*,10,1,1,1.000,1,1,1.000,0,0,,1.500,0,0,,0,0,0,0,0,0,1,1,3,1.3,Kendall Beck,https://www.sports-reference.com/cbb/players/kendall-beck-1.html,houston-baptist,2024-25
14,14,21,2025-02-01,Houston Christian,@,Incarnate Word,REG (Conf),L 55-68,,11,1,3,.333,0,1,.000,1,2,.500,.333,0,0,,1,0,1,0,1,0,1,2,2,0.2,Kendall Beck,https://www.sports-reference.com/cbb/players/kendall-beck-1.html,houston-baptist,2024-25
15,15,26,2025-02-20,Houston Christian,,Stephen F. Austin,REG (Conf),L 59-66,,2,1,1,1.000,0,0,,1,1,1.000,1.000,0,0,,0,0,0,0,0,0,0,1,2,1.3,Kendall Beck,https://www.sports-reference.com/cbb/players/kendall-beck-1.html,houston-baptist,2024-25
16,16,27,2025-02-22,Houston Christian,,Lamar,REG (Conf),L 30-62,,5,0,2,.000,0,0,,0,2,.000,.000,0,0,,0,1,1,0,0,0,0,0,0,-1.1,Kendall Beck,https://www.sports-reference.com/cbb/players/kendall-beck-1.html,houston-baptist,2024-25
17,17,28,2025-02-27,Houston Christian,@,Texas A&M–Commerce,REG (Conf),L 45-53,,4,0,3,.000,0,0,,0,3,.000,.000,0,0,,1,0,1,0,0,0,0,0,0,-1.4,Kendall Beck,https://www.sports-reference.com/cbb/players/kendall-beck-1.html,houston-baptist,2024-25
