ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,11,1,2024-11-04,Incarnate Word,@,Texas Tech,REG (Non-Conf),L 48-78,,14,1,3,.333,0,0,,1,3,.333,.333,5,7,.714,2,2,4,0,0,0,2,2,7,3.7,Mallory McQuietor,https://www.sports-reference.com/cbb/players/mallory-mcquietor-1.html,incarnate-word,2024-25
2,12,2,2024-11-07,Incarnate Word,@,Baylor,REG (Non-Conf),L 33-85,,13,0,2,.000,0,0,,0,2,.000,.000,0,0,,0,0,0,0,1,0,1,1,0,-1.8,Mallory McQuietor,https://www.sports-reference.com/cbb/players/mallory-mcquietor-1.html,incarnate-word,2024-25
3,13,3,2024-11-11,Incarnate Word,,Nelson,REG (Non-Conf),W 85-54,,19,5,10,.500,0,0,,5,10,.500,.500,2,6,.333,7,1,8,5,1,1,0,4,12,14.2,Mallory McQuietor,https://www.sports-reference.com/cbb/players/mallory-mcquietor-1.html,incarnate-word,2024-25
4,14,4,2024-11-14,Incarnate Word,,Texas Lutheran,REG (Non-Conf),W 57-51,,19,3,4,.750,0,0,,3,4,.750,.750,1,2,.500,1,1,2,2,2,1,1,2,7,8.3,Mallory McQuietor,https://www.sports-reference.com/cbb/players/mallory-mcquietor-1.html,incarnate-word,2024-25
5,15,6,2024-11-21,Incarnate Word,@,TCU,REG (Non-Conf),L 43-81,,19,2,6,.333,0,0,,2,6,.333,.333,0,0,,0,0,0,1,0,0,1,1,4,-0.1,Mallory McQuietor,https://www.sports-reference.com/cbb/players/mallory-mcquietor-1.html,incarnate-word,2024-25
6,16,7,2024-11-24,Incarnate Word,,Abilene Christian,REG (Non-Conf),L 53-61,,6,0,0,,0,0,,0,0,,,0,0,,1,2,3,0,0,0,0,1,0,0.9,Mallory McQuietor,https://www.sports-reference.com/cbb/players/mallory-mcquietor-1.html,incarnate-word,2024-25
7,17,8,2024-12-06,Incarnate Word,,Northwestern State,REG (Conf),W 48-46,,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0.0,Mallory McQuietor,https://www.sports-reference.com/cbb/players/mallory-mcquietor-1.html,incarnate-word,2024-25
8,18,9,2024-12-14,Incarnate Word,,Schreiner,REG (Non-Conf),W 93-36,,17,3,5,.600,0,0,,3,5,.600,.600,0,0,,1,2,3,3,2,0,0,1,6,8.7,Mallory McQuietor,https://www.sports-reference.com/cbb/players/mallory-mcquietor-1.html,incarnate-word,2024-25
9,19,10,2024-12-20,Incarnate Word,,Texas A&M–Commerce,REG (Conf),W 76-55,,3,0,0,,0,0,,0,0,,,0,2,.000,1,2,3,0,0,0,0,1,0,0.1,Mallory McQuietor,https://www.sports-reference.com/cbb/players/mallory-mcquietor-1.html,incarnate-word,2024-25
10,20,11,2024-12-29,Incarnate Word,,Our Lady,REG (Non-Conf),W 104-37,,24,1,8,.125,0,0,,1,8,.125,.125,2,4,.500,8,2,10,3,1,1,1,4,4,5.4,Mallory McQuietor,https://www.sports-reference.com/cbb/players/mallory-mcquietor-1.html,incarnate-word,2024-25
11,21,12,2025-01-02,Incarnate Word,@,Lamar,REG (Conf),L 47-69,,13,0,0,,0,0,,0,0,,,0,0,,1,2,3,0,1,0,1,3,0,0.1,Mallory McQuietor,https://www.sports-reference.com/cbb/players/mallory-mcquietor-1.html,incarnate-word,2024-25
12,22,18,2025-01-25,Incarnate Word,@,Southeastern Louisiana,REG (Conf),L 42-66,,10,1,3,.333,0,0,,1,3,.333,.333,0,0,,1,0,1,1,1,0,1,0,2,1.7,Mallory McQuietor,https://www.sports-reference.com/cbb/players/mallory-mcquietor-1.html,incarnate-word,2024-25
13,23,20,2025-01-30,Incarnate Word,@,McNeese State,REG (Conf),W 77-63,,1,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,Mallory McQuietor,https://www.sports-reference.com/cbb/players/mallory-mcquietor-1.html,incarnate-word,2024-25
14,24,23,2025-02-08,Incarnate Word,,Southeastern Louisiana,REG (Conf),L 43-62,,16,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,1,1,0,0,0,2,3,0,-3.6,Mallory McQuietor,https://www.sports-reference.com/cbb/players/mallory-mcquietor-1.html,incarnate-word,2024-25
15,25,24,2025-02-13,Incarnate Word,@,Texas–Rio Grande Valley,REG (Conf),L 37-59,,8,0,0,,0,0,,0,0,,,0,0,,0,3,3,0,0,0,1,3,0,-1.3,Mallory McQuietor,https://www.sports-reference.com/cbb/players/mallory-mcquietor-1.html,incarnate-word,2024-25
16,26,31,2025-03-12,Incarnate Word,N,Southeastern Louisiana,CTOURN,L 37-57,,2,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,Mallory McQuietor,https://www.sports-reference.com/cbb/players/mallory-mcquietor-1.html,incarnate-word,2024-25
17,27,32,2025-03-20,Incarnate Word,@,UT Arlington,WNIT,L 52-78,,6,0,0,,0,0,,0,0,,,0,0,,0,2,2,0,1,0,0,1,0,1.2,Mallory McQuietor,https://www.sports-reference.com/cbb/players/mallory-mcquietor-1.html,incarnate-word,2024-25
