ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,65,1,2024-11-04,Indiana,,Brown,REG (Non-Conf),W 82-60,*,29,5,12,.417,4,8,.500,1,4,.250,.583,2,2,1.000,1,2,3,3,3,0,1,1,16,14.6,Yarden Garzon,https://www.sports-reference.com/cbb/players/yarden-garzon-1.html,indiana,2024-25
2,66,2,2024-11-07,Indiana,,Harvard,REG (Non-Conf),L 68-72 (OT),*,42,5,12,.417,2,6,.333,3,6,.500,.500,8,8,1.000,0,2,2,1,2,0,7,5,20,7.9,Yarden Garzon,https://www.sports-reference.com/cbb/players/yarden-garzon-1.html,indiana,2024-25
3,67,3,2024-11-13,Indiana,@,Butler,REG (Non-Conf),L 46-56,*,37,3,6,.500,2,3,.667,1,3,.333,.667,2,2,1.000,1,3,4,0,1,0,2,4,10,6.0,Yarden Garzon,https://www.sports-reference.com/cbb/players/yarden-garzon-1.html,indiana,2024-25
4,68,4,2024-11-17,Indiana,,Stanford,REG (Non-Conf),W 79-66,*,36,6,12,.500,4,7,.571,2,5,.400,.667,2,2,1.000,2,6,8,3,1,0,1,3,18,16.1,Yarden Garzon,https://www.sports-reference.com/cbb/players/yarden-garzon-1.html,indiana,2024-25
5,69,5,2024-11-23,Indiana,N,Columbia,REG (Non-Conf),W 72-62,*,37,5,12,.417,3,7,.429,2,5,.400,.542,5,5,1.000,0,10,10,3,0,2,2,1,18,15.7,Yarden Garzon,https://www.sports-reference.com/cbb/players/yarden-garzon-1.html,indiana,2024-25
6,70,6,2024-11-24,Indiana,N,Baylor,REG (Non-Conf),W 73-65,*,33,2,11,.182,0,6,.000,2,5,.400,.182,3,3,1.000,1,2,3,3,1,0,4,4,7,-1.1,Yarden Garzon,https://www.sports-reference.com/cbb/players/yarden-garzon-1.html,indiana,2024-25
7,71,7,2024-11-25,Indiana,N,North Carolina,REG (Non-Conf),L 39-69,*,35,4,12,.333,2,8,.250,2,4,.500,.417,0,0,,1,4,5,1,2,0,5,3,10,1.6,Yarden Garzon,https://www.sports-reference.com/cbb/players/yarden-garzon-1.html,indiana,2024-25
8,72,8,2024-12-01,Indiana,,Maine,REG (Non-Conf),W 78-53,*,34,4,11,.364,3,6,.500,1,5,.200,.500,0,0,,0,4,4,7,3,2,2,3,11,12.2,Yarden Garzon,https://www.sports-reference.com/cbb/players/yarden-garzon-1.html,indiana,2024-25
9,73,9,2024-12-04,Indiana,,Southern Indiana,REG (Non-Conf),W 67-63,*,38,5,18,.278,2,12,.167,3,6,.500,.333,2,2,1.000,0,3,3,6,2,0,0,3,14,9.3,Yarden Garzon,https://www.sports-reference.com/cbb/players/yarden-garzon-1.html,indiana,2024-25
10,74,10,2024-12-07,Indiana,@,Penn State,REG (Conf),W 75-60,*,36,8,14,.571,6,10,.600,2,4,.500,.786,0,0,,0,4,4,5,3,1,1,2,22,22.0,Yarden Garzon,https://www.sports-reference.com/cbb/players/yarden-garzon-1.html,indiana,2024-25
11,75,11,2024-12-15,Indiana,,Bellarmine,REG (Non-Conf),W 95-61,*,25,6,9,.667,3,6,.500,3,3,1.000,.833,1,1,1.000,1,2,3,6,0,1,3,2,16,14.5,Yarden Garzon,https://www.sports-reference.com/cbb/players/yarden-garzon-1.html,indiana,2024-25
12,76,12,2024-12-22,Indiana,,Oakland,REG (Non-Conf),W 90-55,*,20,2,4,.500,2,4,.500,0,0,,.750,2,2,1.000,2,4,6,5,0,0,2,4,8,8.5,Yarden Garzon,https://www.sports-reference.com/cbb/players/yarden-garzon-1.html,indiana,2024-25
13,77,13,2024-12-28,Indiana,,Wisconsin,REG (Conf),W 83-52,*,24,5,12,.417,3,7,.429,2,5,.400,.542,0,0,,0,7,7,5,0,4,1,2,13,13.2,Yarden Garzon,https://www.sports-reference.com/cbb/players/yarden-garzon-1.html,indiana,2024-25
14,78,14,2025-01-04,Indiana,,UCLA,REG (Conf),L 62-73,*,38,6,17,.353,1,8,.125,5,9,.556,.382,6,8,.750,0,2,2,1,1,0,1,3,19,8.8,Yarden Garzon,https://www.sports-reference.com/cbb/players/yarden-garzon-1.html,indiana,2024-25
15,79,15,2025-01-08,Indiana,@,Northwestern,REG (Conf),W 68-64,*,33,3,9,.333,2,5,.400,1,4,.250,.444,2,2,1.000,0,5,5,2,2,0,6,3,10,2.6,Yarden Garzon,https://www.sports-reference.com/cbb/players/yarden-garzon-1.html,indiana,2024-25
16,80,16,2025-01-12,Indiana,@,Iowa,REG (Conf),W 74-67,*,38,7,8,.875,5,5,1.000,2,3,.667,1.188,2,2,1.000,0,5,5,4,2,1,5,0,21,20.2,Yarden Garzon,https://www.sports-reference.com/cbb/players/yarden-garzon-1.html,indiana,2024-25
17,81,17,2025-01-16,Indiana,,Illinois,REG (Conf),L 54-68,*,20,1,3,.333,1,2,.500,0,1,.000,.500,0,0,,0,3,3,0,0,0,2,1,3,-0.2,Yarden Garzon,https://www.sports-reference.com/cbb/players/yarden-garzon-1.html,indiana,2024-25
18,82,18,2025-01-19,Indiana,,Southern California,REG (Conf),L 66-73,*,39,3,17,.176,2,11,.182,1,6,.167,.235,2,2,1.000,2,7,9,6,2,0,3,2,10,5.2,Yarden Garzon,https://www.sports-reference.com/cbb/players/yarden-garzon-1.html,indiana,2024-25
19,83,19,2025-01-24,Indiana,@,Oregon,REG (Conf),L 47-54,*,40,4,14,.286,0,5,.000,4,9,.444,.286,0,2,.000,2,8,10,2,1,3,3,4,8,2.7,Yarden Garzon,https://www.sports-reference.com/cbb/players/yarden-garzon-1.html,indiana,2024-25
20,84,20,2025-01-27,Indiana,@,Washington,REG (Conf),W 73-70,*,36,13,18,.722,8,10,.800,5,8,.625,.944,1,1,1.000,0,4,4,2,2,0,2,3,35,29.0,Yarden Garzon,https://www.sports-reference.com/cbb/players/yarden-garzon-1.html,indiana,2024-25
21,85,21,2025-02-02,Indiana,,Nebraska,REG (Conf),W 76-60,*,36,6,11,.545,5,9,.556,1,2,.500,.773,2,2,1.000,0,2,2,4,0,1,1,3,19,15.6,Yarden Garzon,https://www.sports-reference.com/cbb/players/yarden-garzon-1.html,indiana,2024-25
22,86,22,2025-02-06,Indiana,,Rutgers,REG (Conf),W 81-60,*,29,6,13,.462,2,6,.333,4,7,.571,.538,0,0,,0,5,5,3,1,1,2,1,14,10.2,Yarden Garzon,https://www.sports-reference.com/cbb/players/yarden-garzon-1.html,indiana,2024-25
23,87,23,2025-02-09,Indiana,@,Minnesota,REG (Conf),L 56-66,*,33,2,9,.222,1,4,.250,1,5,.200,.278,1,2,.500,0,4,4,3,2,0,2,4,6,1.8,Yarden Garzon,https://www.sports-reference.com/cbb/players/yarden-garzon-1.html,indiana,2024-25
